,ACOR
2010-07-08,190.32000732421875
2010-07-09,200.75999450683594
2010-07-12,203.22000122070312
2010-07-13,207.83999633789062
2010-07-14,203.82000732421875
2010-07-15,205.3800048828125
2010-07-16,199.67999267578125
2010-07-19,190.5
2010-07-20,186.83999633789062
2010-07-21,183.36000061035156
2010-07-22,185.22000122070312
2010-07-23,188.4600067138672
2010-07-26,202.3800048828125
2010-07-27,203.63999938964844
2010-07-28,196.1999969482422
2010-07-29,194.10000610351562
2010-07-30,194.0399932861328
2010-08-02,198.9600067138672
2010-08-03,211.74000549316406
2010-08-04,220.6199951171875
2010-08-05,210.1199951171875
2010-08-06,211.97999572753906
2010-08-09,210.05999755859375
2010-08-10,207.24000549316406
2010-08-11,199.8000030517578
2010-08-12,197.82000732421875
2010-08-13,193.8000030517578
2010-08-16,195.5399932861328
2010-08-17,197.94000244140625
2010-08-18,195.72000122070312
2010-08-19,190.5
2010-08-20,189.72000122070312
2010-08-23,181.13999938964844
2010-08-24,173.22000122070312
2010-08-25,179.10000610351562
2010-08-26,177.17999267578125
2010-08-27,181.74000549316406
2010-08-30,177.4199981689453
2010-08-31,180.72000122070312
2010-09-01,186.0
2010-09-02,191.4600067138672
2010-09-03,195.89999389648438
2010-09-07,196.02000427246094
2010-09-08,199.44000244140625
2010-09-09,194.63999938964844
2010-09-10,203.10000610351562
2010-09-13,204.5399932861328
2010-09-14,206.75999450683594
2010-09-15,209.33999633789062
2010-09-16,209.94000244140625
2010-09-17,213.3000030517578
2010-09-20,212.0399932861328
2010-09-21,208.74000549316406
2010-09-22,202.1999969482422
2010-09-23,200.27999877929688
2010-09-24,205.02000427246094
2010-09-27,202.13999938964844
2010-09-28,206.0399932861328
2010-09-29,198.5399932861328
2010-09-30,198.1199951171875
2010-10-01,193.44000244140625
2010-10-04,187.9199981689453
2010-10-05,186.77999877929688
2010-10-06,180.5399932861328
2010-10-07,179.6999969482422
2010-10-08,187.67999267578125
2010-10-11,183.60000610351562
2010-10-12,180.89999389648438
2010-10-13,170.39999389648438
2010-10-14,175.44000244140625
2010-10-15,173.5800018310547
2010-10-18,165.4199981689453
2010-10-19,160.5
2010-10-20,159.05999755859375
2010-10-21,154.3800048828125
2010-10-22,155.0399932861328
2010-10-25,159.9600067138672
2010-10-26,159.89999389648438
2010-10-27,163.02000427246094
2010-10-28,160.5
2010-10-29,162.24000549316406
2010-11-01,150.3000030517578
2010-11-02,156.0
2010-11-03,156.36000061035156
2010-11-04,159.60000610351562
2010-11-05,162.24000549316406
2010-11-08,166.1999969482422
2010-11-09,168.0
2010-11-10,165.5399932861328
2010-11-11,166.32000732421875
2010-11-12,165.1199951171875
2010-11-15,164.8800048828125
2010-11-16,161.94000244140625
2010-11-17,161.33999633789062
2010-11-18,162.24000549316406
2010-11-19,161.27999877929688
2010-11-22,158.33999633789062
2010-11-23,158.22000122070312
2010-11-24,160.8000030517578
2010-11-26,161.22000122070312
2010-11-29,160.74000549316406
2010-11-30,158.52000427246094
2010-12-01,158.82000732421875
2010-12-02,157.13999938964844
2010-12-03,158.39999389648438
2010-12-06,160.1999969482422
2010-12-07,159.47999572753906
2010-12-08,156.83999633789062
2010-12-09,156.1199951171875
2010-12-10,164.27999877929688
2010-12-13,162.0
2010-12-14,159.0
2010-12-15,157.13999938964844
2010-12-16,157.97999572753906
2010-12-17,158.0399932861328
2010-12-20,155.39999389648438
2010-12-21,155.52000427246094
2010-12-22,155.10000610351562
2010-12-23,159.17999267578125
2010-12-27,163.97999572753906
2010-12-28,165.5399932861328
2010-12-29,165.5399932861328
2010-12-30,165.05999755859375
2010-12-31,163.55999755859375
2011-01-03,162.0
2011-01-04,165.17999267578125
2011-01-05,171.77999877929688
2011-01-06,167.8800048828125
2011-01-07,166.02000427246094
2011-01-10,185.22000122070312
2011-01-11,185.8800048828125
2011-01-12,175.0800018310547
2011-01-13,164.63999938964844
2011-01-14,158.52000427246094
2011-01-18,166.8000030517578
2011-01-19,161.0399932861328
2011-01-20,166.97999572753906
2011-01-21,143.82000732421875
2011-01-24,141.60000610351562
2011-01-25,137.94000244140625
2011-01-26,136.55999755859375
2011-01-27,135.72000122070312
2011-01-28,131.6999969482422
2011-01-31,131.6999969482422
2011-02-01,133.44000244140625
2011-02-02,137.0399932861328
2011-02-03,135.72000122070312
2011-02-04,135.24000549316406
2011-02-07,133.9199981689453
2011-02-08,135.72000122070312
2011-02-09,133.3800048828125
2011-02-10,136.97999572753906
2011-02-11,137.8800048828125
2011-02-14,141.5399932861328
2011-02-15,137.94000244140625
2011-02-16,139.1999969482422
2011-02-17,131.94000244140625
2011-02-18,127.62000274658203
2011-02-22,125.16000366210938
2011-02-23,124.80000305175781
2011-02-24,123.5999984741211
2011-02-25,123.95999908447266
2011-02-28,125.81999969482422
2011-03-01,126.0
2011-03-02,134.27999877929688
2011-03-03,132.36000061035156
2011-03-04,131.63999938964844
2011-03-07,131.16000366210938
2011-03-08,134.75999450683594
2011-03-09,135.47999572753906
2011-03-10,133.6199951171875
2011-03-11,134.39999389648438
2011-03-14,133.3800048828125
2011-03-15,133.6199951171875
2011-03-16,133.67999267578125
2011-03-17,133.8000030517578
2011-03-18,137.27999877929688
2011-03-21,135.47999572753906
2011-03-22,133.44000244140625
2011-03-23,129.77999877929688
2011-03-24,131.52000427246094
2011-03-25,131.94000244140625
2011-03-28,131.82000732421875
2011-03-29,133.02000427246094
2011-03-30,137.0399932861328
2011-03-31,139.1999969482422
2011-04-01,137.4600067138672
2011-04-04,133.9199981689453
2011-04-05,132.47999572753906
2011-04-06,130.9199981689453
2011-04-07,134.0399932861328
2011-04-08,132.24000549316406
2011-04-11,127.80000305175781
2011-04-12,126.5999984741211
2011-04-13,128.52000427246094
2011-04-14,162.77999877929688
2011-04-15,174.89999389648438
2011-04-18,169.8000030517578
2011-04-19,167.94000244140625
2011-04-20,167.6999969482422
2011-04-21,165.36000061035156
2011-04-25,166.1999969482422
2011-04-26,168.0
2011-04-27,169.67999267578125
2011-04-28,172.67999267578125
2011-04-29,168.24000549316406
2011-05-02,167.8800048828125
2011-05-03,167.4600067138672
2011-05-04,162.9600067138672
2011-05-05,143.5800018310547
2011-05-06,146.52000427246094
2011-05-09,151.5
2011-05-10,151.74000549316406
2011-05-11,150.17999267578125
2011-05-12,151.6199951171875
2011-05-13,156.3000030517578
2011-05-16,156.72000122070312
2011-05-17,158.39999389648438
2011-05-18,158.4600067138672
2011-05-19,160.25999450683594
2011-05-20,182.27999877929688
2011-05-23,190.02000427246094
2011-05-24,189.89999389648438
2011-05-25,196.8000030517578
2011-05-26,197.94000244140625
2011-05-27,198.47999572753906
2011-05-31,197.10000610351562
2011-06-01,193.86000061035156
2011-06-02,195.1199951171875
2011-06-03,191.5800018310547
2011-06-06,185.27999877929688
2011-06-07,186.17999267578125
2011-06-08,187.0800018310547
2011-06-09,185.75999450683594
2011-06-10,183.3000030517578
2011-06-13,181.5
2011-06-14,187.0800018310547
2011-06-15,184.74000549316406
2011-06-16,187.5
2011-06-17,183.1199951171875
2011-06-20,188.22000122070312
2011-06-21,192.17999267578125
2011-06-22,194.5800018310547
