,ESGRP
2019-12-31,27.920000076293945
2020-01-02,28.219999313354492
2020-01-03,28.56999969482422
2020-01-06,28.399999618530273
2020-01-07,28.020000457763672
2020-01-08,28.270000457763672
2020-01-09,28.43000030517578
2020-01-10,28.690000534057617
2020-01-13,28.829999923706055
2020-01-14,28.739999771118164
2020-01-15,28.799999237060547
2020-01-16,28.68000030517578
2020-01-17,28.6299991607666
2020-01-21,28.479999542236328
2020-01-22,28.59000015258789
2020-01-23,28.559999465942383
2020-01-24,28.600000381469727
2020-01-27,28.54800033569336
2020-01-28,28.6200008392334
2020-01-29,28.81999969482422
2020-01-30,28.850000381469727
2020-01-31,28.979999542236328
2020-02-03,28.969999313354492
2020-02-04,29.020000457763672
2020-02-05,29.06999969482422
2020-02-06,29.15999984741211
2020-02-07,29.25
2020-02-10,29.219999313354492
2020-02-11,29.270000457763672
2020-02-12,29.200000762939453
2020-02-13,28.850000381469727
2020-02-14,28.829999923706055
2020-02-18,28.93000030517578
2020-02-19,28.979999542236328
2020-02-20,29.229999542236328
2020-02-21,29.030000686645508
2020-02-24,28.760000228881836
2020-02-25,28.459999084472656
2020-02-26,28.479999542236328
2020-02-27,28.010000228881836
2020-02-28,27.0
2020-03-02,27.639999389648438
2020-03-03,27.860000610351562
2020-03-04,28.299999237060547
2020-03-05,27.891000747680664
2020-03-06,27.479999542236328
2020-03-09,25.309999465942383
2020-03-10,26.0
2020-03-11,25.850000381469727
2020-03-12,22.030000686645508
2020-03-13,24.43000030517578
2020-03-16,21.68000030517578
2020-03-17,20.8700008392334
2020-03-18,14.970000267028809
2020-03-19,18.020000457763672
2020-03-20,18.1200008392334
2020-03-23,17.549999237060547
2020-03-24,19.540000915527344
2020-03-25,19.670000076293945
2020-03-26,22.360000610351562
2020-03-27,22.170000076293945
2020-03-30,22.68000030517578
2020-03-31,21.920000076293945
2020-04-01,20.31999969482422
2020-04-02,19.549999237060547
2020-04-03,18.8700008392334
2020-04-06,20.719999313354492
2020-04-07,22.3700008392334
2020-04-08,23.84000015258789
2020-04-09,24.17099952697754
2020-04-13,23.540000915527344
2020-04-14,23.75
2020-04-15,23.520000457763672
2020-04-16,23.96500015258789
2020-04-17,24.959999084472656
2020-04-20,24.559999465942383
2020-04-21,23.770000457763672
2020-04-22,23.756999969482422
2020-04-23,24.149999618530273
2020-04-24,23.989999771118164
2020-04-27,23.920000076293945
2020-04-28,24.309999465942383
2020-04-29,24.709999084472656
2020-04-30,24.8700008392334
2020-05-01,24.540000915527344
2020-05-04,24.389999389648438
2020-05-05,24.209999084472656
2020-05-06,24.239999771118164
2020-05-07,24.34000015258789
2020-05-08,24.549999237060547
2020-05-11,24.81999969482422
2020-05-12,24.920000076293945
2020-05-13,24.56999969482422
2020-05-14,23.780000686645508
2020-05-15,23.3799991607666
2020-05-18,24.12299919128418
2020-05-19,24.469999313354492
2020-05-20,24.639999389648438
2020-05-21,24.40999984741211
2020-05-22,24.889999389648438
2020-05-26,25.010000228881836
2020-05-27,25.270000457763672
2020-05-28,25.360000610351562
2020-05-29,25.489999771118164
2020-06-01,25.6200008392334
2020-06-02,25.979999542236328
2020-06-03,26.0
2020-06-04,25.739999771118164
2020-06-05,25.899999618530273
2020-06-08,26.25
2020-06-09,26.100000381469727
2020-06-10,25.959999084472656
2020-06-11,25.5
2020-06-12,25.219999313354492
2020-06-15,24.84000015258789
2020-06-16,25.440000534057617
2020-06-17,25.09000015258789
2020-06-18,24.8700008392334
2020-06-19,25.260000228881836
2020-06-22,24.68000030517578
2020-06-23,24.809999465942383
2020-06-24,24.540000915527344
2020-06-25,24.5
2020-06-26,24.315000534057617
2020-06-29,24.25
2020-06-30,24.219999313354492
2020-07-01,24.43000030517578
2020-07-02,24.860000610351562
2020-07-06,24.889999389648438
2020-07-07,24.65999984741211
2020-07-08,24.799999237060547
2020-07-09,24.790000915527344
2020-07-10,24.739999771118164
2020-07-13,24.6200008392334
2020-07-14,24.5
2020-07-15,24.90999984741211
2020-07-16,25.34000015258789
2020-07-17,25.43000030517578
2020-07-20,25.670000076293945
2020-07-21,25.665000915527344
2020-07-22,25.899999618530273
2020-07-23,26.100000381469727
2020-07-24,26.040000915527344
2020-07-27,26.22100067138672
2020-07-28,26.25
2020-07-29,26.809999465942383
2020-07-30,26.65999984741211
2020-07-31,26.829999923706055
2020-08-03,26.540000915527344
2020-08-04,26.3799991607666
2020-08-05,25.829999923706055
2020-08-06,25.690000534057617
2020-08-07,25.899999618530273
2020-08-10,26.81999969482422
2020-08-11,26.886999130249023
2020-08-12,27.260000228881836
2020-08-13,27.209999084472656
2020-08-14,26.979999542236328
2020-08-17,27.020000457763672
2020-08-18,27.350000381469727
2020-08-19,27.1200008392334
2020-08-20,27.229999542236328
2020-08-21,27.229000091552734
2020-08-24,27.360000610351562
2020-08-25,27.06999969482422
2020-08-26,27.149999618530273
2020-08-27,27.25
2020-08-28,27.139999389648438
2020-08-31,26.690000534057617
2020-09-01,26.711999893188477
2020-09-02,26.530000686645508
2020-09-03,26.6299991607666
2020-09-04,26.389999389648438
2020-09-08,25.940000534057617
2020-09-09,26.31999969482422
2020-09-10,26.290000915527344
2020-09-11,26.2450008392334
2020-09-14,26.636999130249023
2020-09-15,26.979999542236328
2020-09-16,27.0
2020-09-17,27.167999267578125
2020-09-18,27.132999420166016
2020-09-21,26.77199935913086
2020-09-22,26.8799991607666
2020-09-23,26.510000228881836
2020-09-24,26.149999618530273
2020-09-25,26.780000686645508
2020-09-28,26.93000030517578
2020-09-29,26.84000015258789
2020-09-30,26.270000457763672
2020-10-01,26.700000762939453
2020-10-02,26.84000015258789
2020-10-05,26.899999618530273
2020-10-06,27.25
2020-10-07,27.100000381469727
2020-10-08,27.25
2020-10-09,27.25
2020-10-12,27.25
2020-10-13,27.239999771118164
2020-10-14,26.709999084472656
2020-10-15,26.559999465942383
2020-10-16,26.149999618530273
2020-10-19,26.229999542236328
2020-10-20,26.31999969482422
2020-10-21,26.209999084472656
2020-10-22,26.520000457763672
2020-10-23,26.75
2020-10-26,26.43000030517578
2020-10-27,26.5
2020-10-28,26.170000076293945
2020-10-29,26.309999465942383
2020-10-30,26.6200008392334
2020-11-02,26.75
2020-11-03,26.75
2020-11-04,27.200000762939453
2020-11-05,27.350000381469727
2020-11-06,27.219999313354492
2020-11-09,27.6299991607666
2020-11-10,27.610000610351562
2020-11-11,27.690000534057617
2020-11-12,26.954999923706055
2020-11-13,27.1299991607666
2020-11-16,27.700000762939453
2020-11-17,27.889999389648438
2020-11-18,27.909000396728516
2020-11-19,28.079999923706055
2020-11-20,28.170000076293945
2020-11-23,28.399999618530273
2020-11-24,28.520000457763672
2020-11-25,28.329999923706055
2020-11-27,28.25
2020-11-30,28.0
2020-12-01,27.770000457763672
2020-12-02,27.940000534057617
2020-12-03,27.979999542236328
2020-12-04,28.43000030517578
2020-12-07,28.5
2020-12-08,28.549999237060547
2020-12-09,28.549999237060547
2020-12-10,28.549999237060547
2020-12-11,28.540000915527344
2020-12-14,28.549999237060547
2020-12-15,28.719999313354492
2020-12-16,28.736000061035156
2020-12-17,28.739999771118164
2020-12-18,28.989999771118164
2020-12-21,29.079999923706055
2020-12-22,28.530000686645508
2020-12-23,29.059999465942383
2020-12-24,29.270000457763672
2020-12-28,28.770000457763672
2020-12-29,28.399999618530273
2020-12-30,28.219999313354492
2020-12-31,28.239999771118164
2021-01-04,27.860000610351562
2021-01-05,28.1200008392334
2021-01-06,27.6200008392334
2021-01-07,27.652999877929688
2021-01-08,27.770000457763672
2021-01-11,27.5
2021-01-12,27.503999710083008
2021-01-13,28.110000610351562
2021-01-14,28.229999542236328
2021-01-15,28.520000457763672
2021-01-19,28.639999389648438
2021-01-20,28.649999618530273
2021-01-21,28.579999923706055
2021-01-22,28.797000885009766
2021-01-25,28.610000610351562
2021-01-26,28.5
2021-01-27,27.584999084472656
2021-01-28,27.700000762939453
2021-01-29,28.020000457763672
2021-02-01,28.309999465942383
2021-02-02,28.469999313354492
2021-02-03,27.920000076293945
2021-02-04,28.709999084472656
2021-02-05,28.729999542236328
2021-02-08,28.676000595092773
2021-02-09,29.100000381469727
2021-02-10,28.75
2021-02-11,28.149999618530273
2021-02-12,28.200000762939453
2021-02-16,28.18000030517578
2021-02-17,27.850000381469727
2021-02-18,27.520000457763672
2021-02-19,27.450000762939453
2021-02-22,27.239999771118164
2021-02-23,27.399999618530273
2021-02-24,27.700000762939453
2021-02-25,27.290000915527344
2021-02-26,27.65999984741211
2021-03-01,27.510000228881836
2021-03-02,27.690000534057617
2021-03-03,27.6200008392334
2021-03-04,27.700000762939453
2021-03-05,27.84000015258789
2021-03-08,27.969999313354492
2021-03-09,28.06800079345703
2021-03-10,28.190000534057617
2021-03-11,28.350000381469727
2021-03-12,28.270000457763672
2021-03-15,28.322999954223633
2021-03-16,28.709999084472656
2021-03-17,28.68000030517578
2021-03-18,28.280000686645508
2021-03-19,27.969999313354492
2021-03-22,28.239999771118164
2021-03-23,28.091999053955078
2021-03-24,28.549999237060547
2021-03-25,28.59000015258789
2021-03-26,28.600000381469727
2021-03-29,28.3700008392334
2021-03-30,28.6200008392334
2021-03-31,28.760000228881836
2021-04-01,28.84000015258789
2021-04-05,28.854999542236328
2021-04-06,28.780000686645508
2021-04-07,28.729999542236328
2021-04-08,28.799999237060547
2021-04-09,28.700000762939453
2021-04-12,28.75
2021-04-13,28.889999389648438
2021-04-14,28.90999984741211
2021-04-15,28.90999984741211
2021-04-16,29.100000381469727
2021-04-19,29.06999969482422
2021-04-20,29.023000717163086
2021-04-21,28.719999313354492
2021-04-22,28.829999923706055
2021-04-23,28.899999618530273
2021-04-26,28.868000030517578
2021-04-27,29.40999984741211
2021-04-28,29.350000381469727
2021-04-29,29.211000442504883
2021-04-30,28.809999465942383
2021-05-03,28.989999771118164
2021-05-04,29.34000015258789
2021-05-05,29.260000228881836
2021-05-06,29.299999237060547
2021-05-07,29.399999618530273
2021-05-10,29.239999771118164
2021-05-11,28.989999771118164
2021-05-12,29.079999923706055
2021-05-13,28.84000015258789
2021-05-14,28.799999237060547
