,FITB
1980-12-03,0.5072399973869324
1980-12-04,0.513742983341217
1980-12-05,0.513742983341217
1980-12-08,0.5169939994812012
1980-12-09,0.5202460289001465
1980-12-10,0.5202460289001465
1980-12-11,0.5202460289001465
1980-12-12,0.5202460289001465
1980-12-15,0.5202460289001465
1980-12-16,0.5202460289001465
1980-12-17,0.5202460289001465
1980-12-18,0.5234969854354858
1980-12-19,0.5300009846687317
1980-12-22,0.5332520008087158
1980-12-23,0.5462579727172852
1980-12-24,0.5495100021362305
1980-12-26,0.5495100021362305
1980-12-29,0.5495100021362305
1980-12-30,0.5495100021362305
1980-12-31,0.5527610182762146
1981-01-02,0.5560129880905151
1981-01-05,0.5560129880905151
1981-01-06,0.5755220055580139
1981-01-07,0.5755220055580139
1981-01-08,0.5755220055580139
