,ACHV
1997-12-24,1309275.0
1997-12-26,1296900.0
1997-12-29,1277100.0
1997-12-30,1291950.0
1997-12-31,1311750.0
1998-01-02,1395900.0
1998-01-05,1346400.0
1998-01-06,1306800.0
1998-01-07,1351350.0
1998-01-08,1336500.0
1998-01-09,1301850.0
1998-01-12,1287000.0
1998-01-13,1346400.0
1998-01-14,1302468.75
1998-01-15,1306800.0
1998-01-16,1306800.0
1998-01-20,1336500.0
1998-01-21,1356300.0
1998-01-22,1351350.0
1998-01-23,1351350.0
1998-01-26,1319175.0
1998-01-27,1371150.0
1998-01-28,1336500.0
1998-01-29,1316700.0
1998-01-30,1336500.0
1998-02-02,1341450.0
1998-02-03,1371150.0
1998-02-04,1544400.0
1998-02-05,1514700.0
1998-02-06,1529550.0
1998-02-09,1517175.0
1998-02-10,1489950.0
1998-02-11,1489950.0
1998-02-12,1460250.0
1998-02-13,1465200.0
1998-02-17,1519650.0
1998-02-18,1544400.0
1998-02-19,1475100.0
1998-02-20,1470150.0
1998-02-23,1445400.0
1998-02-24,1405800.0
1998-02-25,1143450.0
1998-02-26,994950.0
1998-02-27,999900.0
1998-03-02,1049400.0
1998-03-03,1044450.0
1998-03-04,990000.0
1998-03-05,960300.0
1998-03-06,975150.0
1998-03-09,910800.0
1998-03-10,841500.0
1998-03-11,831600.0
1998-03-12,801900.0
1998-03-13,782100.0
1998-03-16,915750.0
1998-03-17,940500.0
1998-03-18,910800.0
1998-03-19,861300.0
1998-03-20,861300.0
1998-03-23,900900.0
1998-03-24,900900.0
1998-03-25,903375.0
1998-03-26,831600.0
1998-03-27,841500.0
1998-03-30,1017225.0
1998-03-31,970200.0
1998-04-01,970200.0
1998-04-02,967725.0
1998-04-03,940500.0
1998-04-06,915750.0
1998-04-07,905850.0
1998-04-08,871200.0
1998-04-09,853875.0
1998-04-13,856350.0
1998-04-14,831600.0
1998-04-15,816750.0
1998-04-16,824175.0
1998-04-17,836550.0
1998-04-20,834075.0
1998-04-21,851400.0
1998-04-22,831600.0
1998-04-23,801900.0
1998-04-24,789525.0
1998-04-27,742500.0
1998-04-28,742500.0
1998-04-29,772200.0
1998-04-30,767250.0
1998-05-01,782100.0
1998-05-04,787050.0
1998-05-05,784575.0
1998-05-06,774675.0
1998-05-07,749925.0
1998-05-08,767250.0
1998-05-11,782100.0
1998-05-12,757350.0
1998-05-13,712800.0
1998-05-14,673200.0
1998-05-15,663300.0
1998-05-18,638550.0
1998-05-19,608850.0
1998-05-20,574200.0
1998-05-21,544500.0
1998-05-22,514800.0
1998-05-26,450450.0
1998-05-27,490050.0
1998-05-28,564300.0
1998-05-29,554400.0
1998-06-01,514800.0
1998-06-02,514800.0
1998-06-03,514800.0
1998-06-04,519750.0
1998-06-05,509850.0
1998-06-08,519750.0
1998-06-09,485100.0
1998-06-10,457875.0
1998-06-11,475200.0
1998-06-12,470250.0
1998-06-15,450450.0
1998-06-16,438075.0
1998-06-17,400950.0
1998-06-18,398475.0
1998-06-19,393525.0
1998-06-22,393525.0
1998-06-23,398475.0
1998-06-24,408375.0
1998-06-25,447975.0
1998-06-26,455400.0
1998-06-29,454162.5
1998-06-30,487575.0
1998-07-01,467775.0
1998-07-02,470250.0
1998-07-06,405900.0
1998-07-07,405900.0
1998-07-08,391050.0
1998-07-09,386100.0
1998-07-10,321750.0
1998-07-13,386100.0
1998-07-14,413325.0
1998-07-15,400950.0
1998-07-16,440550.0
1998-07-17,447975.0
1998-07-20,522225.0
1998-07-21,524700.0
1998-07-22,554400.0
1998-07-23,546975.0
1998-07-24,549450.0
1998-07-27,584100.0
1998-07-28,648450.0
1998-07-29,643500.0
1998-07-30,554400.0
1998-07-31,544500.0
1998-08-03,544500.0
1998-08-04,514800.0
1998-08-05,509850.0
1998-08-06,514800.0
1998-08-07,524700.0
1998-08-10,527175.0
1998-08-11,509850.0
1998-08-12,529650.0
1998-08-13,517275.0
1998-08-14,504900.0
1998-08-17,485100.0
1998-08-18,485100.0
1998-08-19,495000.0
1998-08-20,445500.0
1998-08-21,396000.0
1998-08-24,358875.0
1998-08-25,351450.0
1998-08-26,353925.0
1998-08-27,363825.0
1998-08-28,351450.0
1998-08-31,356400.0
1998-09-01,356400.0
1998-09-02,346500.0
1998-09-03,353925.0
1998-09-04,341550.0
1998-09-08,351450.0
1998-09-09,366300.0
1998-09-10,351450.0
1998-09-11,346500.0
1998-09-14,351450.0
1998-09-15,336600.0
1998-09-16,316800.0
1998-09-17,316800.0
1998-09-18,282150.0
1998-09-21,254925.0
