,FIVE
2015-07-24,37.650001525878906
2015-07-27,36.27000045776367
2015-07-28,36.34000015258789
2015-07-29,36.65999984741211
2015-07-30,37.2599983215332
2015-07-31,36.869998931884766
2015-08-03,36.63999938964844
2015-08-04,37.2400016784668
2015-08-05,38.31999969482422
2015-08-06,36.849998474121094
2015-08-07,36.7400016784668
2015-08-10,37.529998779296875
2015-08-11,37.150001525878906
2015-08-12,37.0099983215332
2015-08-13,37.2400016784668
2015-08-14,38.40999984741211
2015-08-17,37.779998779296875
2015-08-18,37.7400016784668
2015-08-19,36.720001220703125
2015-08-20,36.02000045776367
2015-08-21,35.34000015258789
2015-08-24,34.630001068115234
2015-08-25,34.970001220703125
2015-08-26,36.15999984741211
2015-08-27,37.599998474121094
2015-08-28,38.5
2015-08-31,38.66999816894531
2015-09-01,37.470001220703125
2015-09-02,38.0099983215332
2015-09-03,34.4900016784668
2015-09-04,34.11000061035156
2015-09-08,34.36000061035156
2015-09-09,33.18000030517578
2015-09-10,32.790000915527344
2015-09-11,32.11000061035156
2015-09-14,31.75
2015-09-15,31.6299991607666
2015-09-16,32.68000030517578
2015-09-17,33.650001525878906
2015-09-18,33.2400016784668
2015-09-21,33.439998626708984
2015-09-22,33.54999923706055
2015-09-23,33.130001068115234
2015-09-24,33.5
2015-09-25,34.310001373291016
2015-09-28,34.29999923706055
2015-09-29,32.959999084472656
2015-09-30,33.58000183105469
2015-10-01,34.0099983215332
2015-10-02,34.900001525878906
2015-10-05,35.68000030517578
2015-10-06,34.75
2015-10-07,34.849998474121094
2015-10-08,35.290000915527344
2015-10-09,35.06999969482422
2015-10-12,34.709999084472656
2015-10-13,34.29999923706055
2015-10-14,33.61000061035156
2015-10-15,34.34000015258789
2015-10-16,34.91999816894531
2015-10-19,35.61000061035156
2015-10-20,35.79999923706055
2015-10-21,35.4900016784668
2015-10-22,35.869998931884766
2015-10-23,34.61000061035156
2015-10-26,34.9900016784668
2015-10-27,34.45000076293945
2015-10-28,32.56999969482422
2015-10-29,33.400001525878906
2015-10-30,34.34000015258789
2015-11-02,34.849998474121094
2015-11-03,34.86000061035156
2015-11-04,34.08000183105469
2015-11-05,34.400001525878906
2015-11-06,34.2599983215332
2015-11-09,33.5
2015-11-10,34.220001220703125
2015-11-11,31.889999389648438
2015-11-12,31.389999389648438
2015-11-13,29.079999923706055
2015-11-16,28.489999771118164
2015-11-17,27.5
2015-11-18,27.780000686645508
2015-11-19,27.520000457763672
2015-11-20,27.850000381469727
2015-11-23,27.8799991607666
2015-11-24,29.260000228881836
2015-11-25,29.290000915527344
2015-11-27,28.969999313354492
2015-11-30,28.010000228881836
2015-12-01,27.979999542236328
2015-12-02,27.68000030517578
2015-12-03,27.90999984741211
2015-12-04,29.43000030517578
2015-12-07,28.860000610351562
2015-12-08,28.899999618530273
2015-12-09,28.56999969482422
2015-12-10,29.559999465942383
2015-12-11,29.469999313354492
2015-12-14,29.700000762939453
2015-12-15,30.110000610351562
2015-12-16,31.1299991607666
2015-12-17,31.809999465942383
2015-12-18,32.02000045776367
2015-12-21,32.04999923706055
2015-12-22,32.65999984741211
2015-12-23,32.58000183105469
2015-12-24,32.310001373291016
2015-12-28,32.08000183105469
2015-12-29,32.36000061035156
2015-12-30,32.11000061035156
2015-12-31,32.099998474121094
2016-01-04,32.84000015258789
2016-01-05,34.25
2016-01-06,33.779998779296875
2016-01-07,33.720001220703125
2016-01-08,33.58000183105469
2016-01-11,33.880001068115234
2016-01-12,34.11000061035156
2016-01-13,34.36000061035156
2016-01-14,33.869998931884766
2016-01-15,33.209999084472656
2016-01-19,33.279998779296875
2016-01-20,33.09000015258789
2016-01-21,33.529998779296875
2016-01-22,33.959999084472656
2016-01-25,33.06999969482422
2016-01-26,34.369998931884766
2016-01-27,33.869998931884766
2016-01-28,34.15999984741211
2016-01-29,35.22999954223633
2016-02-01,35.83000183105469
2016-02-02,35.68000030517578
2016-02-03,35.68000030517578
2016-02-04,35.2400016784668
2016-02-05,34.209999084472656
2016-02-08,32.459999084472656
2016-02-09,32.54999923706055
2016-02-10,32.720001220703125
2016-02-11,33.2400016784668
2016-02-12,34.209999084472656
2016-02-16,35.90999984741211
2016-02-17,37.540000915527344
2016-02-18,37.08000183105469
2016-02-19,36.9900016784668
2016-02-22,37.77000045776367
2016-02-23,38.220001220703125
2016-02-24,37.959999084472656
2016-02-25,38.720001220703125
2016-02-26,38.72999954223633
2016-02-29,38.349998474121094
2016-03-01,37.599998474121094
2016-03-02,37.97999954223633
2016-03-03,37.70000076293945
2016-03-04,38.77000045776367
2016-03-07,39.060001373291016
2016-03-08,38.27000045776367
2016-03-09,38.11000061035156
2016-03-10,38.22999954223633
2016-03-11,39.29999923706055
2016-03-14,39.5099983215332
2016-03-15,39.0
2016-03-16,39.83000183105469
2016-03-17,39.709999084472656
2016-03-18,39.900001525878906
2016-03-21,39.52000045776367
2016-03-22,38.88999938964844
2016-03-23,41.540000915527344
2016-03-24,40.380001068115234
2016-03-28,41.150001525878906
2016-03-29,41.189998626708984
2016-03-30,40.79999923706055
2016-03-31,41.34000015258789
2016-04-01,41.36000061035156
2016-04-04,40.369998931884766
2016-04-05,40.04999923706055
2016-04-06,40.2400016784668
2016-04-07,39.459999084472656
2016-04-08,39.27000045776367
2016-04-11,38.650001525878906
2016-04-12,39.310001373291016
2016-04-13,40.66999816894531
2016-04-14,39.15999984741211
2016-04-15,39.83000183105469
2016-04-18,40.849998474121094
2016-04-19,40.66999816894531
2016-04-20,41.529998779296875
2016-04-21,41.040000915527344
2016-04-22,42.060001373291016
2016-04-25,41.189998626708984
2016-04-26,42.130001068115234
2016-04-27,43.380001068115234
2016-04-28,42.20000076293945
2016-04-29,41.70000076293945
2016-05-02,41.77000045776367
2016-05-03,40.869998931884766
2016-05-04,41.16999816894531
2016-05-05,39.65999984741211
2016-05-06,40.0099983215332
2016-05-09,40.33000183105469
2016-05-10,39.79999923706055
2016-05-11,38.4900016784668
2016-05-12,38.86000061035156
2016-05-13,38.209999084472656
2016-05-16,38.939998626708984
2016-05-17,38.38999938964844
2016-05-18,37.2400016784668
2016-05-19,38.7599983215332
2016-05-20,38.43000030517578
2016-05-23,37.459999084472656
2016-05-24,38.380001068115234
2016-05-25,39.310001373291016
2016-05-26,39.97999954223633
2016-05-27,41.65999984741211
2016-05-31,41.86000061035156
2016-06-01,42.68000030517578
2016-06-02,42.849998474121094
2016-06-03,43.7400016784668
2016-06-06,43.599998474121094
2016-06-07,44.720001220703125
2016-06-08,45.41999816894531
2016-06-09,45.13999938964844
2016-06-10,44.70000076293945
2016-06-13,43.9900016784668
2016-06-14,44.91999816894531
2016-06-15,45.66999816894531
2016-06-16,45.41999816894531
2016-06-17,45.560001373291016
2016-06-20,45.970001220703125
2016-06-21,46.02000045776367
2016-06-22,45.43000030517578
2016-06-23,46.34000015258789
2016-06-24,46.04999923706055
2016-06-27,44.91999816894531
2016-06-28,45.20000076293945
2016-06-29,45.7599983215332
2016-06-30,46.40999984741211
2016-07-01,46.369998931884766
2016-07-05,46.220001220703125
2016-07-06,46.84000015258789
2016-07-07,46.689998626708984
2016-07-08,47.790000915527344
2016-07-11,48.45000076293945
2016-07-12,48.630001068115234
2016-07-13,47.0099983215332
2016-07-14,47.22999954223633
2016-07-15,47.33000183105469
2016-07-18,49.900001525878906
2016-07-19,49.439998626708984
2016-07-20,49.90999984741211
2016-07-21,50.279998779296875
2016-07-22,51.130001068115234
2016-07-25,51.279998779296875
2016-07-26,51.869998931884766
2016-07-27,51.5
2016-07-28,50.470001220703125
2016-07-29,51.0099983215332
2016-08-01,50.25
2016-08-02,48.40999984741211
2016-08-03,48.849998474121094
2016-08-04,48.97999954223633
2016-08-05,50.58000183105469
2016-08-08,49.689998626708984
2016-08-09,49.52000045776367
2016-08-10,49.18000030517578
2016-08-11,50.310001373291016
2016-08-12,50.689998626708984
2016-08-15,48.66999816894531
2016-08-16,47.599998474121094
2016-08-17,46.41999816894531
2016-08-18,46.90999984741211
2016-08-19,46.90999984741211
2016-08-22,46.540000915527344
2016-08-23,48.150001525878906
2016-08-24,47.13999938964844
2016-08-25,47.08000183105469
2016-08-26,46.400001525878906
2016-08-29,45.2599983215332
2016-08-30,44.810001373291016
2016-08-31,44.560001373291016
2016-09-01,44.04999923706055
2016-09-02,43.400001525878906
2016-09-06,43.88999938964844
2016-09-07,44.560001373291016
2016-09-08,42.599998474121094
2016-09-09,41.349998474121094
2016-09-12,41.83000183105469
2016-09-13,41.04999923706055
2016-09-14,41.560001373291016
2016-09-15,41.650001525878906
2016-09-16,41.59000015258789
2016-09-19,40.380001068115234
2016-09-20,40.459999084472656
2016-09-21,41.220001220703125
2016-09-22,42.11000061035156
2016-09-23,41.81999969482422
2016-09-26,41.619998931884766
2016-09-27,42.119998931884766
2016-09-28,41.880001068115234
2016-09-29,40.040000915527344
2016-09-30,40.290000915527344
2016-10-03,39.599998474121094
2016-10-04,39.310001373291016
2016-10-05,39.599998474121094
2016-10-06,39.970001220703125
2016-10-07,40.52000045776367
2016-10-10,39.5099983215332
2016-10-11,39.0
2016-10-12,38.88999938964844
2016-10-13,38.099998474121094
2016-10-14,37.369998931884766
2016-10-17,36.11000061035156
2016-10-18,36.380001068115234
2016-10-19,37.560001373291016
2016-10-20,37.75
2016-10-21,37.189998626708984
2016-10-24,37.5
2016-10-25,37.47999954223633
2016-10-26,37.31999969482422
2016-10-27,36.33000183105469
2016-10-28,37.290000915527344
2016-10-31,37.58000183105469
2016-11-01,36.2599983215332
2016-11-02,35.939998626708984
2016-11-03,35.29999923706055
2016-11-04,35.540000915527344
2016-11-07,36.90999984741211
2016-11-08,37.220001220703125
2016-11-09,37.91999816894531
2016-11-10,39.52000045776367
2016-11-11,40.52000045776367
2016-11-14,41.220001220703125
2016-11-15,40.5099983215332
2016-11-16,40.36000061035156
2016-11-17,40.529998779296875
2016-11-18,39.95000076293945
2016-11-21,40.529998779296875
2016-11-22,42.560001373291016
2016-11-23,43.099998474121094
2016-11-25,42.33000183105469
2016-11-28,40.2599983215332
2016-11-29,39.88999938964844
2016-11-30,39.36000061035156
2016-12-01,39.880001068115234
2016-12-02,43.81999969482422
2016-12-05,42.18000030517578
2016-12-06,43.119998931884766
2016-12-07,43.84000015258789
2016-12-08,43.13999938964844
2016-12-09,42.68000030517578
2016-12-12,41.630001068115234
2016-12-13,41.47999954223633
2016-12-14,40.63999938964844
2016-12-15,40.099998474121094
2016-12-16,39.540000915527344
2016-12-19,40.369998931884766
2016-12-20,40.61000061035156
2016-12-21,40.40999984741211
2016-12-22,38.029998779296875
2016-12-23,37.150001525878906
2016-12-27,37.7599983215332
2016-12-28,38.31999969482422
2016-12-29,39.11000061035156
2016-12-30,39.959999084472656
2017-01-03,40.47999954223633
2017-01-04,40.689998626708984
2017-01-05,40.95000076293945
2017-01-06,39.720001220703125
2017-01-09,38.81999969482422
2017-01-10,40.720001220703125
2017-01-11,40.11000061035156
2017-01-12,40.790000915527344
2017-01-13,41.27000045776367
2017-01-17,41.45000076293945
2017-01-18,41.0
2017-01-19,39.68000030517578
2017-01-20,39.7599983215332
2017-01-23,38.97999954223633
2017-01-24,39.400001525878906
2017-01-25,39.130001068115234
2017-01-26,39.349998474121094
2017-01-27,37.599998474121094
2017-01-30,38.86000061035156
2017-01-31,39.849998474121094
2017-02-01,40.09000015258789
2017-02-02,38.959999084472656
2017-02-03,38.40999984741211
2017-02-06,38.15999984741211
2017-02-07,38.0
2017-02-08,38.029998779296875
2017-02-09,39.79999923706055
2017-02-10,40.099998474121094
2017-02-13,39.2599983215332
2017-02-14,39.58000183105469
2017-02-15,39.72999954223633
2017-02-16,38.75
2017-02-17,39.7400016784668
2017-02-21,39.52000045776367
2017-02-22,39.790000915527344
2017-02-23,37.880001068115234
2017-02-24,38.47999954223633
2017-02-27,39.61000061035156
2017-02-28,38.54999923706055
2017-03-01,39.56999969482422
2017-03-02,39.869998931884766
2017-03-03,39.029998779296875
2017-03-06,38.959999084472656
2017-03-07,38.099998474121094
2017-03-08,38.939998626708984
2017-03-09,38.33000183105469
