,FEYE
2017-08-29,14.520000457763672
2017-08-30,14.710000038146973
2017-08-31,14.770000457763672
2017-09-01,14.890000343322754
2017-09-05,14.770000457763672
2017-09-06,14.779999732971191
2017-09-07,15.770000457763672
2017-09-08,16.010000228881836
2017-09-11,16.40999984741211
2017-09-12,16.510000228881836
2017-09-13,16.889999389648438
2017-09-14,17.030000686645508
2017-09-15,17.34000015258789
2017-09-18,17.18000030517578
2017-09-19,17.139999389648438
2017-09-20,16.979999542236328
2017-09-21,16.84000015258789
2017-09-22,16.8799991607666
2017-09-25,16.729999542236328
2017-09-26,16.780000686645508
2017-09-27,16.899999618530273
2017-09-28,16.81999969482422
2017-09-29,16.770000457763672
2017-10-02,17.280000686645508
2017-10-03,17.520000457763672
2017-10-04,17.479999542236328
2017-10-05,17.829999923706055
2017-10-06,17.979999542236328
2017-10-09,17.899999618530273
2017-10-10,17.510000228881836
2017-10-11,17.489999771118164
2017-10-12,17.260000228881836
2017-10-13,17.260000228881836
2017-10-16,17.0
2017-10-17,16.8700008392334
2017-10-18,16.899999618530273
2017-10-19,16.81999969482422
2017-10-20,16.809999465942383
2017-10-23,16.639999389648438
2017-10-24,16.68000030517578
2017-10-25,16.489999771118164
2017-10-26,16.6299991607666
2017-10-27,16.700000762939453
2017-10-30,16.969999313354492
2017-10-31,16.920000076293945
2017-11-01,16.3700008392334
2017-11-02,14.6850004196167
2017-11-03,14.545000076293945
2017-11-06,14.489999771118164
2017-11-07,14.460000038146973
2017-11-08,14.649999618530273
2017-11-09,14.25
2017-11-10,14.210000038146973
2017-11-13,13.75
2017-11-14,13.6899995803833
2017-11-15,13.569999694824219
2017-11-16,13.579999923706055
2017-11-17,13.760000228881836
2017-11-20,13.930000305175781
2017-11-21,13.960000038146973
2017-11-22,14.1899995803833
2017-11-24,14.210000038146973
2017-11-27,14.199999809265137
2017-11-28,14.1899995803833
2017-11-29,13.819999694824219
2017-11-30,14.140000343322754
2017-12-01,14.100000381469727
2017-12-04,13.720000267028809
2017-12-05,13.760000228881836
2017-12-06,13.670000076293945
2017-12-07,13.8100004196167
2017-12-08,13.899999618530273
2017-12-11,14.09000015258789
2017-12-12,14.020000457763672
2017-12-13,13.949999809265137
2017-12-14,14.300000190734863
2017-12-15,14.5
2017-12-18,14.65999984741211
2017-12-19,14.449999809265137
2017-12-20,14.399999618530273
2017-12-21,14.1899995803833
2017-12-22,14.109999656677246
2017-12-26,14.40999984741211
2017-12-27,14.430000305175781
2017-12-28,14.25
2017-12-29,14.199999809265137
2018-01-02,14.569999694824219
2018-01-03,14.890000343322754
2018-01-04,15.079999923706055
2018-01-05,15.109999656677246
2018-01-08,15.0
2018-01-09,14.699999809265137
2018-01-10,14.970000267028809
2018-01-11,15.140000343322754
2018-01-12,15.59000015258789
2018-01-16,15.029999732971191
2018-01-17,14.819999694824219
2018-01-18,15.100000381469727
2018-01-19,15.0
2018-01-22,14.970000267028809
2018-01-23,15.3100004196167
2018-01-24,15.279999732971191
2018-01-25,15.420000076293945
2018-01-26,15.779999732971191
2018-01-29,15.430000305175781
2018-01-30,15.100000381469727
2018-01-31,15.079999923706055
2018-02-01,15.0600004196167
2018-02-02,14.680000305175781
2018-02-05,13.970000267028809
2018-02-06,14.329999923706055
2018-02-07,14.170000076293945
2018-02-08,14.119999885559082
2018-02-09,15.4399995803833
2018-02-12,15.880000114440918
2018-02-13,16.530000686645508
2018-02-14,16.579999923706055
2018-02-15,16.610000610351562
2018-02-16,16.34000015258789
2018-02-20,16.389999389648438
2018-02-21,16.5
2018-02-22,16.34000015258789
2018-02-23,16.459999084472656
2018-02-26,16.81999969482422
2018-02-27,16.719999313354492
2018-02-28,16.59000015258789
2018-03-01,16.600000381469727
2018-03-02,17.25
2018-03-05,17.6299991607666
2018-03-06,17.739999771118164
2018-03-07,18.139999389648438
2018-03-08,17.760000228881836
2018-03-09,17.979999542236328
2018-03-12,17.809999465942383
2018-03-13,17.6200008392334
2018-03-14,17.450000762939453
2018-03-15,18.1200008392334
2018-03-16,17.760000228881836
2018-03-19,17.549999237060547
2018-03-20,17.579999923706055
2018-03-21,17.780000686645508
2018-03-22,17.059999465942383
2018-03-23,16.920000076293945
2018-03-26,17.309999465942383
2018-03-27,16.59000015258789
2018-03-28,16.829999923706055
2018-03-29,16.93000030517578
2018-04-02,16.790000915527344
2018-04-03,16.969999313354492
2018-04-04,17.3700008392334
2018-04-05,17.68000030517578
2018-04-06,17.329999923706055
2018-04-09,17.110000610351562
2018-04-10,17.139999389648438
2018-04-11,18.100000381469727
2018-04-12,18.75
2018-04-13,18.709999084472656
2018-04-16,18.969999313354492
2018-04-17,18.81999969482422
2018-04-18,18.829999923706055
2018-04-19,18.84000015258789
2018-04-20,18.270000457763672
2018-04-23,18.600000381469727
2018-04-24,18.3700008392334
2018-04-25,18.190000534057617
2018-04-26,18.329999923706055
2018-04-27,17.850000381469727
2018-04-30,18.049999237060547
2018-05-01,18.3799991607666
2018-05-02,18.549999237060547
2018-05-03,16.75
2018-05-04,17.200000762939453
2018-05-07,17.6299991607666
2018-05-08,17.860000610351562
2018-05-09,18.110000610351562
2018-05-10,18.170000076293945
2018-05-11,17.739999771118164
2018-05-14,17.6299991607666
2018-05-15,17.84000015258789
2018-05-16,17.549999237060547
2018-05-17,17.600000381469727
2018-05-18,17.799999237060547
2018-05-21,17.15999984741211
2018-05-22,16.75
2018-05-23,16.670000076293945
2018-05-24,16.829999923706055
2018-05-25,16.559999465942383
2018-05-29,16.399999618530273
2018-05-30,16.649999618530273
2018-05-31,16.690000534057617
2018-06-01,16.799999237060547
2018-06-04,17.15999984741211
2018-06-05,17.469999313354492
2018-06-06,17.440000534057617
2018-06-07,17.030000686645508
2018-06-08,16.979999542236328
2018-06-11,17.15999984741211
2018-06-12,17.389999389648438
2018-06-13,17.350000381469727
2018-06-14,17.299999237060547
2018-06-15,17.030000686645508
2018-06-18,16.989999771118164
2018-06-19,16.989999771118164
2018-06-20,16.940000534057617
2018-06-21,16.559999465942383
2018-06-22,16.3700008392334
