,CATB
2017-03-27,15.600000381469727
2017-03-28,15.5
2017-03-29,16.200000762939453
2017-03-30,15.899999618530273
2017-03-31,16.0
2017-04-03,15.300000190734863
2017-04-04,14.100000381469727
2017-04-05,13.899999618530273
2017-04-06,13.5
2017-04-07,14.300000190734863
2017-04-10,14.300000190734863
2017-04-11,14.300000190734863
2017-04-12,14.699999809265137
2017-04-13,14.5
2017-04-17,14.699999809265137
2017-04-18,16.200000762939453
2017-04-19,15.699999809265137
2017-04-20,15.199999809265137
2017-04-21,14.5
2017-04-24,15.0
2017-04-25,14.800000190734863
2017-04-26,14.5
2017-04-27,14.300000190734863
2017-04-28,14.300000190734863
2017-05-01,14.300000190734863
2017-05-02,13.399999618530273
2017-05-03,13.699999809265137
2017-05-04,13.199999809265137
2017-05-05,13.800000190734863
2017-05-08,13.300000190734863
2017-05-09,13.600000381469727
2017-05-10,13.699999809265137
2017-05-11,14.0
2017-05-12,13.5
2017-05-15,13.699999809265137
2017-05-16,13.199999809265137
2017-05-17,13.399999618530273
2017-05-18,13.399999618530273
2017-05-19,13.5
2017-05-22,13.600000381469727
2017-05-23,13.5
2017-05-24,13.5
2017-05-25,13.600000381469727
2017-05-26,13.300000190734863
2017-05-30,13.399999618530273
2017-05-31,13.399999618530273
2017-06-01,13.300000190734863
2017-06-02,13.600000381469727
2017-06-05,13.600000381469727
2017-06-06,13.699999809265137
2017-06-07,13.5
2017-06-08,13.550000190734863
2017-06-09,13.5
2017-06-12,13.399999618530273
2017-06-13,13.5
2017-06-14,13.300000190734863
2017-06-15,13.149999618530273
2017-06-16,13.0
2017-06-19,13.199999809265137
2017-06-20,13.300000190734863
2017-06-21,13.100000381469727
2017-06-22,13.0
2017-06-23,13.5
2017-06-26,13.699999809265137
2017-06-27,13.800000190734863
2017-06-28,14.5
2017-06-29,14.600000381469727
2017-06-30,14.100000381469727
2017-07-03,13.899999618530273
2017-07-05,13.800000190734863
2017-07-06,13.800000190734863
2017-07-07,13.300000190734863
2017-07-10,12.699999809265137
2017-07-11,12.300000190734863
2017-07-12,12.300000190734863
2017-07-13,12.5
2017-07-14,12.899999618530273
2017-07-17,12.699999809265137
2017-07-18,12.399999618530273
2017-07-19,12.399999618530273
2017-07-20,12.5
2017-07-21,11.399999618530273
2017-07-24,12.199999809265137
2017-07-25,12.300000190734863
2017-07-26,12.300000190734863
2017-07-27,12.699999809265137
2017-07-28,12.800000190734863
2017-07-31,12.100000381469727
2017-08-01,12.600000381469727
2017-08-02,12.300000190734863
2017-08-03,12.300000190734863
2017-08-04,12.65999984741211
2017-08-07,13.0
2017-08-08,12.699999809265137
2017-08-09,12.300000190734863
2017-08-10,12.0
2017-08-11,12.149999618530273
2017-08-14,11.899999618530273
2017-08-15,11.899999618530273
2017-08-16,11.899999618530273
2017-08-17,12.100000381469727
2017-08-18,12.399999618530273
2017-08-21,12.300000190734863
2017-08-22,12.100000381469727
2017-08-23,12.199999809265137
2017-08-24,12.300000190734863
2017-08-25,13.699999809265137
2017-08-28,13.100000381469727
2017-08-29,13.800000190734863
2017-08-30,13.600000381469727
2017-08-31,13.699999809265137
2017-09-01,14.0
2017-09-05,13.59000015258789
2017-09-06,15.0
2017-09-07,14.5
2017-09-08,14.289999961853027
2017-09-11,14.5
2017-09-12,14.5
2017-09-13,14.5
2017-09-14,16.799999237060547
2017-09-15,16.899999618530273
2017-09-18,16.0
2017-09-19,16.600000381469727
2017-09-20,18.299999237060547
2017-09-21,17.899999618530273
2017-09-22,18.200000762939453
2017-09-25,18.299999237060547
2017-09-26,17.600000381469727
2017-09-27,18.299999237060547
2017-09-28,22.299999237060547
2017-09-29,21.200000762939453
2017-10-02,26.399999618530273
2017-10-03,28.299999237060547
2017-10-04,30.299999237060547
2017-10-05,28.399999618530273
2017-10-06,24.899999618530273
2017-10-09,25.5
2017-10-10,22.5
2017-10-11,25.600000381469727
2017-10-12,24.700000762939453
2017-10-13,24.100000381469727
2017-10-16,23.600000381469727
2017-10-17,22.899999618530273
2017-10-18,23.700000762939453
2017-10-19,23.700000762939453
2017-10-20,23.100000381469727
2017-10-23,22.5
2017-10-24,21.700000762939453
2017-10-25,21.299999237060547
2017-10-26,20.799999237060547
2017-10-27,21.200000762939453
2017-10-30,20.799999237060547
2017-10-31,20.399999618530273
2017-11-01,19.600000381469727
2017-11-02,18.399999618530273
2017-11-03,19.899999618530273
2017-11-06,19.799999237060547
2017-11-07,18.200000762939453
2017-11-08,18.200000762939453
2017-11-09,18.799999237060547
2017-11-10,18.200000762939453
2017-11-13,17.0
2017-11-14,16.0
2017-11-15,16.299999237060547
2017-11-16,16.5
2017-11-17,16.200000762939453
2017-11-20,17.100000381469727
