,ARCT
2015-04-13,41.439998626708984
2015-04-14,40.7400016784668
2015-04-15,40.459999084472656
2015-04-16,40.38999938964844
2015-04-17,39.27000045776367
2015-04-20,40.11000061035156
2015-04-21,39.900001525878906
2015-04-22,40.7400016784668
2015-04-23,40.810001373291016
2015-04-24,41.29999923706055
2015-04-27,39.970001220703125
2015-04-28,40.040000915527344
2015-04-29,39.27000045776367
2015-04-30,41.15999984741211
2015-05-01,41.58000183105469
2015-05-04,40.599998474121094
2015-05-05,39.20000076293945
2015-05-06,38.709999084472656
2015-05-07,39.20000076293945
2015-05-08,44.45000076293945
2015-05-11,43.2599983215332
2015-05-12,44.2400016784668
2015-05-13,43.119998931884766
2015-05-14,44.79999923706055
2015-05-15,45.0099983215332
2015-05-18,44.59000015258789
2015-05-19,43.33000183105469
2015-05-20,47.18000030517578
2015-05-21,44.029998779296875
2015-05-22,45.5
2015-05-26,49.0
2015-05-27,48.15999984741211
2015-05-28,52.08000183105469
2015-05-29,53.900001525878906
2015-06-01,52.5
2015-06-02,53.20000076293945
2015-06-03,53.40999984741211
2015-06-04,57.470001220703125
2015-06-05,55.29999923706055
2015-06-08,52.9900016784668
2015-06-09,52.9900016784668
2015-06-10,53.689998626708984
2015-06-11,52.5
2015-06-12,52.5
2015-06-15,52.849998474121094
2015-06-16,52.91999816894531
2015-06-17,54.18000030517578
2015-06-18,53.900001525878906
2015-06-19,53.060001373291016
2015-06-22,57.119998931884766
2015-06-23,58.72999954223633
2015-06-24,51.099998474121094
2015-06-25,47.66999816894531
2015-06-26,44.72999954223633
2015-06-29,44.029998779296875
2015-06-30,45.779998779296875
2015-07-01,43.68000030517578
2015-07-02,44.65999984741211
2015-07-06,44.16999816894531
2015-07-07,42.84000015258789
2015-07-08,42.209999084472656
2015-07-09,42.90999984741211
2015-07-10,45.220001220703125
2015-07-13,46.970001220703125
2015-07-14,51.45000076293945
2015-07-15,50.119998931884766
2015-07-16,50.540000915527344
2015-07-17,51.029998779296875
2015-07-20,49.77000045776367
2015-07-21,51.380001068115234
2015-07-22,52.43000030517578
2015-07-23,52.43000030517578
2015-07-24,52.290000915527344
2015-07-27,53.970001220703125
2015-07-28,52.56999969482422
2015-07-29,52.0099983215332
2015-07-30,51.310001373291016
2015-07-31,51.72999954223633
2015-08-03,52.5
2015-08-04,55.15999984741211
2015-08-05,54.7400016784668
2015-08-06,53.900001525878906
2015-08-07,53.619998931884766
2015-08-10,54.529998779296875
2015-08-11,54.810001373291016
2015-08-12,53.40999984741211
2015-08-13,57.2599983215332
2015-08-14,60.970001220703125
2015-08-17,64.61000061035156
2015-08-18,64.19000244140625
2015-08-19,61.7400016784668
2015-08-20,59.63999938964844
2015-08-21,58.16999816894531
2015-08-24,54.880001068115234
2015-08-25,55.02000045776367
2015-08-26,54.880001068115234
2015-08-27,54.31999969482422
2015-08-28,55.58000183105469
2015-08-31,53.7599983215332
2015-09-01,56.630001068115234
2015-09-02,55.29999923706055
2015-09-03,54.459999084472656
2015-09-04,53.20000076293945
2015-09-08,54.810001373291016
2015-09-09,53.47999954223633
2015-09-10,55.29999923706055
2015-09-11,53.970001220703125
2015-09-14,54.599998474121094
2015-09-15,54.880001068115234
2015-09-16,54.040000915527344
2015-09-17,54.599998474121094
2015-09-18,57.81999969482422
2015-09-21,57.04999923706055
2015-09-22,54.040000915527344
2015-09-23,53.20000076293945
2015-09-24,52.5
2015-09-25,48.790000915527344
2015-09-28,40.66999816894531
2015-09-29,41.439998626708984
2015-09-30,42.279998779296875
2015-10-01,40.529998779296875
2015-10-02,40.31999969482422
2015-10-05,39.83000183105469
2015-10-06,41.86000061035156
2015-10-07,41.369998931884766
2015-10-08,38.43000030517578
2015-10-09,39.619998931884766
2015-10-12,40.18000030517578
2015-10-13,38.5
2015-10-14,41.93000030517578
2015-10-15,42.90999984741211
2015-10-16,43.959999084472656
2015-10-19,45.9900016784668
2015-10-20,46.83000183105469
2015-10-21,45.43000030517578
2015-10-22,43.959999084472656
2015-10-23,47.11000061035156
2015-10-26,47.810001373291016
2015-10-27,48.439998626708984
2015-10-28,51.310001373291016
2015-10-29,54.040000915527344
2015-10-30,58.310001373291016
2015-11-02,57.959999084472656
2015-11-03,55.650001525878906
2015-11-04,57.81999969482422
2015-11-05,55.5099983215332
2015-11-06,56.41999816894531
2015-11-09,56.13999938964844
2015-11-10,54.31999969482422
2015-11-11,52.56999969482422
2015-11-12,49.84000015258789
2015-11-13,43.75
2015-11-16,42.70000076293945
2015-11-17,40.66999816894531
2015-11-18,41.58000183105469
2015-11-19,42.560001373291016
2015-11-20,43.540000915527344
2015-11-23,43.75
2015-11-24,46.54999923706055
2015-11-25,46.130001068115234
2015-11-27,46.27000045776367
2015-11-30,46.130001068115234
2015-12-01,45.63999938964844
2015-12-02,44.72999954223633
2015-12-03,43.88999938964844
2015-12-04,42.90999984741211
2015-12-07,41.5099983215332
2015-12-08,42.13999938964844
2015-12-09,41.439998626708984
2015-12-10,40.7400016784668
2015-12-11,41.790000915527344
2015-12-14,42.0
2015-12-15,41.02000045776367
2015-12-16,40.66999816894531
2015-12-17,40.880001068115234
2015-12-18,40.66999816894531
2015-12-21,40.38999938964844
2015-12-22,40.31999969482422
2015-12-23,40.529998779296875
2015-12-24,41.369998931884766
2015-12-28,42.0
2015-12-29,42.279998779296875
2015-12-30,42.06999969482422
2015-12-31,43.959999084472656
2016-01-04,43.68000030517578
2016-01-05,44.72999954223633
2016-01-06,41.650001525878906
2016-01-07,38.9900016784668
2016-01-08,38.290000915527344
2016-01-11,36.400001525878906
2016-01-12,36.540000915527344
2016-01-13,33.66999816894531
2016-01-14,34.439998626708984
2016-01-15,35.06999969482422
2016-01-19,35.13999938964844
2016-01-20,35.97999954223633
2016-01-21,35.0
2016-01-22,35.77000045776367
2016-01-25,35.84000015258789
2016-01-26,36.189998626708984
2016-01-27,35.349998474121094
2016-01-28,35.06999969482422
2016-01-29,35.84000015258789
2016-02-01,36.61000061035156
2016-02-02,35.70000076293945
2016-02-03,35.84000015258789
2016-02-04,36.470001220703125
2016-02-05,35.06999969482422
2016-02-08,34.5099983215332
2016-02-09,35.0
2016-02-10,36.540000915527344
2016-02-11,37.380001068115234
2016-02-12,39.27000045776367
2016-02-16,38.290000915527344
2016-02-17,36.2599983215332
2016-02-18,35.90999984741211
2016-02-19,35.90999984741211
2016-02-22,34.790000915527344
2016-02-23,32.83000183105469
2016-02-24,33.38999938964844
2016-02-25,33.459999084472656
2016-02-26,33.040000915527344
2016-02-29,32.619998931884766
2016-03-01,31.850000381469727
2016-03-02,32.130001068115234
2016-03-03,33.18000030517578
2016-03-04,32.83000183105469
2016-03-07,33.880001068115234
2016-03-08,32.7599983215332
2016-03-09,31.079999923706055
2016-03-10,31.010000228881836
2016-03-11,31.709999084472656
2016-03-14,32.34000015258789
2016-03-15,30.65999984741211
2016-03-16,29.260000228881836
2016-03-17,28.489999771118164
2016-03-18,28.209999084472656
2016-03-21,28.559999465942383
2016-03-22,28.6299991607666
