,CINF
1991-04-16,9.232549667358398
1991-04-17,9.17541790008545
1991-04-18,9.186843872070312
1991-04-19,9.301109313964844
1991-04-22,9.232549667358398
1991-04-23,9.32396125793457
1991-04-24,9.643900871276855
1991-04-25,9.643900871276855
1991-04-26,9.598196029663086
1991-04-29,9.552490234375
1991-04-30,9.666753768920898
1991-05-01,9.735313415527344
1991-05-02,9.75816535949707
1991-05-03,9.712459564208984
1991-05-06,9.712459564208984
1991-05-07,9.781018257141113
1991-05-08,9.872429847717285
1991-05-09,10.215222358703613
1991-05-10,10.386618614196777
1991-05-13,10.192370414733887
1991-05-14,10.2609281539917
1991-05-15,10.2609281539917
1991-05-16,10.215222358703613
1991-05-17,10.249502182006836
1991-05-20,10.283781051635742
1991-05-21,10.283781051635742
1991-05-22,10.306633949279785
1991-05-23,10.283781051635742
1991-05-24,10.192370414733887
1991-05-28,10.215222358703613
1991-05-29,10.329486846923828
1991-05-30,10.215222358703613
1991-05-31,10.238075256347656
1991-06-03,10.100957870483398
1991-06-04,10.146663665771484
1991-06-05,10.146663665771484
1991-06-06,10.158089637756348
1991-06-07,10.055252075195312
1991-06-10,10.04382610321045
1991-06-11,9.9866943359375
1991-06-12,9.963841438293457
1991-06-13,10.055252075195312
1991-06-14,10.020973205566406
1991-06-17,10.146663665771484
1991-06-18,10.146663665771484
1991-06-19,10.032400131225586
1991-06-20,10.055252075195312
1991-06-21,10.055252075195312
1991-06-24,10.078104972839355
1991-06-25,10.238075256347656
1991-06-26,10.249502182006836
1991-06-27,10.329486846923828
1991-06-28,10.375191688537598
1991-07-01,10.306633949279785
1991-07-02,10.375191688537598
1991-07-03,10.455177307128906
1991-07-05,10.4208984375
1991-07-08,10.329486846923828
1991-07-09,10.4208984375
1991-07-10,10.558014869689941
1991-07-11,10.466604232788086
1991-07-12,10.329486846923828
1991-07-15,10.352338790893555
1991-07-16,10.489457130432129
1991-07-17,10.489457130432129
1991-07-18,10.466604232788086
1991-07-19,10.39804458618164
1991-07-22,10.603720664978027
1991-07-23,10.489457130432129
1991-07-24,10.466604232788086
1991-07-25,10.329486846923828
1991-07-26,10.100957870483398
1991-07-29,10.146663665771484
1991-07-30,10.238075256347656
1991-07-31,10.375191688537598
1991-08-01,10.375191688537598
1991-08-02,10.375191688537598
1991-08-05,10.329486846923828
1991-08-06,10.466604232788086
1991-08-07,10.558014869689941
1991-08-08,10.466604232788086
1991-08-09,10.603720664978027
1991-08-12,10.466604232788086
1991-08-13,10.580867767333984
1991-08-14,10.649426460266113
1991-08-15,10.786543846130371
1991-08-16,10.923661231994629
1991-08-19,10.763690948486328
1991-08-20,10.786543846130371
1991-08-21,11.1293363571167
1991-08-22,11.175042152404785
1991-08-23,11.175042152404785
1991-08-26,11.220747947692871
1991-08-27,11.220747947692871
1991-08-28,11.072203636169434
1991-08-29,10.809395790100098
1991-08-30,10.649426460266113
1991-09-03,10.649426460266113
1991-09-04,10.558014869689941
1991-09-05,10.6951322555542
1991-09-06,10.580867767333984
1991-09-09,10.672279357910156
1991-09-10,10.580867767333984
1991-09-11,10.649426460266113
1991-09-12,10.580867767333984
1991-09-13,10.62657356262207
1991-09-16,10.489457130432129
1991-09-17,10.558014869689941
1991-09-18,10.558014869689941
1991-09-19,10.512309074401855
1991-09-20,10.47803020477295
1991-09-23,10.512309074401855
1991-09-24,10.512309074401855
1991-09-25,10.500883102416992
1991-09-26,10.500883102416992
1991-09-27,10.512309074401855
1991-09-30,10.512309074401855
1991-10-01,10.558014869689941
1991-10-02,10.6951322555542
1991-10-03,10.786543846130371
1991-10-04,10.740838050842285
1991-10-07,10.649426460266113
1991-10-08,10.717985153198242
1991-10-09,10.603720664978027
1991-10-10,10.6951322555542
1991-10-11,10.580867767333984
1991-10-14,10.558014869689941
1991-10-15,10.603720664978027
1991-10-16,10.580867767333984
1991-10-17,10.580867767333984
1991-10-18,10.672279357910156
1991-10-21,10.672279357910156
1991-10-22,10.535161972045898
1991-10-23,10.146663665771484
1991-10-24,10.123810768127441
1991-10-25,10.192370414733887
1991-10-28,10.123810768127441
1991-10-29,10.192370414733887
1991-10-30,10.009547233581543
1991-10-31,10.078104972839355
1991-11-01,10.055252075195312
1991-11-04,10.055252075195312
1991-11-05,9.963841438293457
1991-11-06,9.963841438293457
1991-11-07,9.849576950073242
1991-11-08,10.055252075195312
1991-11-11,10.306633949279785
1991-11-12,10.215222358703613
1991-11-13,10.238075256347656
1991-11-14,10.238075256347656
1991-11-15,10.2609281539917
1991-11-18,10.283781051635742
1991-11-19,10.123810768127441
1991-11-20,10.146663665771484
1991-11-21,10.192370414733887
1991-11-22,10.192370414733887
1991-11-25,10.123810768127441
1991-11-26,10.283781051635742
1991-11-27,10.123810768127441
1991-11-29,10.100957870483398
1991-12-02,10.100957870483398
1991-12-03,10.169516563415527
1991-12-04,10.055252075195312
1991-12-05,10.146663665771484
1991-12-06,10.123810768127441
1991-12-09,10.192370414733887
1991-12-10,10.078104972839355
1991-12-11,10.18094253540039
1991-12-12,10.192370414733887
1991-12-13,10.146663665771484
1991-12-16,10.146663665771484
1991-12-17,10.100957870483398
1991-12-18,9.963841438293457
1991-12-19,10.055252075195312
1991-12-20,10.032400131225586
1991-12-23,10.100957870483398
1991-12-24,9.963841438293457
1991-12-26,10.100957870483398
1991-12-27,9.940987586975098
1991-12-30,9.781018257141113
1991-12-31,9.8267240524292
1992-01-02,9.803871154785156
1992-01-03,9.963841438293457
1992-01-06,10.100957870483398
1992-01-07,10.512309074401855
1992-01-08,10.83224868774414
1992-01-09,10.923661231994629
1992-01-10,11.015071868896484
1992-01-13,11.015071868896484
1992-01-14,11.083630561828613
1992-01-15,10.900808334350586
1992-01-16,10.877955436706543
1992-01-17,10.877955436706543
1992-01-20,10.877955436706543
1992-01-21,10.786543846130371
1992-01-22,10.877955436706543
1992-01-23,10.83224868774414
1992-01-24,10.969366073608398
1992-01-27,10.923661231994629
1992-01-28,10.877955436706543
