,CLSK
2020-10-15,10.289999961853027
2020-10-16,9.720000267028809
2020-10-19,9.260000228881836
2020-10-20,9.0
2020-10-21,8.880000114440918
2020-10-22,8.970000267028809
2020-10-23,8.800000190734863
2020-10-26,8.069999694824219
2020-10-27,7.829999923706055
2020-10-28,7.210000038146973
2020-10-29,7.989999771118164
2020-10-30,7.550000190734863
2020-11-02,7.730000019073486
2020-11-03,8.630000114440918
2020-11-04,8.619999885559082
2020-11-05,9.300000190734863
2020-11-06,9.029999732971191
2020-11-09,9.140000343322754
2020-11-10,8.729999542236328
2020-11-11,9.119999885559082
2020-11-12,8.890000343322754
2020-11-13,8.819999694824219
2020-11-16,8.920000076293945
2020-11-17,8.8100004196167
2020-11-18,9.920000076293945
2020-11-19,10.59000015258789
2020-11-20,10.149999618530273
2020-11-23,11.09000015258789
2020-11-24,10.380000114440918
2020-11-25,11.069999694824219
2020-11-27,10.930000305175781
2020-11-30,10.899999618530273
2020-12-01,11.600000381469727
2020-12-02,11.0
2020-12-03,10.850000381469727
2020-12-04,11.600000381469727
2020-12-07,11.75
2020-12-08,12.729999542236328
2020-12-09,13.09000015258789
2020-12-10,15.390000343322754
2020-12-11,15.949999809265137
2020-12-14,16.260000228881836
2020-12-15,17.09000015258789
2020-12-16,16.530000686645508
2020-12-17,17.600000381469727
2020-12-18,18.3799991607666
2020-12-21,21.799999237060547
2020-12-22,25.700000762939453
2020-12-23,23.399999618530273
2020-12-24,24.8700008392334
2020-12-28,28.899999618530273
2020-12-29,26.709999084472656
2020-12-30,29.049999237060547
2020-12-31,29.049999237060547
2021-01-04,26.65999984741211
2021-01-05,27.56999969482422
2021-01-06,35.20000076293945
2021-01-07,40.38999938964844
2021-01-08,38.900001525878906
2021-01-11,37.060001373291016
2021-01-12,36.04999923706055
2021-01-13,39.34000015258789
2021-01-14,35.709999084472656
2021-01-15,31.149999618530273
2021-01-19,30.559999465942383
2021-01-20,28.31999969482422
2021-01-21,25.200000762939453
2021-01-22,27.959999084472656
2021-01-25,27.299999237060547
2021-01-26,26.829999923706055
2021-01-27,24.559999465942383
2021-01-28,25.469999313354492
2021-01-29,26.389999389648438
