,ECHO
2015-08-26,22.889999389648438
2015-08-27,23.190000534057617
2015-08-28,23.010000228881836
2015-08-31,23.260000228881836
2015-09-01,22.190000534057617
2015-09-02,22.030000686645508
2015-09-03,22.850000381469727
2015-09-04,22.65999984741211
2015-09-08,23.559999465942383
2015-09-09,22.93000030517578
2015-09-10,22.989999771118164
2015-09-11,22.360000610351562
2015-09-14,21.90999984741211
2015-09-15,21.5
2015-09-16,21.8799991607666
2015-09-17,22.5
2015-09-18,22.489999771118164
2015-09-21,22.1299991607666
2015-09-22,21.270000457763672
2015-09-23,21.0
2015-09-24,20.65999984741211
2015-09-25,20.31999969482422
2015-09-28,19.68000030517578
2015-09-29,19.610000610351562
2015-09-30,19.600000381469727
2015-10-01,19.899999618530273
2015-10-02,20.8799991607666
2015-10-05,21.260000228881836
2015-10-06,21.700000762939453
2015-10-07,22.450000762939453
2015-10-08,22.3799991607666
2015-10-09,22.770000457763672
2015-10-12,22.260000228881836
2015-10-13,21.860000610351562
2015-10-14,21.8799991607666
2015-10-15,21.93000030517578
2015-10-16,21.989999771118164
2015-10-19,22.170000076293945
2015-10-20,21.729999542236328
2015-10-21,21.459999084472656
2015-10-22,21.479999542236328
2015-10-23,21.690000534057617
2015-10-26,20.93000030517578
2015-10-27,18.489999771118164
2015-10-28,17.219999313354492
2015-10-29,23.1299991607666
2015-10-30,23.790000915527344
2015-11-02,24.3799991607666
2015-11-03,24.420000076293945
2015-11-04,23.049999237060547
2015-11-05,23.65999984741211
2015-11-06,24.309999465942383
2015-11-09,23.8700008392334
2015-11-10,23.979999542236328
2015-11-11,23.3700008392334
2015-11-12,23.0
2015-11-13,22.940000534057617
2015-11-16,22.760000228881836
2015-11-17,23.34000015258789
2015-11-18,23.260000228881836
2015-11-19,23.420000076293945
2015-11-20,23.709999084472656
2015-11-23,23.56999969482422
2015-11-24,23.8700008392334
2015-11-25,23.8700008392334
2015-11-27,23.729999542236328
2015-11-30,23.600000381469727
2015-12-01,23.709999084472656
2015-12-02,23.719999313354492
2015-12-03,22.809999465942383
2015-12-04,23.110000610351562
2015-12-07,22.190000534057617
2015-12-08,21.1200008392334
2015-12-09,20.68000030517578
2015-12-10,21.190000534057617
2015-12-11,20.530000686645508
2015-12-14,20.309999465942383
2015-12-15,20.559999465942383
2015-12-16,21.25
2015-12-17,21.0
2015-12-18,20.34000015258789
2015-12-21,20.06999969482422
2015-12-22,20.290000915527344
2015-12-23,20.889999389648438
2015-12-24,20.860000610351562
2015-12-28,20.299999237060547
2015-12-29,20.350000381469727
2015-12-30,20.889999389648438
2015-12-31,20.389999389648438
2016-01-04,21.010000228881836
2016-01-05,21.399999618530273
2016-01-06,20.75
2016-01-07,20.0
2016-01-08,20.649999618530273
2016-01-11,20.450000762939453
2016-01-12,20.8700008392334
2016-01-13,19.360000610351562
2016-01-14,19.959999084472656
2016-01-15,19.700000762939453
2016-01-19,19.020000457763672
2016-01-20,19.68000030517578
2016-01-21,19.809999465942383
2016-01-22,20.719999313354492
2016-01-25,19.8799991607666
2016-01-26,20.850000381469727
2016-01-27,21.34000015258789
2016-01-28,20.940000534057617
2016-01-29,22.010000228881836
2016-02-01,22.149999618530273
2016-02-02,21.59000015258789
2016-02-03,21.729999542236328
2016-02-04,22.899999618530273
2016-02-05,23.649999618530273
2016-02-08,24.0
2016-02-09,23.68000030517578
2016-02-10,23.81999969482422
2016-02-11,24.290000915527344
2016-02-12,24.34000015258789
2016-02-16,24.84000015258789
2016-02-17,24.940000534057617
2016-02-18,24.649999618530273
2016-02-19,24.65999984741211
2016-02-22,24.34000015258789
2016-02-23,24.579999923706055
2016-02-24,24.889999389648438
2016-02-25,24.959999084472656
2016-02-26,25.389999389648438
2016-02-29,25.510000228881836
2016-03-01,25.75
2016-03-02,25.780000686645508
2016-03-03,26.040000915527344
2016-03-04,26.079999923706055
2016-03-07,26.399999618530273
2016-03-08,25.670000076293945
2016-03-09,25.850000381469727
2016-03-10,25.729999542236328
2016-03-11,26.200000762939453
2016-03-14,26.1299991607666
2016-03-15,25.81999969482422
2016-03-16,26.360000610351562
2016-03-17,27.610000610351562
2016-03-18,28.040000915527344
2016-03-21,28.149999618530273
2016-03-22,27.440000534057617
2016-03-23,27.360000610351562
2016-03-24,26.940000534057617
2016-03-28,26.420000076293945
2016-03-29,27.1200008392334
2016-03-30,26.920000076293945
2016-03-31,27.15999984741211
2016-04-01,26.850000381469727
2016-04-04,26.850000381469727
2016-04-05,26.149999618530273
2016-04-06,26.010000228881836
2016-04-07,25.510000228881836
2016-04-08,25.799999237060547
2016-04-11,25.239999771118164
2016-04-12,24.979999542236328
2016-04-13,25.809999465942383
2016-04-14,25.469999313354492
2016-04-15,25.510000228881836
2016-04-18,25.719999313354492
2016-04-19,25.690000534057617
2016-04-20,25.739999771118164
2016-04-21,25.489999771118164
2016-04-22,26.030000686645508
2016-04-25,25.6200008392334
2016-04-26,25.81999969482422
2016-04-27,25.1299991607666
2016-04-28,24.690000534057617
2016-04-29,23.3700008392334
2016-05-02,24.059999465942383
2016-05-03,23.649999618530273
2016-05-04,23.15999984741211
2016-05-05,22.809999465942383
2016-05-06,23.450000762939453
2016-05-09,23.6200008392334
2016-05-10,23.780000686645508
2016-05-11,23.09000015258789
2016-05-12,22.59000015258789
2016-05-13,22.09000015258789
2016-05-16,22.1200008392334
2016-05-17,21.3700008392334
2016-05-18,21.8799991607666
2016-05-19,22.09000015258789
2016-05-20,22.479999542236328
2016-05-23,21.90999984741211
2016-05-24,22.3799991607666
2016-05-25,22.549999237060547
2016-05-26,22.360000610351562
2016-05-27,22.690000534057617
2016-05-31,22.65999984741211
2016-06-01,22.670000076293945
2016-06-02,22.950000762939453
2016-06-03,22.8700008392334
2016-06-06,23.510000228881836
2016-06-07,23.5
2016-06-08,23.729999542236328
2016-06-09,23.350000381469727
2016-06-10,22.8799991607666
2016-06-13,22.65999984741211
2016-06-14,22.559999465942383
2016-06-15,22.889999389648438
2016-06-16,22.8799991607666
2016-06-17,23.209999084472656
2016-06-20,23.079999923706055
2016-06-21,22.770000457763672
2016-06-22,22.420000076293945
2016-06-23,22.34000015258789
2016-06-24,21.43000030517578
2016-06-27,20.760000228881836
2016-06-28,20.6299991607666
2016-06-29,21.670000076293945
2016-06-30,22.420000076293945
2016-07-01,22.5
2016-07-05,21.56999969482422
2016-07-06,21.670000076293945
2016-07-07,22.110000610351562
2016-07-08,23.079999923706055
2016-07-11,23.40999984741211
2016-07-12,23.5
2016-07-13,23.75
2016-07-14,23.899999618530273
2016-07-15,24.049999237060547
2016-07-18,24.229999542236328
2016-07-19,24.139999389648438
2016-07-20,24.18000030517578
2016-07-21,23.760000228881836
2016-07-22,24.040000915527344
2016-07-25,23.8799991607666
2016-07-26,24.5
2016-07-27,24.25
