,IHP
2010-11-10,1.5199999809265137
2010-11-11,1.5299999713897705
2010-11-12,1.590000033378601
2010-11-15,
2010-11-16,
2010-11-17,
2010-11-18,
2010-11-19,1.600000023841858
2010-11-22,1.6799999475479126
2010-11-23,1.600000023841858
2010-11-24,
2010-11-26,
2010-11-29,
2010-11-30,
2010-12-01,
2010-12-02,1.5700000524520874
2010-12-03,1.5299999713897705
2010-12-06,1.5
2010-12-07,
2010-12-08,1.5700000524520874
2010-12-09,
2010-12-10,
2010-12-13,
2010-12-14,
2010-12-15,1.5800000429153442
2010-12-16,
2010-12-17,1.7200000286102295
2010-12-20,
2010-12-21,1.7000000476837158
2010-12-22,
2010-12-23,
2010-12-27,
2010-12-28,
2010-12-29,
2010-12-30,
2010-12-31,
2011-01-03,
2011-01-04,
2011-01-05,
2011-01-06,2.069999933242798
2011-01-07,
2011-01-10,1.899999976158142
2011-01-11,1.809999942779541
2011-01-12,1.899999976158142
2011-01-13,1.9600000381469727
2011-01-14,
2011-01-18,1.899999976158142
2011-01-19,1.9500000476837158
2011-01-20,
2011-01-21,
2011-01-24,
2011-01-25,
2011-01-26,1.899999976158142
2011-01-27,1.899999976158142
2011-01-28,1.9600000381469727
2011-01-31,1.9600000381469727
2011-02-01,1.8899999856948853
2011-02-02,1.9500000476837158
2011-02-03,2.0
2011-02-04,1.899999976158142
2011-02-07,1.8300000429153442
2011-02-08,1.8200000524520874
2011-02-09,1.7999999523162842
2011-02-10,1.8200000524520874
2011-02-11,1.899999976158142
2011-02-14,1.809999942779541
2011-02-15,
2011-02-16,
2011-02-17,1.8200000524520874
2011-02-18,
2011-02-22,1.8300000429153442
2011-02-23,
2011-02-24,1.8300000429153442
2011-02-25,
2011-02-28,1.7999999523162842
2011-03-01,
2011-03-02,1.7100000381469727
2011-03-03,
2011-03-04,
2011-03-07,
2011-03-08,1.659999966621399
2011-03-09,
2011-03-10,1.6699999570846558
2011-03-11,
2011-03-14,
2011-03-15,1.6699999570846558
2011-03-16,1.590000033378601
2011-03-17,
2011-03-18,1.5199999809265137
2011-03-21,1.4700000286102295
2011-03-22,1.5399999618530273
2011-03-23,1.6100000143051147
2011-03-24,1.6699999570846558
2011-03-25,1.590000033378601
2011-03-28,1.590000033378601
2011-03-29,1.5199999809265137
2011-03-30,
2011-03-31,1.440000057220459
2011-04-01,
2011-04-04,1.440000057220459
2011-04-05,
2011-04-06,1.399999976158142
2011-04-07,
2011-04-08,
2011-04-11,1.4500000476837158
2011-04-12,1.4199999570846558
2011-04-13,
2011-04-14,1.4800000190734863
2011-04-15,1.5099999904632568
2011-04-18,
2011-04-19,1.5099999904632568
2011-04-20,
2011-04-21,
2011-04-25,
2011-04-26,
2011-04-27,1.440000057220459
2011-04-28,
2011-04-29,1.4800000190734863
2011-05-02,
2011-05-03,
2011-05-04,1.3799999952316284
2011-05-05,1.440000057220459
2011-05-06,
2011-05-09,
2011-05-10,1.5099999904632568
2011-05-11,1.440000057220459
2011-05-12,1.5099999904632568
2011-05-13,1.4900000095367432
2011-05-16,
2011-05-17,
2011-05-18,1.5
