,BIDU
2008-09-09,25.413000106811523
2008-09-10,26.40999984741211
2008-09-11,28.25200080871582
2008-09-12,28.201000213623047
2008-09-15,27.302000045776367
2008-09-16,26.64900016784668
2008-09-17,25.445999145507812
2008-09-18,30.524999618530273
2008-09-19,28.975000381469727
2008-09-22,26.863000869750977
2008-09-23,26.350000381469727
2008-09-24,26.726999282836914
2008-09-25,27.549999237060547
2008-09-26,26.075000762939453
2008-09-29,23.1200008392334
2008-09-30,24.822999954223633
2008-10-01,24.448999404907227
2008-10-02,23.351999282836914
2008-10-03,22.23699951171875
2008-10-06,22.76799964904785
2008-10-07,21.444000244140625
2008-10-08,21.33099937438965
2008-10-09,20.618000030517578
2008-10-10,21.375
2008-10-13,26.604999542236328
2008-10-14,25.024999618530273
2008-10-15,22.719999313354492
2008-10-16,22.6299991607666
2008-10-17,23.95199966430664
2008-10-20,25.437999725341797
2008-10-21,24.867000579833984
2008-10-22,24.909000396728516
2008-10-23,21.253999710083008
2008-10-24,19.121999740600586
2008-10-27,17.899999618530273
2008-10-28,20.895000457763672
2008-10-29,21.191999435424805
2008-10-30,21.360000610351562
2008-10-31,20.600000381469727
2008-11-03,20.472000122070312
2008-11-04,23.461999893188477
2008-11-05,21.729000091552734
2008-11-06,20.965999603271484
2008-11-07,21.799999237060547
2008-11-10,21.128000259399414
2008-11-11,19.08300018310547
2008-11-12,18.298999786376953
2008-11-13,18.98699951171875
2008-11-14,17.888999938964844
2008-11-17,13.409000396728516
2008-11-18,12.87600040435791
2008-11-19,11.173999786376953
2008-11-20,11.03499984741211
2008-11-21,11.269000053405762
2008-11-24,11.512999534606934
2008-11-25,12.402999877929688
2008-11-26,14.274999618530273
2008-11-28,13.588000297546387
2008-12-01,11.630999565124512
2008-12-02,11.857000350952148
2008-12-03,11.366999626159668
2008-12-04,11.45300006866455
2008-12-05,10.90999984741211
2008-12-08,11.795000076293945
2008-12-09,10.935999870300293
2008-12-10,10.454000473022461
2008-12-11,11.130000114440918
2008-12-12,11.399999618530273
2008-12-15,11.809000015258789
2008-12-16,13.199999809265137
2008-12-17,13.550000190734863
2008-12-18,13.069000244140625
2008-12-19,13.107000350952148
2008-12-22,12.307000160217285
2008-12-23,12.5
2008-12-24,12.371999740600586
2008-12-26,12.388999938964844
2008-12-29,12.1850004196167
2008-12-30,12.692999839782715
2008-12-31,13.057000160217285
2009-01-02,13.541000366210938
2009-01-05,13.784000396728516
2009-01-06,13.572999954223633
2009-01-07,12.734000205993652
2009-01-08,12.46500015258789
2009-01-09,12.064000129699707
2009-01-12,11.40999984741211
2009-01-13,11.550000190734863
2009-01-14,10.975000381469727
2009-01-15,10.944000244140625
2009-01-16,11.59000015258789
