,ACGLP
2018-03-22,24.110000610351562
2018-03-23,24.139999389648438
2018-03-26,24.059999465942383
2018-03-27,24.100000381469727
2018-03-28,24.100000381469727
2018-03-29,24.270000457763672
2018-04-02,24.329999923706055
2018-04-03,24.15999984741211
2018-04-04,24.149999618530273
2018-04-05,24.100000381469727
2018-04-06,23.989999771118164
2018-04-09,23.709999084472656
2018-04-10,23.559999465942383
2018-04-11,23.780000686645508
2018-04-12,23.8700008392334
2018-04-13,23.81999969482422
2018-04-16,23.84000015258789
2018-04-17,23.979999542236328
2018-04-18,23.940000534057617
2018-04-19,23.8700008392334
2018-04-20,24.149999618530273
2018-04-23,23.850000381469727
2018-04-24,23.790000915527344
2018-04-25,23.65999984741211
2018-04-26,23.770000457763672
2018-04-27,23.729999542236328
2018-04-30,23.770000457763672
2018-05-01,23.729999542236328
2018-05-02,23.670000076293945
2018-05-03,23.520000457763672
2018-05-04,23.700000762939453
2018-05-07,23.700000762939453
2018-05-08,23.649999618530273
2018-05-09,23.700000762939453
2018-05-10,23.709999084472656
2018-05-11,23.81999969482422
2018-05-14,23.760000228881836
2018-05-15,23.649999618530273
2018-05-16,23.68000030517578
2018-05-17,23.649999618530273
2018-05-18,23.600000381469727
2018-05-21,23.690000534057617
2018-05-22,23.709999084472656
2018-05-23,23.68000030517578
2018-05-24,23.81999969482422
2018-05-25,23.809999465942383
2018-05-29,23.84000015258789
2018-05-30,23.90999984741211
2018-05-31,23.850000381469727
2018-06-01,24.079999923706055
2018-06-04,24.350000381469727
2018-06-05,24.420000076293945
2018-06-06,24.399999618530273
2018-06-07,24.399999618530273
2018-06-08,24.389999389648438
2018-06-11,24.360000610351562
2018-06-12,24.34000015258789
2018-06-13,24.389999389648438
2018-06-14,24.059999465942383
2018-06-15,24.059999465942383
2018-06-18,24.059999465942383
2018-06-19,24.040000915527344
2018-06-20,23.979999542236328
2018-06-21,23.920000076293945
2018-06-22,24.0
2018-06-25,23.920000076293945
2018-06-26,23.94499969482422
2018-06-27,23.979999542236328
2018-06-28,23.8799991607666
2018-06-29,23.940000534057617
2018-07-02,24.0
2018-07-03,24.149999618530273
2018-07-05,24.145000457763672
2018-07-06,24.125
2018-07-09,24.209999084472656
2018-07-10,24.190000534057617
2018-07-11,24.135000228881836
2018-07-12,24.1299991607666
2018-07-13,24.139999389648438
2018-07-16,24.079999923706055
2018-07-17,23.940000534057617
2018-07-18,23.799999237060547
2018-07-19,23.8799991607666
2018-07-20,23.889999389648438
2018-07-23,23.850000381469727
2018-07-24,23.940000534057617
2018-07-25,23.920000076293945
2018-07-26,23.920000076293945
2018-07-27,23.8799991607666
2018-07-30,23.81999969482422
2018-07-31,23.75
2018-08-01,23.799999237060547
2018-08-02,23.84000015258789
2018-08-03,23.899999618530273
2018-08-06,23.93000030517578
2018-08-07,23.920000076293945
2018-08-08,23.899999618530273
2018-08-09,23.8799991607666
2018-08-10,23.899999618530273
