,BSML
2021-02-17,25.309999465942383
2021-02-18,25.309999465942383
2021-02-19,25.309999465942383
2021-02-22,25.299999237060547
2021-02-23,25.297000885009766
2021-02-24,25.290000915527344
2021-02-25,25.290000915527344
2021-02-26,25.309999465942383
2021-03-01,25.350000381469727
2021-03-02,25.350000381469727
2021-03-03,25.315000534057617
2021-03-04,25.30699920654297
2021-03-05,25.31999969482422
2021-03-08,25.31999969482422
2021-03-09,25.325000762939453
2021-03-10,25.325000762939453
2021-03-11,25.325000762939453
2021-03-12,25.31999969482422
2021-03-15,25.325000762939453
2021-03-16,25.360000610351562
2021-03-17,25.360000610351562
2021-03-18,25.34000015258789
2021-03-19,25.315000534057617
2021-03-22,25.30500030517578
2021-03-23,25.309999465942383
2021-03-24,25.309999465942383
2021-03-25,25.315000534057617
2021-03-26,25.315000534057617
2021-03-29,25.315000534057617
2021-03-30,25.325000762939453
2021-03-31,25.315000534057617
2021-04-01,25.31999969482422
2021-04-05,25.315000534057617
2021-04-06,25.315000534057617
2021-04-07,25.315000534057617
2021-04-08,25.31999969482422
2021-04-09,25.31999969482422
2021-04-12,25.31999969482422
2021-04-13,25.31999969482422
2021-04-14,25.31999969482422
2021-04-15,25.31999969482422
2021-04-16,25.31999969482422
2021-04-19,25.309999465942383
2021-04-20,25.309999465942383
2021-04-21,25.309999465942383
2021-04-22,25.309999465942383
2021-04-23,25.309999465942383
2021-04-26,25.309999465942383
2021-04-27,25.309999465942383
2021-04-28,25.309999465942383
2021-04-29,25.31999969482422
2021-04-30,25.325000762939453
2021-05-03,25.30500030517578
2021-05-04,25.325000762939453
2021-05-05,25.280000686645508
2021-05-06,25.280000686645508
2021-05-07,25.28499984741211
2021-05-10,25.290000915527344
2021-05-11,25.290000915527344
2021-05-12,25.290000915527344
2021-05-13,25.31999969482422
2021-05-14,25.31999969482422
