,AMAL
2020-01-24,18.219999313354492
2020-01-27,17.969999313354492
2020-01-28,17.549999237060547
2020-01-29,17.25
2020-01-30,17.3700008392334
2020-01-31,17.239999771118164
2020-02-03,17.899999618530273
2020-02-04,18.719999313354492
2020-02-05,18.84000015258789
2020-02-06,18.420000076293945
2020-02-07,18.479999542236328
2020-02-10,18.760000228881836
2020-02-11,18.690000534057617
2020-02-12,18.59000015258789
2020-02-13,18.75
2020-02-14,18.139999389648438
2020-02-18,18.1299991607666
2020-02-19,18.34000015258789
2020-02-20,18.420000076293945
2020-02-21,18.200000762939453
2020-02-24,17.639999389648438
2020-02-25,17.389999389648438
2020-02-26,17.56999969482422
2020-02-27,16.1200008392334
2020-02-28,16.010000228881836
2020-03-02,17.020000457763672
2020-03-03,16.110000610351562
2020-03-04,16.5
2020-03-05,15.800000190734863
2020-03-06,15.640000343322754
2020-03-09,14.449999809265137
2020-03-10,14.229999542236328
2020-03-11,13.020000457763672
2020-03-12,11.670000076293945
2020-03-13,11.770000457763672
2020-03-16,10.390000343322754
2020-03-17,9.710000038146973
2020-03-18,8.890000343322754
2020-03-19,10.109999656677246
2020-03-20,9.079999923706055
2020-03-23,8.130000114440918
2020-03-24,9.0
2020-03-25,9.0
2020-03-26,9.779999732971191
2020-03-27,9.220000267028809
2020-03-30,10.319999694824219
2020-03-31,10.819999694824219
2020-04-01,9.260000228881836
2020-04-02,8.890000343322754
2020-04-03,8.84000015258789
2020-04-06,9.0
2020-04-07,9.029999732971191
2020-04-08,9.609999656677246
2020-04-09,9.699999809265137
2020-04-13,9.65999984741211
2020-04-14,9.319999694824219
2020-04-15,9.229999542236328
2020-04-16,8.539999961853027
2020-04-17,9.3100004196167
2020-04-20,9.170000076293945
2020-04-21,9.420000076293945
2020-04-22,9.319999694824219
2020-04-23,9.640000343322754
2020-04-24,10.270000457763672
2020-04-27,11.010000228881836
2020-04-28,10.710000038146973
2020-04-29,11.75
2020-04-30,10.699999809265137
2020-05-01,10.850000381469727
2020-05-04,10.350000381469727
2020-05-05,10.020000457763672
2020-05-06,9.739999771118164
2020-05-07,10.0
2020-05-08,10.609999656677246
2020-05-11,10.850000381469727
2020-05-12,9.8100004196167
2020-05-13,9.010000228881836
2020-05-14,9.050000190734863
2020-05-15,9.539999961853027
2020-05-18,10.489999771118164
2020-05-19,9.90999984741211
2020-05-20,10.399999618530273
2020-05-21,10.300000190734863
2020-05-22,10.569999694824219
2020-05-26,11.149999618530273
2020-05-27,12.210000038146973
2020-05-28,12.039999961853027
2020-05-29,11.229999542236328
2020-06-01,11.180000305175781
2020-06-02,11.140000343322754
2020-06-03,11.600000381469727
2020-06-04,11.529999732971191
2020-06-05,13.220000267028809
2020-06-08,13.0600004196167
2020-06-09,12.4399995803833
2020-06-10,11.739999771118164
2020-06-11,10.510000228881836
2020-06-12,10.970000267028809
2020-06-15,11.180000305175781
2020-06-16,11.789999961853027
2020-06-17,11.09000015258789
2020-06-18,11.010000228881836
2020-06-19,11.25
2020-06-22,11.300000190734863
2020-06-23,11.100000381469727
2020-06-24,11.220000267028809
2020-06-25,11.859999656677246
2020-06-26,12.569999694824219
2020-06-29,12.579999923706055
2020-06-30,12.640000343322754
2020-07-01,11.960000038146973
2020-07-02,11.619999885559082
2020-07-06,11.829999923706055
2020-07-07,11.210000038146973
2020-07-08,11.430000305175781
2020-07-09,10.800000190734863
2020-07-10,11.050000190734863
2020-07-13,10.869999885559082
2020-07-14,10.960000038146973
2020-07-15,11.720000267028809
2020-07-16,11.350000381469727
2020-07-17,11.239999771118164
2020-07-20,10.859999656677246
2020-07-21,11.489999771118164
2020-07-22,11.260000228881836
2020-07-23,11.319999694824219
2020-07-24,11.170000076293945
2020-07-27,11.3100004196167
2020-07-28,12.319999694824219
2020-07-29,12.479999542236328
2020-07-30,11.710000038146973
2020-07-31,11.550000190734863
2020-08-03,11.619999885559082
2020-08-04,11.239999771118164
2020-08-05,11.59000015258789
2020-08-06,11.640000343322754
2020-08-07,12.050000190734863
2020-08-10,12.149999618530273
2020-08-11,12.270000457763672
2020-08-12,12.550000190734863
2020-08-13,12.329999923706055
2020-08-14,12.369999885559082
2020-08-17,12.319999694824219
2020-08-18,11.619999885559082
2020-08-19,11.949999809265137
2020-08-20,11.609999656677246
2020-08-21,11.970000267028809
2020-08-24,12.25
2020-08-25,12.079999923706055
2020-08-26,11.670000076293945
2020-08-27,12.130000114440918
2020-08-28,12.25
2020-08-31,11.770000457763672
2020-09-01,11.930000305175781
2020-09-02,12.510000228881836
2020-09-03,11.9399995803833
2020-09-04,11.699999809265137
2020-09-08,12.279999732971191
2020-09-09,12.119999885559082
2020-09-10,11.899999618530273
2020-09-11,12.460000038146973
2020-09-14,12.850000381469727
2020-09-15,12.630000114440918
2020-09-16,12.579999923706055
2020-09-17,12.40999984741211
2020-09-18,11.829999923706055
2020-09-21,11.25
2020-09-22,10.779999732971191
2020-09-23,10.619999885559082
2020-09-24,10.520000457763672
2020-09-25,10.529999732971191
2020-09-28,10.640000343322754
2020-09-29,10.520000457763672
2020-09-30,10.579999923706055
2020-10-01,11.180000305175781
2020-10-02,11.600000381469727
2020-10-05,12.119999885559082
2020-10-06,12.319999694824219
2020-10-07,12.489999771118164
2020-10-08,12.470000267028809
2020-10-09,11.970000267028809
2020-10-12,12.350000381469727
2020-10-13,12.109999656677246
2020-10-14,11.729999542236328
2020-10-15,11.960000038146973
2020-10-16,11.859999656677246
2020-10-19,11.789999961853027
2020-10-20,11.970000267028809
2020-10-21,11.90999984741211
2020-10-22,12.020000457763672
2020-10-23,11.880000114440918
2020-10-26,11.869999885559082
2020-10-27,11.600000381469727
2020-10-28,11.100000381469727
2020-10-29,11.149999618530273
2020-10-30,11.100000381469727
2020-11-02,11.359999656677246
2020-11-03,11.800000190734863
2020-11-04,11.449999809265137
2020-11-05,11.789999961853027
2020-11-06,11.050000190734863
2020-11-09,12.930000305175781
2020-11-10,13.460000038146973
2020-11-11,12.920000076293945
2020-11-12,12.520000457763672
2020-11-13,12.5
2020-11-16,13.289999961853027
2020-11-17,13.369999885559082
2020-11-18,12.779999732971191
2020-11-19,13.239999771118164
2020-11-20,13.319999694824219
2020-11-23,13.109999656677246
2020-11-24,13.760000228881836
2020-11-25,13.520000457763672
2020-11-27,13.449999809265137
2020-11-30,12.720000267028809
2020-12-01,13.260000228881836
2020-12-02,13.270000457763672
2020-12-03,13.229999542236328
2020-12-04,13.609999656677246
2020-12-07,13.449999809265137
2020-12-08,13.40999984741211
2020-12-09,13.520000457763672
2020-12-10,13.520000457763672
2020-12-11,13.25
2020-12-14,13.25
2020-12-15,13.779999732971191
2020-12-16,13.960000038146973
2020-12-17,14.510000228881836
2020-12-18,14.170000076293945
2020-12-21,13.579999923706055
2020-12-22,13.600000381469727
2020-12-23,13.319999694824219
2020-12-24,13.640000343322754
2020-12-28,13.890000343322754
2020-12-29,13.600000381469727
2020-12-30,13.539999961853027
2020-12-31,13.739999771118164
2021-01-04,13.5600004196167
2021-01-05,13.670000076293945
2021-01-06,15.050000190734863
2021-01-07,15.119999885559082
2021-01-08,14.800000190734863
2021-01-11,14.869999885559082
2021-01-12,15.079999923706055
2021-01-13,15.029999732971191
2021-01-14,15.5
2021-01-15,15.600000381469727
2021-01-19,15.140000343322754
2021-01-20,15.100000381469727
2021-01-21,14.800000190734863
2021-01-22,15.029999732971191
2021-01-25,14.670000076293945
2021-01-26,14.649999618530273
2021-01-27,13.770000457763672
2021-01-28,14.520000457763672
2021-01-29,14.65999984741211
2021-02-01,14.5
2021-02-02,14.850000381469727
2021-02-03,15.0
2021-02-04,15.4399995803833
2021-02-05,15.5600004196167
2021-02-08,15.770000457763672
2021-02-09,16.030000686645508
2021-02-10,16.329999923706055
2021-02-11,16.31999969482422
2021-02-12,16.190000534057617
2021-02-16,16.639999389648438
2021-02-17,16.649999618530273
2021-02-18,16.290000915527344
2021-02-19,16.350000381469727
2021-02-22,17.149999618530273
2021-02-23,16.959999084472656
2021-02-24,17.43000030517578
2021-02-25,17.25
2021-02-26,17.559999465942383
2021-03-01,18.170000076293945
2021-03-02,18.420000076293945
2021-03-03,19.420000076293945
2021-03-04,18.68000030517578
2021-03-05,18.010000228881836
2021-03-08,18.68000030517578
2021-03-09,18.049999237060547
2021-03-10,18.149999618530273
2021-03-11,18.139999389648438
2021-03-12,17.969999313354492
2021-03-15,17.5
2021-03-16,17.34000015258789
2021-03-17,17.5
2021-03-18,17.520000457763672
2021-03-19,17.5
2021-03-22,16.440000534057617
2021-03-23,15.789999961853027
2021-03-24,15.449999809265137
2021-03-25,15.34000015258789
2021-03-26,16.15999984741211
2021-03-29,16.200000762939453
2021-03-30,16.75
2021-03-31,16.59000015258789
2021-04-01,17.040000915527344
2021-04-05,17.399999618530273
2021-04-06,17.049999237060547
2021-04-07,16.520000457763672
2021-04-08,17.329999923706055
2021-04-09,17.079999923706055
2021-04-12,17.100000381469727
2021-04-13,17.0
2021-04-14,17.010000228881836
2021-04-15,17.030000686645508
2021-04-16,16.850000381469727
2021-04-19,16.600000381469727
2021-04-20,16.010000228881836
2021-04-21,16.59000015258789
2021-04-22,16.260000228881836
2021-04-23,16.6200008392334
2021-04-26,16.479999542236328
2021-04-27,16.350000381469727
2021-04-28,16.3700008392334
2021-04-29,16.399999618530273
2021-04-30,16.149999618530273
2021-05-03,16.43000030517578
2021-05-04,16.25
2021-05-05,16.329999923706055
2021-05-06,16.420000076293945
2021-05-07,16.280000686645508
2021-05-10,16.110000610351562
2021-05-11,16.209999084472656
2021-05-12,16.170000076293945
2021-05-13,16.049999237060547
2021-05-14,16.1200008392334
