,FMB
2015-07-30,51.21900177001953
2015-07-31,51.22999954223633
2015-08-03,51.22999954223633
2015-08-04,51.2400016784668
2015-08-05,51.2400016784668
2015-08-06,51.27000045776367
2015-08-07,51.22999954223633
2015-08-10,51.2400016784668
2015-08-11,51.31999969482422
2015-08-12,51.08000183105469
2015-08-13,51.29999923706055
2015-08-14,51.29999923706055
2015-08-17,51.20000076293945
2015-08-18,50.810001373291016
2015-08-19,51.380001068115234
2015-08-20,51.380001068115234
2015-08-21,51.19499969482422
2015-08-24,51.185001373291016
2015-08-25,51.17599868774414
2015-08-26,51.053001403808594
2015-08-27,51.2400016784668
2015-08-28,51.22999954223633
2015-08-31,51.22999954223633
2015-09-01,51.17399978637695
2015-09-02,51.189998626708984
2015-09-03,51.1349983215332
2015-09-04,51.310001373291016
2015-09-08,51.220001220703125
2015-09-09,51.150001525878906
2015-09-10,51.000999450683594
2015-09-11,51.099998474121094
2015-09-14,51.029998779296875
2015-09-15,50.98899841308594
2015-09-16,50.98899841308594
2015-09-17,51.05699920654297
2015-09-18,51.209999084472656
2015-09-21,51.159000396728516
2015-09-22,51.310001373291016
2015-09-23,51.310001373291016
2015-09-24,51.119998931884766
2015-09-25,51.25
2015-09-28,51.34000015258789
2015-09-29,51.387001037597656
2015-09-30,51.34000015258789
2015-10-01,51.37200164794922
2015-10-02,51.41999816894531
2015-10-05,51.560001373291016
2015-10-06,51.43000030517578
2015-10-07,51.7400016784668
2015-10-08,51.7599983215332
2015-10-09,51.709999084472656
2015-10-12,51.84000015258789
2015-10-13,51.84000015258789
2015-10-14,51.84000015258789
2015-10-15,51.79999923706055
2015-10-16,51.560001373291016
2015-10-19,51.59000015258789
2015-10-20,51.810001373291016
2015-10-21,51.7599983215332
2015-10-22,51.637001037597656
2015-10-23,51.720001220703125
2015-10-26,51.779998779296875
2015-10-27,51.79199981689453
2015-10-28,51.77000045776367
2015-10-29,51.810001373291016
2015-10-30,51.77000045776367
2015-11-02,51.858001708984375
2015-11-03,51.81100082397461
2015-11-04,51.70100021362305
2015-11-05,51.95000076293945
2015-11-06,51.709999084472656
2015-11-09,51.720001220703125
2015-11-10,51.71799850463867
2015-11-11,51.68000030517578
2015-11-12,51.797000885009766
2015-11-13,51.691001892089844
2015-11-16,51.75
2015-11-17,51.790000915527344
2015-11-18,51.869998931884766
2015-11-19,51.970001220703125
2015-11-20,51.869998931884766
2015-11-23,51.91999816894531
2015-11-24,51.935001373291016
2015-11-25,51.9900016784668
2015-11-27,51.97999954223633
2015-11-30,51.9900016784668
2015-12-01,52.130001068115234
2015-12-02,52.119998931884766
2015-12-03,51.952999114990234
2015-12-04,52.02000045776367
2015-12-07,51.97999954223633
2015-12-08,52.040000915527344
2015-12-09,52.138999938964844
2015-12-10,52.08399963378906
2015-12-11,52.27000045776367
2015-12-14,52.172000885009766
2015-12-15,52.099998474121094
2015-12-16,52.060001373291016
2015-12-17,52.04999923706055
2015-12-18,52.20000076293945
2015-12-21,52.209999084472656
2015-12-22,52.18899917602539
2015-12-23,51.86000061035156
2015-12-24,51.86000061035156
2015-12-28,51.77000045776367
2015-12-29,51.94499969482422
2015-12-30,51.858001708984375
2015-12-31,52.0099983215332
2016-01-04,51.939998626708984
2016-01-05,52.150001525878906
2016-01-06,52.369998931884766
2016-01-07,52.38800048828125
2016-01-08,52.22999954223633
2016-01-11,52.38999938964844
2016-01-12,52.45000076293945
2016-01-13,52.25
2016-01-14,52.380001068115234
2016-01-15,52.47800064086914
2016-01-19,52.47999954223633
2016-01-20,52.61000061035156
2016-01-21,52.42499923706055
2016-01-22,52.43000030517578
2016-01-25,52.470001220703125
2016-01-26,52.470001220703125
2016-01-27,52.459999084472656
2016-01-28,52.33000183105469
2016-01-29,52.5
2016-02-01,52.529998779296875
2016-02-02,52.814998626708984
2016-02-03,52.689998626708984
2016-02-04,52.720001220703125
2016-02-05,52.779998779296875
2016-02-08,52.900001525878906
2016-02-09,52.90999984741211
2016-02-10,52.959999084472656
2016-02-11,53.040000915527344
2016-02-12,52.970001220703125
2016-02-16,53.11800003051758
2016-02-17,53.03900146484375
2016-02-18,53.05799865722656
2016-02-19,53.13999938964844
2016-02-22,53.06999969482422
2016-02-23,52.970001220703125
2016-02-24,52.900001525878906
2016-02-25,52.79600143432617
2016-02-26,52.810001373291016
2016-02-29,52.715999603271484
2016-03-01,52.641998291015625
2016-03-02,52.486000061035156
2016-03-03,52.630001068115234
2016-03-04,52.54999923706055
2016-03-07,52.58000183105469
2016-03-08,52.650001525878906
2016-03-09,52.54999923706055
2016-03-10,52.470001220703125
2016-03-11,52.61000061035156
2016-03-14,52.53300094604492
2016-03-15,52.56700134277344
2016-03-16,52.47999954223633
2016-03-17,52.68000030517578
2016-03-18,52.709999084472656
2016-03-21,52.67499923706055
2016-03-22,52.709999084472656
2016-03-23,52.630001068115234
2016-03-24,52.61000061035156
2016-03-28,52.619998931884766
2016-03-29,52.66899871826172
2016-03-30,52.790000915527344
2016-03-31,52.900001525878906
2016-04-01,52.85599899291992
2016-04-04,52.95000076293945
2016-04-05,53.06999969482422
2016-04-06,53.00400161743164
2016-04-07,53.04899978637695
2016-04-08,53.143001556396484
2016-04-11,53.220001220703125
2016-04-12,53.17100143432617
2016-04-13,53.15999984741211
2016-04-14,53.130001068115234
2016-04-15,53.18000030517578
2016-04-18,53.13999938964844
2016-04-19,53.20000076293945
2016-04-20,53.220001220703125
2016-04-21,53.02000045776367
2016-04-22,53.029998779296875
2016-04-25,53.11800003051758
2016-04-26,52.939998626708984
2016-04-27,53.16999816894531
2016-04-28,53.060001373291016
2016-04-29,53.13999938964844
2016-05-02,53.16999816894531
2016-05-03,53.2599983215332
2016-05-04,53.21500015258789
2016-05-05,53.25
2016-05-06,53.270999908447266
2016-05-09,53.38800048828125
2016-05-10,53.374000549316406
2016-05-11,53.439998626708984
2016-05-12,53.27000045776367
2016-05-13,53.4900016784668
2016-05-16,53.45000076293945
2016-05-17,53.46200180053711
2016-05-18,53.35200119018555
2016-05-19,53.40999984741211
2016-05-20,53.25
2016-05-23,53.36000061035156
2016-05-24,53.290000915527344
2016-05-25,53.375999450683594
2016-05-26,53.27000045776367
2016-05-27,53.36399841308594
2016-05-31,53.42900085449219
2016-06-01,53.52000045776367
2016-06-02,53.45000076293945
2016-06-03,53.540000915527344
2016-06-06,53.400001525878906
2016-06-07,53.560001373291016
2016-06-08,53.53799819946289
2016-06-09,53.619998931884766
2016-06-10,53.650001525878906
2016-06-13,53.779998779296875
2016-06-14,53.80500030517578
2016-06-15,53.95000076293945
2016-06-16,53.8849983215332
2016-06-17,54.0099983215332
2016-06-20,53.91999816894531
2016-06-21,53.7599983215332
2016-06-22,53.66999816894531
2016-06-23,53.529998779296875
2016-06-24,54.130001068115234
2016-06-27,54.02899932861328
2016-06-28,54.11000061035156
2016-06-29,54.0099983215332
2016-06-30,53.946998596191406
2016-07-01,54.0
2016-07-05,54.099998474121094
2016-07-06,54.1510009765625
2016-07-07,54.084999084472656
2016-07-08,54.06700134277344
2016-07-11,54.150001525878906
2016-07-12,54.073001861572266
2016-07-13,54.084999084472656
2016-07-14,53.9900016784668
2016-07-15,54.04100036621094
2016-07-18,54.03099822998047
2016-07-19,54.0880012512207
2016-07-20,53.849998474121094
2016-07-21,53.946998596191406
2016-07-22,53.89500045776367
2016-07-25,54.060001373291016
2016-07-26,54.07699966430664
2016-07-27,54.025001525878906
2016-07-28,54.029998779296875
2016-07-29,54.13199996948242
2016-08-01,54.05500030517578
2016-08-02,54.09000015258789
2016-08-03,53.78099822998047
2016-08-04,54.02000045776367
2016-08-05,53.90999984741211
2016-08-08,53.9900016784668
2016-08-09,54.09000015258789
2016-08-10,54.099998474121094
2016-08-11,54.060001373291016
2016-08-12,54.08000183105469
2016-08-15,54.040000915527344
2016-08-16,53.93000030517578
2016-08-17,54.13600158691406
2016-08-18,54.2400016784668
2016-08-19,54.22999954223633
2016-08-22,54.29999923706055
2016-08-23,54.20000076293945
2016-08-24,54.18000030517578
2016-08-25,54.20000076293945
2016-08-26,54.220001220703125
2016-08-29,54.20000076293945
2016-08-30,54.19499969482422
2016-08-31,54.22999954223633
2016-09-01,54.15399932861328
2016-09-02,54.220001220703125
2016-09-06,54.279998779296875
2016-09-07,54.284000396728516
2016-09-08,54.16999816894531
2016-09-09,54.189998626708984
2016-09-12,54.22100067138672
2016-09-13,54.13999938964844
2016-09-14,53.97999954223633
2016-09-15,54.04999923706055
2016-09-16,54.099998474121094
2016-09-19,54.09400177001953
2016-09-20,54.10499954223633
2016-09-21,53.95000076293945
2016-09-22,54.099998474121094
2016-09-23,54.060001373291016
2016-09-26,54.11000061035156
2016-09-27,54.119998931884766
2016-09-28,54.08000183105469
2016-09-29,54.1150016784668
2016-09-30,53.946998596191406
2016-10-03,54.077999114990234
2016-10-04,53.97999954223633
2016-10-05,53.900001525878906
2016-10-06,53.768001556396484
2016-10-07,53.79999923706055
2016-10-10,53.849998474121094
2016-10-11,53.810001373291016
2016-10-12,53.7599983215332
2016-10-13,53.6510009765625
2016-10-14,53.66999816894531
2016-10-17,53.650001525878906
2016-10-18,53.65999984741211
2016-10-19,53.63399887084961
2016-10-20,53.720001220703125
2016-10-21,53.61000061035156
2016-10-24,53.56999969482422
2016-10-25,53.54999923706055
2016-10-26,53.505001068115234
2016-10-27,53.354000091552734
2016-10-28,53.220001220703125
2016-10-31,53.25
2016-11-01,53.380001068115234
2016-11-02,53.310001373291016
2016-11-03,53.3849983215332
2016-11-04,53.290000915527344
2016-11-07,53.290000915527344
2016-11-08,53.290000915527344
2016-11-09,53.0
2016-11-10,52.599998474121094
2016-11-11,52.45000076293945
2016-11-14,52.0
2016-11-15,52.209999084472656
2016-11-16,52.04999923706055
2016-11-17,51.880001068115234
2016-11-18,51.867000579833984
2016-11-21,51.66600036621094
2016-11-22,51.439998626708984
2016-11-23,51.220001220703125
2016-11-25,51.314998626708984
2016-11-28,51.18000030517578
2016-11-29,51.029998779296875
2016-11-30,50.880001068115234
2016-12-01,50.70500183105469
2016-12-02,50.88999938964844
2016-12-05,50.810001373291016
2016-12-06,50.90999984741211
2016-12-07,51.36000061035156
2016-12-08,51.165000915527344
2016-12-09,51.29999923706055
2016-12-12,50.99399948120117
2016-12-13,51.2599983215332
2016-12-14,50.88999938964844
2016-12-15,50.959999084472656
2016-12-16,51.09000015258789
2016-12-19,51.220001220703125
2016-12-20,50.86000061035156
2016-12-21,50.70000076293945
2016-12-22,50.880001068115234
2016-12-23,50.95000076293945
2016-12-27,50.779998779296875
2016-12-28,50.90999984741211
2016-12-29,51.0
2016-12-30,51.189998626708984
2017-01-03,51.18000030517578
2017-01-04,51.13100051879883
2017-01-05,51.18000030517578
2017-01-06,51.36000061035156
2017-01-09,51.459999084472656
2017-01-10,51.47999954223633
2017-01-11,51.47999954223633
2017-01-12,51.720001220703125
2017-01-13,51.810001373291016
2017-01-17,51.86000061035156
2017-01-18,51.779998779296875
2017-01-19,51.540000915527344
2017-01-20,51.43000030517578
2017-01-23,51.86000061035156
2017-01-24,51.367000579833984
2017-01-25,51.130001068115234
2017-01-26,51.060001373291016
2017-01-27,51.369998931884766
2017-01-30,51.40999984741211
2017-01-31,51.45000076293945
2017-02-01,51.310001373291016
2017-02-02,51.41999816894531
2017-02-03,51.459999084472656
2017-02-06,51.540000915527344
2017-02-07,51.599998474121094
2017-02-08,51.68000030517578
2017-02-09,51.47999954223633
2017-02-10,51.56999969482422
2017-02-13,51.56999969482422
2017-02-14,51.4900016784668
2017-02-15,51.33000183105469
2017-02-16,51.52000045776367
2017-02-17,51.5099983215332
2017-02-21,51.380001068115234
2017-02-22,51.41999816894531
2017-02-23,51.529998779296875
2017-02-24,51.65999984741211
2017-02-27,51.50299835205078
2017-02-28,51.65999984741211
2017-03-01,51.5
2017-03-02,51.40999984741211
2017-03-03,51.279998779296875
2017-03-06,51.40999984741211
2017-03-07,51.43000030517578
2017-03-08,51.34000015258789
2017-03-09,51.2599983215332
2017-03-10,51.349998474121094
2017-03-13,51.13999938964844
2017-03-14,51.310001373291016
2017-03-15,51.38999938964844
2017-03-16,51.439998626708984
2017-03-17,51.5
2017-03-20,51.560001373291016
2017-03-21,51.5
2017-03-22,51.7140007019043
2017-03-23,51.599998474121094
2017-03-24,51.66999816894531
2017-03-27,51.65999984741211
2017-03-28,51.70000076293945
2017-03-29,51.78900146484375
2017-03-30,51.7599983215332
2017-03-31,51.790000915527344
2017-04-03,51.68000030517578
2017-04-04,51.880001068115234
2017-04-05,51.8650016784668
2017-04-06,51.779998779296875
2017-04-07,51.959999084472656
2017-04-10,52.0
2017-04-11,52.08000183105469
2017-04-12,52.150001525878906
2017-04-13,52.060001373291016
2017-04-17,52.220001220703125
2017-04-18,52.369998931884766
2017-04-19,52.215999603271484
2017-04-20,52.310001373291016
2017-04-21,52.189998626708984
2017-04-24,52.040000915527344
2017-04-25,52.034000396728516
2017-04-26,51.9900016784668
2017-04-27,51.959999084472656
2017-04-28,52.119998931884766
