,BATRK
2017-10-31,23.610000610351562
2017-11-01,23.270000457763672
2017-11-02,23.0
2017-11-03,22.719999313354492
2017-11-06,22.81999969482422
2017-11-07,22.719999313354492
2017-11-08,22.84000015258789
2017-11-09,22.59000015258789
2017-11-10,22.600000381469727
2017-11-13,22.290000915527344
2017-11-14,21.760000228881836
2017-11-15,21.690000534057617
2017-11-16,22.360000610351562
2017-11-17,22.350000381469727
2017-11-20,22.729999542236328
2017-11-21,23.1200008392334
2017-11-22,22.760000228881836
2017-11-24,22.68000030517578
2017-11-27,22.350000381469727
2017-11-28,22.510000228881836
2017-11-29,22.59000015258789
2017-11-30,22.639999389648438
2017-12-01,22.389999389648438
2017-12-04,22.549999237060547
2017-12-05,22.020000457763672
2017-12-06,21.889999389648438
2017-12-07,22.0
2017-12-08,21.770000457763672
2017-12-11,22.059999465942383
2017-12-12,22.559999465942383
2017-12-13,22.739999771118164
2017-12-14,23.139999389648438
2017-12-15,23.3700008392334
2017-12-18,23.649999618530273
2017-12-19,23.540000915527344
2017-12-20,23.229999542236328
2017-12-21,22.799999237060547
2017-12-22,22.739999771118164
2017-12-26,22.739999771118164
2017-12-27,22.940000534057617
2017-12-28,22.34000015258789
2017-12-29,22.219999313354492
2018-01-02,22.260000228881836
2018-01-03,22.559999465942383
2018-01-04,22.280000686645508
2018-01-05,22.420000076293945
2018-01-08,22.15999984741211
2018-01-09,21.809999465942383
2018-01-10,21.899999618530273
2018-01-11,22.889999389648438
2018-01-12,23.309999465942383
2018-01-16,22.799999237060547
2018-01-17,23.059999465942383
2018-01-18,23.049999237060547
2018-01-19,23.43000030517578
2018-01-22,23.969999313354492
2018-01-23,24.110000610351562
2018-01-24,23.540000915527344
2018-01-25,23.889999389648438
2018-01-26,24.049999237060547
2018-01-29,24.06999969482422
2018-01-30,23.90999984741211
2018-01-31,23.510000228881836
2018-02-01,23.690000534057617
2018-02-02,23.719999313354492
2018-02-05,23.0
2018-02-06,23.139999389648438
2018-02-07,22.8799991607666
2018-02-08,22.65999984741211
2018-02-09,22.760000228881836
2018-02-12,22.56999969482422
2018-02-13,22.639999389648438
2018-02-14,22.719999313354492
2018-02-15,22.860000610351562
2018-02-16,22.850000381469727
2018-02-20,22.760000228881836
2018-02-21,23.1200008392334
2018-02-22,22.93000030517578
2018-02-23,23.489999771118164
2018-02-26,23.989999771118164
2018-02-27,23.610000610351562
2018-02-28,22.959999084472656
2018-03-01,23.389999389648438
2018-03-02,23.790000915527344
2018-03-05,23.34000015258789
2018-03-06,23.65999984741211
2018-03-07,23.829999923706055
2018-03-08,23.200000762939453
2018-03-09,23.700000762939453
2018-03-12,23.84000015258789
2018-03-13,23.540000915527344
2018-03-14,23.360000610351562
2018-03-15,23.110000610351562
2018-03-16,23.43000030517578
2018-03-19,23.3700008392334
2018-03-20,23.18000030517578
2018-03-21,23.270000457763672
2018-03-22,23.290000915527344
2018-03-23,23.1200008392334
2018-03-26,23.579999923706055
2018-03-27,23.270000457763672
