,DWEQ
2021-02-16,29.31999969482422
2021-02-17,29.1200008392334
2021-02-18,29.020000457763672
2021-02-19,29.1299991607666
2021-02-22,28.540000915527344
2021-02-23,28.1200008392334
2021-02-24,28.62299919128418
2021-02-25,27.549999237060547
2021-02-26,28.020000457763672
2021-03-01,28.808000564575195
2021-03-02,28.31999969482422
2021-03-03,27.399999618530273
2021-03-04,26.549999237060547
2021-03-05,26.860000610351562
2021-03-08,26.399999618530273
2021-03-09,27.030000686645508
2021-03-10,27.166000366210938
2021-03-11,27.166000366210938
2021-03-12,27.850000381469727
2021-03-15,28.18000030517578
2021-03-16,27.790000915527344
2021-03-17,27.899999618530273
2021-03-18,27.329999923706055
2021-03-19,27.141000747680664
2021-03-22,27.229999542236328
2021-03-23,26.979999542236328
2021-03-24,26.229999542236328
2021-03-25,26.298999786376953
2021-03-26,26.440000534057617
2021-03-29,26.242000579833984
2021-03-30,26.468000411987305
2021-03-31,26.802000045776367
2021-04-01,27.454999923706055
2021-04-05,27.264999389648438
2021-04-06,27.40999984741211
2021-04-07,27.36400032043457
2021-04-08,27.423999786376953
2021-04-09,27.531999588012695
2021-04-12,27.506000518798828
2021-04-13,27.341999053955078
2021-04-14,27.684999465942383
2021-04-15,27.65399932861328
2021-04-16,27.740999221801758
2021-04-19,27.740999221801758
2021-04-20,26.98200035095215
2021-04-21,27.356000900268555
2021-04-22,27.384000778198242
2021-04-23,27.700000762939453
2021-04-26,27.700000762939453
2021-04-27,28.284000396728516
2021-04-28,28.486000061035156
2021-04-29,28.58099937438965
2021-04-30,28.211999893188477
2021-05-03,28.656999588012695
2021-05-04,28.614999771118164
2021-05-05,28.834999084472656
2021-05-06,28.70800018310547
2021-05-07,28.70800018310547
2021-05-10,28.70800018310547
2021-05-11,28.584999084472656
2021-05-12,27.386999130249023
2021-05-13,27.834999084472656
2021-05-14,28.54400062561035
