,CSX
1993-03-23,5.8541669845581055
1993-03-24,5.8020830154418945
1993-03-25,5.7708330154418945
1993-03-26,5.71875
1993-03-29,5.7083330154418945
1993-03-30,5.6770830154418945
1993-03-31,5.625
1993-04-01,5.8125
1993-04-02,5.78125
1993-04-05,5.8541669845581055
1993-04-06,5.9270830154418945
1993-04-07,5.8229169845581055
1993-04-08,5.8333330154418945
1993-04-12,5.96875
1993-04-13,6.0416669845581055
1993-04-14,6.1875
1993-04-15,6.5
1993-04-16,6.4166669845581055
1993-04-19,6.3541669845581055
1993-04-20,6.3020830154418945
1993-04-21,6.2604169845581055
1993-04-22,6.15625
1993-04-23,6.21875
1993-04-26,6.1979169845581055
1993-04-27,6.0520830154418945
1993-04-28,6.0208330154418945
1993-04-29,6.1041669845581055
1993-04-30,6.0104169845581055
1993-05-03,6.1041669845581055
1993-05-04,6.0625
1993-05-05,6.0625
1993-05-06,6.0729169845581055
1993-05-07,6.1041669845581055
1993-05-10,6.03125
1993-05-11,6.09375
1993-05-12,6.09375
1993-05-13,6.0833330154418945
1993-05-14,5.96875
1993-05-17,5.9375
1993-05-18,5.8125
1993-05-19,6.03125
1993-05-20,5.9583330154418945
1993-05-21,5.9270830154418945
1993-05-24,5.8958330154418945
1993-05-25,5.84375
1993-05-26,5.90625
1993-05-27,5.9895830154418945
1993-05-28,5.9166669845581055
1993-06-01,6.0416669845581055
1993-06-02,6.03125
1993-06-03,5.9166669845581055
1993-06-04,5.9479169845581055
1993-06-07,5.9270830154418945
1993-06-08,5.7083330154418945
1993-06-09,5.6354169845581055
1993-06-10,5.6458330154418945
1993-06-11,5.6875
1993-06-14,5.625
1993-06-15,5.5729169845581055
1993-06-16,5.6770830154418945
1993-06-17,5.7291669845581055
1993-06-18,5.6979169845581055
1993-06-21,5.7916669845581055
1993-06-22,5.6875
1993-06-23,5.7083330154418945
1993-06-24,5.75
1993-06-25,5.7291669845581055
1993-06-28,5.9375
1993-06-29,5.9270830154418945
1993-06-30,5.9583330154418945
1993-07-01,6.0208330154418945
1993-07-02,5.9166669845581055
1993-07-06,5.8125
1993-07-07,5.75
1993-07-08,5.7395830154418945
1993-07-09,5.8020830154418945
1993-07-12,5.71875
1993-07-13,5.6979169845581055
1993-07-14,5.7291669845581055
1993-07-15,5.78125
1993-07-16,5.84375
1993-07-19,5.8958330154418945
1993-07-20,6.03125
1993-07-21,6.0
1993-07-22,6.1041669845581055
1993-07-23,6.1354169845581055
1993-07-26,6.2291669845581055
1993-07-27,6.0833330154418945
1993-07-28,6.1875
1993-07-29,6.34375
1993-07-30,6.3333330154418945
1993-08-02,6.28125
1993-08-03,6.375
1993-08-04,6.34375
1993-08-05,6.3125
1993-08-06,6.3020830154418945
1993-08-09,6.375
1993-08-10,6.375
1993-08-11,6.34375
1993-08-12,6.3333330154418945
1993-08-13,6.3125
1993-08-16,6.2708330154418945
1993-08-17,6.3125
1993-08-18,6.3333330154418945
1993-08-19,6.375
1993-08-20,6.3229169845581055
1993-08-23,6.3020830154418945
1993-08-24,6.4479169845581055
1993-08-25,6.46875
1993-08-26,6.5520830154418945
1993-08-27,6.5
1993-08-30,6.53125
1993-08-31,6.625
1993-09-01,6.5104169845581055
1993-09-02,6.4270830154418945
1993-09-03,6.4166669845581055
1993-09-07,6.3125
1993-09-08,6.2395830154418945
1993-09-09,6.28125
1993-09-10,6.40625
1993-09-13,6.5416669845581055
1993-09-14,6.5
1993-09-15,6.53125
1993-09-16,6.53125
1993-09-17,6.5
1993-09-20,6.4583330154418945
1993-09-21,6.375
1993-09-22,6.5208330154418945
1993-09-23,6.4791669845581055
1993-09-24,6.5416669845581055
1993-09-27,6.6354169845581055
1993-09-28,6.6041669845581055
1993-09-29,6.5729169845581055
1993-09-30,6.46875
1993-10-01,6.46875
1993-10-04,6.5208330154418945
1993-10-05,6.5208330154418945
1993-10-06,6.5
1993-10-07,6.40625
1993-10-08,6.3229169845581055
1993-10-11,6.375
1993-10-12,6.3333330154418945
1993-10-13,6.3333330154418945
1993-10-14,6.25
1993-10-15,6.3229169845581055
1993-10-18,6.4895830154418945
1993-10-19,6.4166669845581055
1993-10-20,6.4375
1993-10-21,6.4166669845581055
1993-10-22,6.4479169845581055
1993-10-25,6.53125
1993-10-26,6.5416669845581055
1993-10-27,6.59375
1993-10-28,6.71875
1993-10-29,6.75
1993-11-01,6.875
1993-11-02,6.8541669845581055
1993-11-03,6.8854169845581055
1993-11-04,6.8854169845581055
1993-11-05,6.7708330154418945
1993-11-08,6.78125
1993-11-09,6.8229169845581055
1993-11-10,6.9895830154418945
1993-11-11,7.03125
1993-11-12,7.0104169845581055
1993-11-15,7.0208330154418945
1993-11-16,7.03125
1993-11-17,6.84375
1993-11-18,6.84375
1993-11-19,6.9375
1993-11-22,6.8229169845581055
1993-11-23,6.6875
1993-11-24,6.8333330154418945
1993-11-26,6.875
1993-11-29,6.9479169845581055
1993-11-30,6.9166669845581055
1993-12-01,7.0104169845581055
1993-12-02,6.9791669845581055
1993-12-03,6.8958330154418945
1993-12-06,6.875
1993-12-07,6.9375
1993-12-08,7.0625
1993-12-09,7.0729169845581055
1993-12-10,7.1041669845581055
1993-12-13,7.125
1993-12-14,7.21875
1993-12-15,7.1875
1993-12-16,7.09375
1993-12-17,7.125
1993-12-20,7.125
1993-12-21,7.125
1993-12-22,7.2083330154418945
1993-12-23,7.1666669845581055
1993-12-27,7.1458330154418945
1993-12-28,7.09375
1993-12-29,7.0729169845581055
1993-12-30,6.9166669845581055
1993-12-31,6.8229169845581055
1994-01-03,6.71875
1994-01-04,6.7395830154418945
1994-01-05,7.0
1994-01-06,7.1458330154418945
1994-01-07,7.1041669845581055
1994-01-10,7.2083330154418945
1994-01-11,7.1875
1994-01-12,7.2083330154418945
1994-01-13,7.2083330154418945
1994-01-14,7.3333330154418945
1994-01-17,7.2604169845581055
1994-01-18,7.3958330154418945
1994-01-19,7.40625
1994-01-20,7.2083330154418945
1994-01-21,7.2604169845581055
1994-01-24,7.4583330154418945
1994-01-25,7.34375
1994-01-26,7.3854169845581055
1994-01-27,7.40625
1994-01-28,7.3958330154418945
1994-01-31,7.6458330154418945
1994-02-01,7.625
1994-02-02,7.6458330154418945
1994-02-03,7.53125
1994-02-04,7.46875
1994-02-07,7.4270830154418945
1994-02-08,7.5416669845581055
1994-02-09,7.6041669845581055
1994-02-10,7.375
1994-02-11,7.34375
1994-02-14,7.2708330154418945
1994-02-15,7.4375
1994-02-16,7.4791669845581055
1994-02-17,7.4166669845581055
1994-02-18,7.4791669845581055
1994-02-22,7.5416669845581055
1994-02-23,7.5208330154418945
1994-02-24,7.3541669845581055
1994-02-25,7.34375
1994-02-28,7.3333330154418945
1994-03-01,7.2916669845581055
1994-03-02,7.2291669845581055
1994-03-03,7.25
1994-03-04,7.4166669845581055
1994-03-07,7.4583330154418945
1994-03-08,7.4583330154418945
1994-03-09,7.3958330154418945
1994-03-10,7.2604169845581055
1994-03-11,7.2395830154418945
1994-03-14,7.2291669845581055
1994-03-15,7.1875
1994-03-16,7.21875
1994-03-17,7.3958330154418945
1994-03-18,7.3333330154418945
1994-03-21,7.2083330154418945
1994-03-22,7.28125
1994-03-23,7.3125
1994-03-24,7.2291669845581055
1994-03-25,7.1458330154418945
1994-03-28,7.0625
1994-03-29,6.8125
1994-03-30,6.8020830154418945
1994-03-31,6.8333330154418945
1994-04-04,6.6770830154418945
1994-04-05,6.8541669845581055
1994-04-06,6.9270830154418945
1994-04-07,6.90625
1994-04-08,6.8333330154418945
1994-04-11,6.8333330154418945
1994-04-12,6.78125
1994-04-13,6.75
1994-04-14,6.6875
1994-04-15,6.6145830154418945
1994-04-18,6.5
1994-04-19,6.3541669845581055
1994-04-20,6.3020830154418945
1994-04-21,6.4270830154418945
1994-04-22,6.5104169845581055
1994-04-25,6.5625
1994-04-26,6.53125
1994-04-28,6.4166669845581055
1994-04-29,6.4895830154418945
1994-05-02,6.3541669845581055
1994-05-03,6.3333330154418945
1994-05-04,6.3645830154418945
1994-05-05,6.3645830154418945
1994-05-06,6.2604169845581055
1994-05-09,6.1666669845581055
1994-05-10,6.21875
1994-05-11,6.0625
1994-05-12,6.125
1994-05-13,6.1041669845581055
1994-05-16,5.9479169845581055
1994-05-17,5.96875
1994-05-18,6.09375
1994-05-19,6.3333330154418945
1994-05-20,6.1041669845581055
1994-05-23,6.0729169845581055
1994-05-24,6.0833330154418945
1994-05-25,6.0520830154418945
1994-05-26,6.1666669845581055
1994-05-27,6.3125
1994-05-31,6.375
1994-06-01,6.3958330154418945
1994-06-02,6.375
1994-06-03,6.3541669845581055
1994-06-06,6.4583330154418945
1994-06-07,6.40625
1994-06-08,6.40625
1994-06-09,6.4166669845581055
1994-06-10,6.3958330154418945
1994-06-13,6.3645830154418945
1994-06-14,6.6145830154418945
1994-06-15,6.6354169845581055
1994-06-16,6.5833330154418945
1994-06-17,6.5729169845581055
1994-06-20,6.4895830154418945
1994-06-21,6.4166669845581055
1994-06-22,6.40625
1994-06-23,6.4791669845581055
1994-06-24,6.40625
1994-06-27,6.3958330154418945
1994-06-28,6.25
1994-06-29,6.2395830154418945
1994-06-30,6.2916669845581055
1994-07-01,6.25
1994-07-05,6.21875
1994-07-06,6.2291669845581055
1994-07-07,6.125
1994-07-08,6.25
1994-07-11,6.2291669845581055
1994-07-12,6.21875
1994-07-13,6.203125
1994-07-14,6.2604169845581055
1994-07-15,6.21875
1994-07-18,6.2291669845581055
1994-07-19,6.2083330154418945
1994-07-20,6.15625
1994-07-21,6.125
1994-07-22,6.1458330154418945
1994-07-25,6.1875
1994-07-26,6.2083330154418945
1994-07-27,6.2291669845581055
1994-07-28,6.3958330154418945
1994-07-29,6.46875
1994-08-01,6.4583330154418945
1994-08-02,6.46875
1994-08-03,6.5833330154418945
1994-08-04,6.5104169845581055
1994-08-05,6.375
1994-08-08,6.3333330154418945
1994-08-09,6.4375
1994-08-10,6.4166669845581055
1994-08-11,6.40625
1994-08-12,6.4270830154418945
1994-08-15,6.375
1994-08-16,6.3020830154418945
1994-08-17,6.2708330154418945
1994-08-18,6.1979169845581055
1994-08-19,6.09375
1994-08-22,6.15625
1994-08-23,6.1770830154418945
1994-08-24,6.2291669845581055
1994-08-25,6.2083330154418945
1994-08-26,6.2604169845581055
1994-08-29,6.3541669845581055
1994-08-30,6.4166669845581055
1994-08-31,6.4375
1994-09-01,6.3958330154418945
1994-09-02,6.3333330154418945
1994-09-06,6.3020830154418945
1994-09-07,6.2291669845581055
1994-09-08,6.1875
1994-09-09,6.1458330154418945
1994-09-12,6.0
1994-09-13,6.0416669845581055
1994-09-14,6.0625
1994-09-15,5.9166669845581055
1994-09-16,5.8854169845581055
1994-09-19,5.8229169845581055
1994-09-20,5.6875
1994-09-21,5.625
1994-09-22,5.6041669845581055
1994-09-23,5.6770830154418945
1994-09-26,5.6666669845581055
1994-09-27,5.7708330154418945
1994-09-28,5.7916669845581055
1994-09-29,5.7291669845581055
1994-09-30,5.7083330154418945
1994-10-03,5.6770830154418945
1994-10-04,5.6145830154418945
1994-10-05,5.4895830154418945
1994-10-06,5.5520830154418945
1994-10-07,5.5
1994-10-10,5.5625
1994-10-11,5.6666669845581055
1994-10-12,5.7395830154418945
1994-10-13,5.8333330154418945
1994-10-14,5.84375
1994-10-17,5.84375
1994-10-18,5.8229169845581055
1994-10-19,5.78125
1994-10-20,5.7395830154418945
1994-10-21,5.71875
1994-10-24,5.78125
1994-10-25,5.75
1994-10-26,5.7708330154418945
1994-10-27,5.9375
1994-10-28,6.15625
1994-10-31,6.0416669845581055
1994-11-01,5.9270830154418945
1994-11-02,5.90625
1994-11-03,5.8854169845581055
1994-11-04,5.8020830154418945
1994-11-07,5.8541669845581055
1994-11-08,5.78125
1994-11-09,5.8020830154418945
1994-11-10,5.8020830154418945
1994-11-11,5.7291669845581055
1994-11-14,5.7604169845581055
1994-11-15,5.7291669845581055
1994-11-16,5.7083330154418945
1994-11-17,5.6354169845581055
1994-11-18,5.5520830154418945
1994-11-21,5.5104169845581055
1994-11-22,5.46875
1994-11-23,5.5833330154418945
1994-11-25,5.6354169845581055
1994-11-28,5.65625
1994-11-29,5.7395830154418945
1994-11-30,5.7916669845581055
1994-12-01,5.6770830154418945
1994-12-02,5.6979169845581055
1994-12-05,5.84375
1994-12-06,5.7708330154418945
1994-12-07,5.625
1994-12-08,5.4375
1994-12-09,5.3958330154418945
1994-12-12,5.4270830154418945
1994-12-13,5.4270830154418945
1994-12-14,5.4895830154418945
1994-12-15,5.5833330154418945
1994-12-16,5.6354169845581055
1994-12-19,5.7395830154418945
1994-12-20,5.6875
1994-12-21,5.6666669845581055
1994-12-22,5.7395830154418945
1994-12-23,5.7291669845581055
1994-12-27,5.75
1994-12-28,5.7395830154418945
1994-12-29,5.71875
1994-12-30,5.8020830154418945
1995-01-03,5.8958330154418945
1995-01-04,5.96875
1995-01-05,6.03125
1995-01-06,6.0520830154418945
1995-01-09,6.1770830154418945
1995-01-10,6.0625
1995-01-11,6.0
1995-01-12,6.1145830154418945
1995-01-13,6.0416669845581055
1995-01-16,6.1875
1995-01-17,6.2916669845581055
1995-01-18,6.2708330154418945
1995-01-19,6.1875
1995-01-20,6.1354169845581055
1995-01-23,6.2083330154418945
1995-01-24,6.2291669845581055
1995-01-25,6.1875
1995-01-26,6.1041669845581055
1995-01-27,6.125
1995-01-30,5.9166669845581055
1995-01-31,5.96875
1995-02-01,6.0729169845581055
1995-02-02,6.0833330154418945
1995-02-03,6.1041669845581055
1995-02-06,5.9583330154418945
1995-02-07,5.9375
1995-02-08,5.8541669845581055
1995-02-09,5.8854169845581055
1995-02-10,6.1041669845581055
1995-02-13,6.21875
1995-02-14,6.25
1995-02-15,6.40625
1995-02-16,6.4166669845581055
1995-02-17,6.3854169845581055
1995-02-21,6.3854169845581055
1995-02-22,6.3854169845581055
1995-02-23,6.40625
1995-02-24,6.4166669845581055
1995-02-27,6.3020830154418945
1995-02-28,6.4791669845581055
1995-03-01,6.3333330154418945
1995-03-02,6.3125
1995-03-03,6.25
1995-03-06,6.3125
1995-03-07,6.21875
1995-03-08,6.125
1995-03-09,6.0416669845581055
1995-03-10,6.34375
1995-03-13,6.3854169845581055
1995-03-14,6.4375
1995-03-15,6.4166669845581055
1995-03-16,6.4895830154418945
1995-03-17,6.5416669845581055
1995-03-20,6.5
1995-03-21,6.4375
1995-03-22,6.3854169845581055
