,CMCT
1997-08-28,291.5625
1997-08-29,286.875
1997-09-02,286.875
1997-09-03,286.875
1997-09-04,288.75
1997-09-05,290.625
1997-09-08,287.8125
1997-09-09,294.375
1997-09-10,294.375
1997-09-11,298.125
1997-09-12,297.1875
1997-09-15,299.0625
1997-09-16,299.0625
1997-09-17,305.625
1997-09-18,308.4375
1997-09-19,307.5
1997-09-22,300.0
1997-09-23,305.625
1997-09-24,305.625
1997-09-25,301.875
1997-09-26,292.5
1997-09-29,292.5
1997-09-30,294.375
1997-10-01,293.4375
1997-10-02,296.25
1997-10-03,296.25
1997-10-06,295.3125
1997-10-07,297.1875
1997-10-08,297.1875
1997-10-09,294.375
1997-10-10,296.25
1997-10-13,300.0
1997-10-14,300.0
1997-10-15,301.875
1997-10-16,298.125
1997-10-17,300.0
1997-10-20,300.0
1997-10-21,298.125
1997-10-22,297.1875
1997-10-23,296.25
1997-10-24,294.375
1997-10-27,290.625
1997-10-28,290.625
1997-10-29,288.75
1997-10-30,286.875
1997-10-31,288.75
1997-11-03,286.875
1997-11-04,289.6875
1997-11-05,292.5
1997-11-06,286.875
1997-11-07,289.6875
1997-11-10,290.625
1997-11-11,294.375
1997-11-12,292.5
1997-11-13,300.9375
1997-11-14,298.125
1997-11-17,301.875
1997-11-18,307.5
1997-11-19,307.5
1997-11-20,307.5
1997-11-21,307.5
1997-11-24,301.875
1997-11-25,299.0625
1997-11-26,300.0
1997-11-28,299.0625
1997-12-01,302.8125
1997-12-02,304.6875
1997-12-03,301.875
1997-12-04,300.0
1997-12-05,300.0
1997-12-08,298.125
1997-12-09,297.1875
1997-12-10,295.3125
1997-12-11,298.125
1997-12-12,294.375
1997-12-15,300.9375
1997-12-16,299.0625
1997-12-17,298.125
1997-12-18,299.0625
1997-12-19,301.875
1997-12-22,301.875
1997-12-23,300.9375
1997-12-24,300.0
1997-12-26,299.0625
1997-12-29,297.1875
1997-12-30,296.25
1997-12-31,298.125
1998-01-02,297.1875
1998-01-05,293.4375
1998-01-06,292.5
1998-01-07,296.25
1998-01-08,300.0
1998-01-09,293.4375
1998-01-12,292.5
1998-01-13,297.1875
1998-01-14,300.0
1998-01-15,300.9375
1998-01-16,299.0625
1998-01-20,303.75
1998-01-21,302.8125
1998-01-22,309.375
1998-01-23,300.0
1998-01-26,301.875
1998-01-27,309.375
1998-01-28,307.5
1998-01-29,308.4375
1998-01-30,309.375
1998-02-02,309.375
1998-02-03,307.5
1998-02-04,301.875
1998-02-05,298.125
1998-02-06,301.875
1998-02-09,298.125
1998-02-10,300.9375
1998-02-11,300.0
1998-02-12,298.125
1998-02-13,303.75
1998-02-17,304.6875
1998-02-18,304.6875
1998-02-19,304.6875
1998-02-20,307.5
1998-02-23,305.625
1998-02-24,301.875
1998-02-25,303.75
1998-02-26,300.0
1998-02-27,298.125
1998-03-02,296.25
1998-03-03,296.25
1998-03-04,300.0
1998-03-05,296.25
1998-03-06,298.125
1998-03-09,298.125
1998-03-10,298.125
1998-03-11,300.0
1998-03-12,303.75
1998-03-13,303.75
1998-03-16,301.875
1998-03-17,298.125
1998-03-18,296.25
1998-03-19,297.1875
1998-03-20,298.125
1998-03-23,298.125
1998-03-24,298.125
1998-03-25,298.125
1998-03-26,300.0
1998-03-27,294.375
1998-03-30,294.375
1998-03-31,294.375
1998-04-01,300.0
1998-04-02,300.0
1998-04-03,297.1875
1998-04-06,307.5
1998-04-07,304.6875
1998-04-08,306.5625
1998-04-09,305.625
1998-04-13,305.625
1998-04-14,306.5625
1998-04-15,304.6875
1998-04-16,300.0
1998-04-17,300.0
1998-04-20,300.0
1998-04-21,301.875
1998-04-22,302.8125
1998-04-23,301.875
1998-04-24,300.9375
1998-04-27,292.5
1998-04-28,292.5
1998-04-29,290.625
1998-04-30,295.3125
1998-05-01,294.375
1998-05-04,296.25
1998-05-05,296.25
1998-05-06,292.5
1998-05-07,297.1875
1998-05-08,292.5
1998-05-11,292.5
1998-05-12,293.4375
1998-05-13,292.5
1998-05-14,286.875
1998-05-15,275.625
1998-05-18,283.125
1998-05-19,281.25
1998-05-20,280.3125
1998-05-21,290.625
1998-05-22,295.3125
1998-05-26,298.125
1998-05-27,295.3125
1998-05-28,300.0
1998-05-29,300.0
1998-06-01,305.625
1998-06-02,307.5
1998-06-03,303.75
1998-06-04,296.25
1998-06-05,296.25
1998-06-08,288.75
1998-06-09,286.875
1998-06-10,285.9375
1998-06-11,285.0
1998-06-12,285.0
1998-06-15,284.0625
1998-06-16,282.1875
1998-06-17,279.375
1998-06-18,280.3125
1998-06-19,277.5
1998-06-22,274.6875
1998-06-23,275.625
1998-06-24,276.5625
1998-06-25,275.625
1998-06-26,272.8125
1998-06-29,272.8125
1998-06-30,271.875
1998-07-01,271.875
1998-07-02,270.0
1998-07-06,262.5
1998-07-07,268.125
1998-07-08,271.875
1998-07-09,275.625
1998-07-10,281.25
1998-07-13,276.5625
1998-07-14,275.625
1998-07-15,277.5
1998-07-16,275.625
1998-07-17,274.6875
1998-07-20,276.5625
1998-07-21,277.5
1998-07-22,275.625
1998-07-23,268.125
1998-07-24,263.4375
1998-07-27,261.5625
1998-07-28,257.8125
1998-07-29,262.5
1998-07-30,256.875
1998-07-31,249.375
1998-08-03,255.0
1998-08-04,245.625
1998-08-05,245.625
1998-08-06,247.5
1998-08-07,253.125
1998-08-10,251.25
1998-08-11,247.5
1998-08-12,255.0
1998-08-13,258.75
1998-08-14,255.0
1998-08-17,254.0625
1998-08-18,252.1875
1998-08-19,247.5
1998-08-20,245.625
1998-08-21,245.625
1998-08-24,253.125
1998-08-25,255.0
1998-08-26,258.75
1998-08-27,253.125
1998-08-28,249.375
1998-08-31,243.75
1998-09-01,231.5625
1998-09-02,234.375
1998-09-03,243.75
1998-09-04,243.75
1998-09-08,240.0
1998-09-09,241.875
1998-09-10,249.375
1998-09-11,249.375
1998-09-14,248.4375
1998-09-15,251.25
1998-09-16,253.125
1998-09-17,256.875
1998-09-18,260.625
1998-09-21,262.5
1998-09-22,263.4375
1998-09-23,272.8125
1998-09-24,270.0
1998-09-25,266.25
1998-09-28,255.0
1998-09-29,253.125
1998-09-30,262.5
1998-10-01,255.0
1998-10-02,249.375
1998-10-05,238.125
1998-10-06,215.625
1998-10-07,210.0
1998-10-08,208.125
1998-10-09,213.75
1998-10-12,219.375
1998-10-13,232.5
1998-10-14,225.0
1998-10-15,247.5
1998-10-16,247.5
1998-10-19,245.625
1998-10-20,245.625
1998-10-21,245.625
1998-10-22,251.25
1998-10-23,250.3125
1998-10-26,249.375
1998-10-27,249.375
1998-10-28,253.125
1998-10-29,251.25
1998-10-30,249.375
1998-11-02,248.4375
1998-11-03,249.375
1998-11-04,251.25
1998-11-05,251.25
1998-11-06,251.25
1998-11-09,245.625
1998-11-10,251.25
1998-11-11,253.125
1998-11-12,249.375
1998-11-13,251.25
1998-11-16,251.25
1998-11-17,251.25
1998-11-18,251.25
1998-11-19,249.375
1998-11-20,251.25
1998-11-23,256.875
1998-11-24,266.25
1998-11-25,264.375
1998-11-27,264.375
1998-11-30,260.625
1998-12-01,266.25
1998-12-02,268.125
1998-12-03,264.375
1998-12-04,264.375
1998-12-07,264.375
1998-12-08,269.0625
1998-12-09,268.125
1998-12-10,262.5
1998-12-11,260.625
1998-12-14,266.25
