,ALTO
2007-04-11,1677.9000244140625
2007-04-12,1698.9000244140625
2007-04-13,1718.8499755859375
2007-04-16,1695.75
2007-04-17,1648.5
2007-04-18,1626.449951171875
2007-04-19,1589.699951171875
2007-04-20,1594.949951171875
2007-04-23,1600.199951171875
2007-04-24,1588.6500244140625
2007-04-25,1585.5
2007-04-26,1575.0
2007-04-27,1576.050048828125
2007-04-30,1554.0
2007-05-01,1516.199951171875
2007-05-02,1551.9000244140625
2007-05-03,1544.550048828125
2007-05-04,1531.949951171875
2007-05-07,1501.5
2007-05-08,1466.8499755859375
2007-05-09,1452.1500244140625
2007-05-10,1584.449951171875
2007-05-11,1615.949951171875
2007-05-14,1607.550048828125
2007-05-15,1579.199951171875
2007-05-16,1552.949951171875
2007-05-17,1539.300048828125
2007-05-18,1509.9000244140625
2007-05-21,1491.0
2007-05-22,1514.0999755859375
2007-05-23,1507.800048828125
2007-05-24,1487.8499755859375
2007-05-25,1481.550048828125
2007-05-29,1497.300048828125
2007-05-30,1487.8499755859375
2007-05-31,1413.300048828125
2007-06-01,1396.5
2007-06-04,1386.0
2007-06-05,1382.8499755859375
2007-06-06,1361.8499755859375
2007-06-07,1337.699951171875
2007-06-08,1333.5
2007-06-11,1331.4000244140625
2007-06-12,1313.550048828125
2007-06-13,1312.5
2007-06-14,1318.800048828125
2007-06-15,1337.699951171875
2007-06-18,1339.800048828125
2007-06-19,1327.199951171875
2007-06-20,1296.75
2007-06-21,1286.25
2007-06-22,1347.1500244140625
2007-06-25,1334.550048828125
2007-06-26,1326.1500244140625
2007-06-27,1323.0
2007-06-28,1353.449951171875
2007-06-29,1386.0
2007-07-02,1419.5999755859375
2007-07-03,1430.0999755859375
2007-07-05,1527.75
2007-07-06,1515.1500244140625
2007-07-09,1560.300048828125
2007-07-10,1533.0
2007-07-11,1528.800048828125
2007-07-12,1516.199951171875
2007-07-13,1485.75
2007-07-16,1470.0
2007-07-17,1461.5999755859375
2007-07-18,1432.199951171875
2007-07-19,1410.1500244140625
2007-07-20,1404.9000244140625
2007-07-23,1399.6500244140625
2007-07-24,1375.5
2007-07-25,1353.449951171875
2007-07-26,1339.800048828125
2007-07-27,1293.5999755859375
2007-07-30,1313.550048828125
2007-07-31,1319.8499755859375
2007-08-01,1311.449951171875
2007-08-02,1311.449951171875
2007-08-03,1262.0999755859375
2007-08-06,1214.8499755859375
2007-08-07,1262.0999755859375
2007-08-08,1340.8499755859375
2007-08-09,1365.0
2007-08-10,1346.0999755859375
2007-08-13,1325.0999755859375
2007-08-14,1314.5999755859375
2007-08-15,1289.4000244140625
2007-08-16,1220.0999755859375
2007-08-17,1241.0999755859375
2007-08-20,1247.4000244140625
2007-08-21,1243.199951171875
2007-08-22,1257.9000244140625
2007-08-23,1229.550048828125
2007-08-24,1229.550048828125
2007-08-27,1219.050048828125
2007-08-28,1199.0999755859375
2007-08-29,1195.949951171875
2007-08-30,1208.550048828125
2007-08-31,1213.800048828125
2007-09-04,1245.300048828125
2007-09-05,1220.0999755859375
2007-09-06,1250.550048828125
2007-09-07,1203.300048828125
2007-09-10,1191.75
2007-09-11,1191.75
2007-09-12,1165.5
2007-09-13,1161.300048828125
2007-09-14,1130.8499755859375
2007-09-17,1093.050048828125
2007-09-18,1130.8499755859375
2007-09-19,1172.8499755859375
2007-09-20,1074.1500244140625
2007-09-21,1043.699951171875
2007-09-24,966.0
2007-09-25,900.9000244140625
2007-09-26,913.5
2007-09-27,995.4000244140625
2007-09-28,1010.0999755859375
2007-10-01,967.0499877929688
2007-10-02,934.5
2007-10-03,919.7999877929688
2007-10-04,976.5
2007-10-05,956.5499877929688
2007-10-08,942.9000244140625
2007-10-09,993.2999877929688
2007-10-10,979.6500244140625
2007-10-11,988.0499877929688
2007-10-12,948.1500244140625
2007-10-15,943.9500122070312
2007-10-16,940.7999877929688
2007-10-17,932.4000244140625
2007-10-18,927.1500244140625
2007-10-19,866.25
2007-10-22,851.5499877929688
2007-10-23,834.75
2007-10-24,808.5
2007-10-25,790.6500244140625
2007-10-26,798.0
2007-10-29,823.2000122070312
2007-10-30,813.75
2007-10-31,843.1500244140625
2007-11-01,788.5499877929688
2007-11-02,842.0999755859375
2007-11-05,843.1500244140625
2007-11-06,836.8499755859375
2007-11-07,831.5999755859375
2007-11-08,821.0999755859375
2007-11-09,723.4500122070312
2007-11-12,683.5499877929688
2007-11-13,673.0499877929688
2007-11-14,648.9000244140625
2007-11-15,612.1500244140625
2007-11-16,598.5
2007-11-19,465.1499938964844
2007-11-20,495.6000061035156
2007-11-21,451.5
2007-11-23,443.1000061035156
2007-11-26,489.29998779296875
2007-11-27,487.20001220703125
2007-11-28,492.45001220703125
2007-11-29,695.0999755859375
2007-11-30,641.5499877929688
2007-12-03,600.5999755859375
2007-12-04,603.75
2007-12-05,590.0999755859375
2007-12-06,633.1500244140625
2007-12-07,641.5499877929688
2007-12-10,628.9500122070312
2007-12-11,672.0
2007-12-12,666.75
2007-12-13,634.2000122070312
2007-12-14,695.0999755859375
2007-12-17,744.4500122070312
2007-12-18,811.6500244140625
2007-12-19,960.75
2007-12-20,959.7000122070312
2007-12-21,936.5999755859375
2007-12-24,927.1500244140625
2007-12-26,913.5
2007-12-27,913.5
2007-12-28,904.0499877929688
2007-12-31,862.0499877929688
2008-01-02,852.5999755859375
2008-01-03,926.0999755859375
2008-01-04,929.25
2008-01-07,861.0
2008-01-08,814.7999877929688
2008-01-09,792.75
2008-01-10,753.9000244140625
2008-01-11,728.7000122070312
2008-01-14,745.5
2008-01-15,697.2000122070312
2008-01-16,645.75
2008-01-17,579.5999755859375
2008-01-18,573.2999877929688
2008-01-22,525.0
2008-01-23,557.5499877929688
2008-01-24,563.8499755859375
2008-01-25,562.7999877929688
2008-01-28,592.2000122070312
2008-01-29,584.8499755859375
2008-01-30,652.0499877929688
2008-01-31,637.3499755859375
2008-02-01,605.8499755859375
2008-02-04,639.4500122070312
2008-02-05,662.5499877929688
2008-02-06,659.4000244140625
2008-02-07,634.2000122070312
2008-02-08,617.4000244140625
2008-02-11,626.8499755859375
2008-02-12,605.8499755859375
2008-02-13,647.8499755859375
2008-02-14,617.4000244140625
2008-02-15,611.0999755859375
2008-02-19,634.2000122070312
2008-02-20,625.7999877929688
2008-02-21,615.2999877929688
2008-02-22,578.5499877929688
2008-02-25,609.0
2008-02-26,590.0999755859375
2008-02-27,583.7999877929688
2008-02-28,560.7000122070312
2008-02-29,518.7000122070312
2008-03-03,510.29998779296875
2008-03-04,481.95001220703125
2008-03-05,500.8500061035156
2008-03-06,446.25
2008-03-07,473.54998779296875
2008-03-10,491.3999938964844
