,CLSN
2002-06-13,425.6756896972656
2002-06-14,463.5135192871094
2002-06-17,454.0540466308594
2002-06-18,482.43243408203125
2002-06-19,472.97296142578125
2002-06-20,472.97296142578125
2002-06-21,472.97296142578125
2002-06-24,454.0540466308594
2002-06-25,463.5135192871094
2002-06-26,463.5135192871094
2002-06-27,454.0540466308594
2002-06-28,482.43243408203125
2002-07-01,472.97296142578125
2002-07-02,463.5135192871094
2002-07-03,425.6756896972656
2002-07-05,444.5946044921875
2002-07-08,463.5135192871094
2002-07-09,454.0540466308594
2002-07-10,435.1351318359375
2002-07-11,454.0540466308594
2002-07-12,463.5135192871094
2002-07-15,435.1351318359375
2002-07-16,444.5946044921875
2002-07-17,444.5946044921875
2002-07-18,444.5946044921875
2002-07-19,425.6756896972656
2002-07-22,416.2162170410156
2002-07-23,378.3783874511719
2002-07-24,387.83782958984375
2002-07-25,416.2162170410156
2002-07-26,425.6756896972656
2002-07-29,378.3783874511719
2002-07-30,368.9189147949219
2002-07-31,331.0810852050781
2002-08-01,321.6216125488281
2002-08-02,340.54052734375
2002-08-05,368.9189147949219
2002-08-06,378.3783874511719
2002-08-07,368.9189147949219
2002-08-08,359.45947265625
2002-08-09,359.45947265625
2002-08-12,350.0
2002-08-13,378.3783874511719
2002-08-14,350.0
2002-08-15,378.3783874511719
2002-08-16,359.45947265625
2002-08-19,387.83782958984375
2002-08-20,368.9189147949219
2002-08-21,378.3783874511719
2002-08-22,387.83782958984375
2002-08-23,425.6756896972656
2002-08-26,444.5946044921875
2002-08-27,444.5946044921875
2002-08-28,425.6756896972656
2002-08-29,435.1351318359375
2002-08-30,435.1351318359375
2002-09-03,387.83782958984375
2002-09-04,406.7567443847656
2002-09-05,387.83782958984375
2002-09-06,406.7567443847656
2002-09-09,416.2162170410156
2002-09-10,359.45947265625
2002-09-11,368.9189147949219
2002-09-12,378.3783874511719
2002-09-13,350.0
2002-09-16,359.45947265625
2002-09-17,359.45947265625
2002-09-18,350.0
2002-09-19,368.9189147949219
2002-09-20,378.3783874511719
2002-09-23,397.29730224609375
2002-09-24,378.3783874511719
2002-09-25,359.45947265625
2002-09-26,359.45947265625
2002-09-27,368.9189147949219
2002-09-30,378.3783874511719
2002-10-01,378.3783874511719
2002-10-02,397.29730224609375
2002-10-03,368.9189147949219
2002-10-04,378.3783874511719
2002-10-07,368.9189147949219
2002-10-08,359.45947265625
2002-10-09,350.0
2002-10-10,359.45947265625
2002-10-11,368.9189147949219
2002-10-14,387.83782958984375
2002-10-15,397.29730224609375
2002-10-16,387.83782958984375
2002-10-17,406.7567443847656
2002-10-18,378.3783874511719
2002-10-21,378.3783874511719
2002-10-22,378.3783874511719
2002-10-23,387.83782958984375
2002-10-24,387.83782958984375
2002-10-25,378.3783874511719
2002-10-28,378.3783874511719
