,ANAB
2018-06-07,72.45999908447266
2018-06-08,71.33000183105469
2018-06-11,70.30999755859375
2018-06-12,70.48999786376953
2018-06-13,70.54000091552734
2018-06-14,74.91000366210938
2018-06-15,75.25
2018-06-18,80.75
2018-06-19,76.4800033569336
2018-06-20,76.56999969482422
2018-06-21,71.55000305175781
2018-06-22,74.91000366210938
2018-06-25,74.48999786376953
2018-06-26,75.5
2018-06-27,70.01000213623047
2018-06-28,71.27999877929688
2018-06-29,71.04000091552734
2018-07-02,75.55000305175781
2018-07-03,72.86000061035156
2018-07-05,68.7300033569336
2018-07-06,71.4000015258789
2018-07-09,72.44999694824219
2018-07-10,71.44000244140625
2018-07-11,72.62999725341797
2018-07-12,74.33000183105469
2018-07-13,71.51000213623047
2018-07-16,71.22000122070312
2018-07-17,72.91000366210938
2018-07-18,76.08999633789062
2018-07-19,73.76000213623047
2018-07-20,76.51000213623047
2018-07-23,76.81999969482422
2018-07-24,73.80000305175781
2018-07-25,81.56999969482422
2018-07-26,83.13999938964844
2018-07-27,81.88999938964844
2018-07-30,79.4000015258789
2018-07-31,78.31999969482422
2018-08-01,80.48999786376953
2018-08-02,80.4000015258789
2018-08-03,75.11000061035156
2018-08-06,78.18000030517578
2018-08-07,81.9000015258789
2018-08-08,81.80999755859375
2018-08-09,82.12000274658203
2018-08-10,83.45999908447266
2018-08-13,81.45999908447266
2018-08-14,83.04000091552734
2018-08-15,82.62000274658203
2018-08-16,85.58000183105469
2018-08-17,86.12000274658203
2018-08-20,81.08000183105469
2018-08-21,83.01000213623047
2018-08-22,85.20999908447266
2018-08-23,85.6500015258789
2018-08-24,85.94000244140625
2018-08-27,86.63999938964844
2018-08-28,87.55000305175781
2018-08-29,87.75
2018-08-30,88.70999908447266
2018-08-31,88.63999938964844
2018-09-04,89.5999984741211
2018-09-05,90.06999969482422
2018-09-06,86.13999938964844
2018-09-07,87.7699966430664
2018-09-10,87.0
2018-09-11,85.41000366210938
2018-09-12,85.30999755859375
2018-09-13,85.62000274658203
2018-09-14,86.11000061035156
2018-09-17,88.3499984741211
2018-09-18,88.08000183105469
2018-09-19,90.20999908447266
2018-09-20,92.30000305175781
2018-09-21,92.80000305175781
2018-09-24,101.94999694824219
2018-09-25,94.45999908447266
2018-09-26,100.13999938964844
2018-09-27,97.1500015258789
2018-09-28,99.7699966430664
2018-10-01,99.23999786376953
2018-10-02,93.51000213623047
2018-10-03,96.68000030517578
2018-10-04,94.31999969482422
2018-10-05,92.93000030517578
2018-10-08,90.44000244140625
2018-10-09,87.0999984741211
2018-10-10,82.98999786376953
2018-10-11,79.63999938964844
2018-10-12,78.63999938964844
2018-10-15,75.94999694824219
2018-10-16,81.23999786376953
2018-10-17,81.36000061035156
2018-10-18,81.25
2018-10-19,78.75
2018-10-22,76.37999725341797
2018-10-23,76.5
2018-10-24,71.41999816894531
2018-10-25,75.62999725341797
2018-10-26,73.05000305175781
2018-10-29,69.61000061035156
2018-10-30,70.95999908447266
2018-10-31,74.72000122070312
2018-11-01,82.12000274658203
2018-11-02,81.22000122070312
2018-11-05,80.33999633789062
2018-11-06,80.4800033569336
2018-11-07,86.25
2018-11-08,81.04000091552734
2018-11-09,72.33000183105469
2018-11-12,70.5999984741211
2018-11-13,69.88999938964844
2018-11-14,64.87000274658203
2018-11-15,64.48999786376953
2018-11-16,68.58000183105469
2018-11-19,67.80000305175781
2018-11-20,69.05000305175781
2018-11-21,73.01000213623047
2018-11-23,73.94999694824219
2018-11-26,76.55999755859375
2018-11-27,73.72000122070312
2018-11-28,73.11000061035156
2018-11-29,73.52999877929688
2018-11-30,74.58000183105469
2018-12-03,72.25
2018-12-04,69.08000183105469
2018-12-06,71.58999633789062
2018-12-07,71.9800033569336
2018-12-10,70.80999755859375
2018-12-11,71.69000244140625
2018-12-12,71.37999725341797
2018-12-13,70.48999786376953
2018-12-14,68.45999908447266
2018-12-17,65.37999725341797
2018-12-18,62.209999084472656
2018-12-19,60.540000915527344
2018-12-20,58.650001525878906
2018-12-21,55.400001525878906
2018-12-24,56.400001525878906
2018-12-26,61.54999923706055
2018-12-27,61.7599983215332
2018-12-28,61.84000015258789
2018-12-31,63.790000915527344
2019-01-02,63.720001220703125
2019-01-03,61.380001068115234
2019-01-04,65.4000015258789
2019-01-07,69.41000366210938
2019-01-08,70.0
2019-01-09,71.70999908447266
2019-01-10,73.58999633789062
2019-01-11,72.06999969482422
2019-01-14,69.5
2019-01-15,70.58999633789062
2019-01-16,71.51000213623047
2019-01-17,72.75
2019-01-18,73.05000305175781
