,HRI
2017-03-17,48.290000915527344
2017-03-20,48.31999969482422
2017-03-21,46.79999923706055
2017-03-22,46.220001220703125
2017-03-23,46.7599983215332
2017-03-24,46.59000015258789
2017-03-27,46.540000915527344
2017-03-28,48.349998474121094
2017-03-29,48.18000030517578
2017-03-30,48.66999816894531
2017-03-31,48.88999938964844
2017-04-03,46.709999084472656
2017-04-04,45.41999816894531
2017-04-05,45.84000015258789
2017-04-06,48.08000183105469
2017-04-07,48.38999938964844
2017-04-10,50.060001373291016
2017-04-11,49.369998931884766
2017-04-12,47.849998474121094
2017-04-13,47.08000183105469
2017-04-17,47.41999816894531
2017-04-18,47.619998931884766
2017-04-19,48.939998626708984
2017-04-20,46.95000076293945
2017-04-21,45.630001068115234
2017-04-24,46.5099983215332
2017-04-25,48.099998474121094
2017-04-26,48.70000076293945
2017-04-27,46.529998779296875
2017-04-28,45.470001220703125
2017-05-01,46.369998931884766
2017-05-02,46.08000183105469
2017-05-03,45.45000076293945
2017-05-04,45.61000061035156
2017-05-05,45.599998474121094
2017-05-08,44.59000015258789
2017-05-09,44.0
2017-05-10,45.650001525878906
2017-05-11,44.369998931884766
2017-05-12,42.060001373291016
2017-05-15,41.0
2017-05-16,39.310001373291016
2017-05-17,37.900001525878906
2017-05-18,35.0099983215332
2017-05-19,35.599998474121094
2017-05-22,36.290000915527344
2017-05-23,35.9900016784668
2017-05-24,36.4900016784668
2017-05-25,36.43000030517578
2017-05-26,36.560001373291016
2017-05-30,36.5099983215332
2017-05-31,37.83000183105469
2017-06-01,38.31999969482422
2017-06-02,38.81999969482422
2017-06-05,37.130001068115234
2017-06-06,37.2599983215332
2017-06-07,36.93000030517578
2017-06-08,38.25
2017-06-09,38.38999938964844
2017-06-12,39.099998474121094
2017-06-13,40.619998931884766
2017-06-14,38.9900016784668
2017-06-15,37.5099983215332
2017-06-16,37.369998931884766
2017-06-19,39.25
2017-06-20,37.5
2017-06-21,36.63999938964844
2017-06-22,36.650001525878906
2017-06-23,37.540000915527344
2017-06-26,38.13999938964844
2017-06-27,36.95000076293945
2017-06-28,38.5099983215332
2017-06-29,38.459999084472656
2017-06-30,39.31999969482422
2017-07-03,40.369998931884766
2017-07-05,40.459999084472656
2017-07-06,40.459999084472656
2017-07-07,41.06999969482422
2017-07-10,40.70000076293945
2017-07-11,41.4900016784668
2017-07-12,43.150001525878906
2017-07-13,44.380001068115234
2017-07-14,45.0099983215332
2017-07-17,44.939998626708984
2017-07-18,45.02000045776367
2017-07-19,45.7599983215332
2017-07-20,46.779998779296875
2017-07-21,46.0
2017-07-24,46.04999923706055
2017-07-25,47.20000076293945
2017-07-26,46.61000061035156
2017-07-27,46.7400016784668
2017-07-28,46.84000015258789
2017-07-31,45.380001068115234
2017-08-01,45.66999816894531
2017-08-02,44.91999816894531
2017-08-03,45.029998779296875
2017-08-04,45.31999969482422
2017-08-07,45.5
2017-08-08,39.7599983215332
2017-08-09,38.7400016784668
2017-08-10,39.0
2017-08-11,39.0099983215332
2017-08-14,40.560001373291016
2017-08-15,39.650001525878906
2017-08-16,38.029998779296875
2017-08-17,36.91999816894531
2017-08-18,36.72999954223633
2017-08-21,36.5099983215332
2017-08-22,37.34000015258789
2017-08-23,37.349998474121094
2017-08-24,37.7400016784668
2017-08-25,36.970001220703125
2017-08-28,39.04999923706055
2017-08-29,41.439998626708984
2017-08-30,42.20000076293945
2017-08-31,42.220001220703125
2017-09-01,42.97999954223633
2017-09-05,43.18000030517578
2017-09-06,44.5
2017-09-07,45.099998474121094
2017-09-08,45.849998474121094
2017-09-11,45.18000030517578
2017-09-12,46.0099983215332
2017-09-13,46.34000015258789
2017-09-14,45.34000015258789
2017-09-15,44.88999938964844
2017-09-18,46.2599983215332
2017-09-19,45.790000915527344
2017-09-20,46.380001068115234
2017-09-21,46.4900016784668
2017-09-22,46.70000076293945
2017-09-25,46.68000030517578
2017-09-26,47.810001373291016
2017-09-27,48.45000076293945
2017-09-28,48.38999938964844
2017-09-29,49.130001068115234
2017-10-02,50.130001068115234
2017-10-03,50.619998931884766
2017-10-04,49.83000183105469
2017-10-05,50.220001220703125
2017-10-06,50.40999984741211
2017-10-09,50.400001525878906
2017-10-10,50.349998474121094
2017-10-11,50.209999084472656
2017-10-12,50.2400016784668
2017-10-13,49.5
2017-10-16,49.08000183105469
2017-10-17,48.88999938964844
2017-10-18,48.810001373291016
2017-10-19,48.459999084472656
2017-10-20,48.43000030517578
2017-10-23,47.560001373291016
2017-10-24,47.36000061035156
2017-10-25,46.130001068115234
2017-10-26,46.97999954223633
2017-10-27,47.66999816894531
2017-10-30,48.220001220703125
2017-10-31,48.459999084472656
2017-11-01,48.54999923706055
2017-11-02,48.27000045776367
2017-11-03,47.959999084472656
2017-11-06,49.90999984741211
2017-11-07,48.290000915527344
2017-11-08,55.630001068115234
2017-11-09,55.5
2017-11-10,54.689998626708984
2017-11-13,53.849998474121094
2017-11-14,53.619998931884766
2017-11-15,54.9900016784668
2017-11-16,56.27000045776367
2017-11-17,56.31999969482422
2017-11-20,56.959999084472656
2017-11-21,57.220001220703125
2017-11-22,57.18000030517578
2017-11-24,57.290000915527344
2017-11-27,56.97999954223633
2017-11-28,59.029998779296875
2017-11-29,59.869998931884766
2017-11-30,59.18000030517578
2017-12-01,59.650001525878906
2017-12-04,60.599998474121094
2017-12-05,59.59000015258789
2017-12-06,60.02000045776367
2017-12-07,61.220001220703125
2017-12-08,61.33000183105469
2017-12-11,61.400001525878906
2017-12-12,60.939998626708984
2017-12-13,62.459999084472656
2017-12-14,63.29999923706055
2017-12-15,64.88999938964844
2017-12-18,65.83999633789062
2017-12-19,62.25
2017-12-20,63.099998474121094
2017-12-21,63.04999923706055
2017-12-22,62.43000030517578
2017-12-26,62.9900016784668
2017-12-27,63.2599983215332
2017-12-28,63.560001373291016
2017-12-29,62.61000061035156
2018-01-02,63.36000061035156
2018-01-03,62.959999084472656
2018-01-04,62.75
2018-01-05,62.90999984741211
2018-01-08,62.25
2018-01-09,62.869998931884766
2018-01-10,62.70000076293945
2018-01-11,63.77000045776367
2018-01-12,65.62000274658203
2018-01-16,62.81999969482422
2018-01-17,62.79999923706055
2018-01-18,63.209999084472656
2018-01-19,65.45999908447266
2018-01-22,66.12000274658203
2018-01-23,68.18000030517578
2018-01-24,70.20999908447266
2018-01-25,68.7300033569336
2018-01-26,68.30000305175781
2018-01-29,66.27999877929688
2018-01-30,66.11000061035156
2018-01-31,65.72000122070312
2018-02-01,66.72000122070312
2018-02-02,65.38999938964844
2018-02-05,62.119998931884766
2018-02-06,62.40999984741211
2018-02-07,62.54999923706055
2018-02-08,58.650001525878906
2018-02-09,57.45000076293945
2018-02-12,59.279998779296875
2018-02-13,57.09000015258789
2018-02-14,59.18000030517578
2018-02-15,60.90999984741211
2018-02-16,62.04999923706055
2018-02-20,62.65999984741211
2018-02-21,62.40999984741211
2018-02-22,63.5
2018-02-23,65.23999786376953
2018-02-26,66.19000244140625
2018-02-27,66.11000061035156
2018-02-28,65.20999908447266
2018-03-01,66.66999816894531
2018-03-02,65.7300033569336
2018-03-05,67.20999908447266
2018-03-06,70.5999984741211
2018-03-07,69.2300033569336
2018-03-08,69.0999984741211
2018-03-09,71.47000122070312
2018-03-12,71.1500015258789
2018-03-13,71.05000305175781
2018-03-14,70.08999633789062
2018-03-15,69.56999969482422
2018-03-16,69.7699966430664
2018-03-19,69.18000030517578
2018-03-20,69.7699966430664
2018-03-21,69.75
2018-03-22,67.7699966430664
2018-03-23,64.83000183105469
2018-03-26,66.87999725341797
2018-03-27,63.90999984741211
2018-03-28,63.34000015258789
2018-03-29,64.94999694824219
2018-04-02,61.7599983215332
2018-04-03,63.79999923706055
2018-04-04,64.8499984741211
2018-04-05,65.0
2018-04-06,62.310001373291016
2018-04-09,62.119998931884766
2018-04-10,64.26000213623047
