,ALPN
2016-11-04,20.8799991607666
2016-11-07,20.639999389648438
2016-11-08,20.479999542236328
2016-11-09,22.399999618530273
2016-11-10,25.15999984741211
2016-11-11,25.520000457763672
2016-11-14,24.719999313354492
2016-11-15,24.760000228881836
2016-11-16,25.200000762939453
2016-11-17,26.040000915527344
2016-11-18,25.68000030517578
2016-11-21,25.520000457763672
2016-11-22,25.1200008392334
2016-11-23,25.0
2016-11-25,25.1200008392334
2016-11-28,25.0
2016-11-29,10.279999732971191
2016-11-30,8.680000305175781
2016-12-01,8.279999732971191
2016-12-02,8.279999732971191
2016-12-05,8.15999984741211
2016-12-06,9.479999542236328
2016-12-07,8.680000305175781
2016-12-08,8.4399995803833
2016-12-09,8.5600004196167
2016-12-12,8.5600004196167
2016-12-13,8.680000305175781
2016-12-14,8.319999694824219
2016-12-15,8.319999694824219
2016-12-16,8.539999961853027
2016-12-19,8.479999542236328
2016-12-20,8.4399995803833
2016-12-21,8.279999732971191
2016-12-22,8.15999984741211
2016-12-23,8.319999694824219
2016-12-27,8.640000343322754
2016-12-28,8.640000343322754
2016-12-29,8.399999618530273
2016-12-30,8.960000038146973
2017-01-03,8.819999694824219
2017-01-04,9.600000381469727
2017-01-05,9.319999694824219
2017-01-06,8.960000038146973
2017-01-09,9.079999923706055
2017-01-10,9.239999771118164
2017-01-11,9.079999923706055
2017-01-12,8.84000015258789
2017-01-13,8.880000114440918
2017-01-17,9.0
2017-01-18,8.960000038146973
2017-01-19,8.84000015258789
2017-01-20,8.359999656677246
2017-01-23,8.640000343322754
2017-01-24,8.680000305175781
2017-01-25,9.039999961853027
2017-01-26,9.0
2017-01-27,8.84000015258789
2017-01-30,8.680000305175781
2017-01-31,8.800000190734863
2017-02-01,9.260000228881836
2017-02-02,9.119999885559082
2017-02-03,9.760000228881836
2017-02-06,9.359999656677246
2017-02-07,9.319999694824219
2017-02-08,9.640000343322754
2017-02-09,9.5600004196167
2017-02-10,9.5600004196167
2017-02-13,9.479999542236328
2017-02-14,10.0
2017-02-15,10.199999809265137
2017-02-16,10.479999542236328
2017-02-17,10.520000457763672
2017-02-21,10.279999732971191
2017-02-22,10.0
2017-02-23,9.960000038146973
2017-02-24,10.359999656677246
2017-02-27,11.15999984741211
2017-02-28,10.920000076293945
2017-03-01,11.039999961853027
2017-03-02,11.0
2017-03-03,10.779999732971191
2017-03-06,10.600000381469727
2017-03-07,10.720000267028809
2017-03-08,10.84000015258789
2017-03-09,10.880000114440918
2017-03-10,11.199999809265137
2017-03-13,11.680000305175781
2017-03-14,11.84000015258789
2017-03-15,11.600000381469727
2017-03-16,12.0
2017-03-17,12.079999923706055
2017-03-20,11.760000228881836
2017-03-21,11.199999809265137
2017-03-22,10.960000038146973
2017-03-23,10.960000038146973
2017-03-24,11.359999656677246
2017-03-27,11.800000190734863
2017-03-28,11.520000457763672
2017-03-29,11.600000381469727
2017-03-30,11.319999694824219
2017-03-31,11.680000305175781
2017-04-03,11.5600004196167
