,AMTX
2010-04-30,0.4000000059604645
2010-05-03,0.42500001192092896
2010-05-04,0.5
2010-05-05,0.5
2010-05-06,0.42500001192092896
2010-05-07,0.4749999940395355
2010-05-10,0.38749998807907104
2010-05-11,0.42500001192092896
2010-05-12,0.42500001192092896
2010-05-13,0.42500001192092896
2010-05-14,0.42500001192092896
2010-05-17,0.42500001192092896
2010-05-18,0.42500001192092896
2010-05-19,0.42500001192092896
2010-05-20,0.42500001192092896
2010-05-21,0.42500001192092896
2010-05-24,0.42500001192092896
2010-05-25,0.3824999928474426
2010-05-26,0.375
2010-05-27,0.375
2010-05-28,0.375
2010-06-01,0.3499999940395355
2010-06-02,0.3499999940395355
2010-06-03,0.3499999940395355
2010-06-04,0.42500001192092896
2010-06-07,0.3499999940395355
2010-06-08,0.3499999940395355
2010-06-09,0.2750000059604645
2010-06-10,0.30000001192092896
2010-06-11,0.30000001192092896
2010-06-14,0.2750000059604645
2010-06-15,0.3125
2010-06-16,0.2750000059604645
2010-06-17,0.3125
2010-06-18,0.3125
2010-06-21,0.32499998807907104
2010-06-22,0.2549999952316284
2010-06-23,0.2549999952316284
2010-06-24,0.2549999952316284
2010-06-25,0.29750001430511475
2010-06-28,0.29750001430511475
2010-06-29,0.25
2010-06-30,0.25
2010-07-01,0.32499998807907104
2010-07-02,0.22499999403953552
2010-07-06,0.22499999403953552
2010-07-07,0.22499999403953552
2010-07-08,0.22499999403953552
2010-07-09,0.20000000298023224
2010-07-12,0.20000000298023224
2010-07-13,0.25
2010-07-14,0.20000000298023224
2010-07-15,0.25
2010-07-16,0.25
2010-07-19,0.25
2010-07-20,0.25
2010-07-21,0.20000000298023224
2010-07-22,0.22499999403953552
2010-07-23,0.22499999403953552
2010-07-26,0.22499999403953552
2010-07-27,0.22499999403953552
2010-07-28,0.22499999403953552
2010-07-29,0.22499999403953552
2010-07-30,0.20000000298023224
2010-08-02,0.22499999403953552
2010-08-03,0.22499999403953552
2010-08-04,0.20000000298023224
2010-08-05,0.1875
2010-08-06,0.20000000298023224
2010-08-09,0.20000000298023224
2010-08-10,0.20000000298023224
2010-08-11,0.20000000298023224
2010-08-12,0.22499999403953552
2010-08-13,0.22499999403953552
2010-08-16,0.22499999403953552
2010-08-17,0.22499999403953552
2010-08-18,0.22499999403953552
2010-08-19,0.22499999403953552
2010-08-20,0.22499999403953552
2010-08-23,0.22499999403953552
2010-08-24,0.1875
2010-08-25,0.1875
2010-08-26,0.1274999976158142
2010-08-27,0.1525000035762787
2010-08-30,0.19499999284744263
2010-08-31,0.19499999284744263
2010-09-01,0.19499999284744263
2010-09-02,0.19499999284744263
2010-09-03,0.22499999403953552
2010-09-07,0.22499999403953552
2010-09-08,0.22499999403953552
2010-09-09,0.22499999403953552
2010-09-10,0.17499999701976776
2010-09-13,0.17499999701976776
2010-09-14,0.15000000596046448
2010-09-15,0.15000000596046448
2010-09-16,0.15000000596046448
2010-09-17,0.15000000596046448
2010-09-20,0.15000000596046448
2010-09-21,0.20000000298023224
2010-09-22,0.20000000298023224
2010-09-23,0.20000000298023224
2010-09-24,0.20000000298023224
2010-09-27,0.20000000298023224
2010-09-28,0.20000000298023224
2010-09-29,0.125
2010-09-30,0.125
2010-10-01,0.20000000298023224
2010-10-04,0.15000000596046448
2010-10-05,0.20000000298023224
2010-10-06,0.20000000298023224
2010-10-07,0.20000000298023224
2010-10-08,0.20000000298023224
2010-10-11,0.20000000298023224
2010-10-12,0.20000000298023224
2010-10-13,0.20000000298023224
2010-10-14,0.20000000298023224
2010-10-15,0.20000000298023224
2010-10-18,0.20000000298023224
2010-10-19,0.20000000298023224
2010-10-20,0.20000000298023224
2010-10-21,0.22499999403953552
2010-10-22,0.22499999403953552
2010-10-25,0.25
2010-10-26,0.25
2010-10-27,0.25
2010-10-28,0.25
