,AVRO
2019-08-28,20.059999465942383
2019-08-29,19.540000915527344
2019-08-30,19.479999542236328
2019-09-03,18.790000915527344
2019-09-04,19.579999923706055
2019-09-05,20.6200008392334
2019-09-06,20.979999542236328
2019-09-09,20.8700008392334
2019-09-10,20.309999465942383
2019-09-11,20.5
2019-09-12,20.200000762939453
2019-09-13,19.729999542236328
2019-09-16,18.540000915527344
2019-09-17,18.719999313354492
2019-09-18,18.81999969482422
2019-09-19,18.200000762939453
2019-09-20,18.040000915527344
2019-09-23,18.079999923706055
2019-09-24,17.139999389648438
2019-09-25,16.81999969482422
2019-09-26,16.079999923706055
2019-09-27,15.1899995803833
2019-09-30,14.119999885559082
2019-10-01,13.470000267028809
2019-10-02,13.609999656677246
2019-10-03,14.25
2019-10-04,13.880000114440918
2019-10-07,13.75
2019-10-08,14.0
2019-10-09,14.0
2019-10-10,14.0
2019-10-11,14.34000015258789
2019-10-14,14.039999961853027
2019-10-15,14.0
2019-10-16,13.869999885559082
2019-10-17,14.020000457763672
2019-10-18,13.800000190734863
2019-10-21,14.210000038146973
2019-10-22,14.25
2019-10-23,14.59000015258789
2019-10-24,14.399999618530273
2019-10-25,14.680000305175781
2019-10-28,14.59000015258789
2019-10-29,14.550000190734863
2019-10-30,14.510000228881836
2019-10-31,14.520000457763672
2019-11-01,14.930000305175781
2019-11-04,14.520000457763672
2019-11-05,14.460000038146973
2019-11-06,14.399999618530273
2019-11-07,14.550000190734863
2019-11-08,15.390000343322754
2019-11-11,14.149999618530273
2019-11-12,13.5
2019-11-13,13.350000381469727
2019-11-14,13.050000190734863
2019-11-15,13.3100004196167
2019-11-18,13.220000267028809
2019-11-19,13.479999542236328
2019-11-20,14.789999961853027
2019-11-21,16.56999969482422
2019-11-22,16.489999771118164
2019-11-25,16.030000686645508
2019-11-26,15.640000343322754
2019-11-27,16.18000030517578
2019-11-29,16.040000915527344
2019-12-02,15.960000038146973
2019-12-03,16.709999084472656
2019-12-04,17.360000610351562
2019-12-05,17.770000457763672
2019-12-06,17.979999542236328
