,COMT
2016-06-08,33.650001525878906
2016-06-09,33.43000030517578
2016-06-10,32.81999969482422
2016-06-13,32.650001525878906
2016-06-14,32.3650016784668
2016-06-15,32.310001373291016
2016-06-16,31.780000686645508
2016-06-17,32.630001068115234
2016-06-20,32.91999816894531
2016-06-21,32.720001220703125
2016-06-22,32.68000030517578
2016-06-23,33.064998626708984
2016-06-24,31.950000762939453
2016-06-27,31.639999389648438
2016-06-28,32.220001220703125
2016-06-29,32.77799987792969
2016-06-30,32.81999969482422
2016-07-01,33.18000030517578
2016-07-05,32.290000915527344
2016-07-06,32.560001373291016
2016-07-07,31.700000762939453
2016-07-08,32.150001525878906
2016-07-11,32.09000015258789
2016-07-12,32.7599983215332
2016-07-13,32.47999954223633
2016-07-14,32.599998474121094
2016-07-15,32.560001373291016
2016-07-18,32.459999084472656
2016-07-19,32.15999984741211
2016-07-20,31.979999542236328
2016-07-21,31.760000228881836
2016-07-22,31.649999618530273
2016-07-25,31.3700008392334
2016-07-26,31.520000457763672
2016-07-27,31.25
2016-07-28,30.969999313354492
2016-07-29,31.290000915527344
2016-08-01,30.8700008392334
2016-08-02,30.729999542236328
2016-08-03,31.170000076293945
2016-08-04,31.290000915527344
2016-08-05,31.389999389648438
2016-08-08,31.719999313354492
2016-08-09,31.639999389648438
2016-08-10,31.350000381469727
2016-08-11,31.8799991607666
2016-08-12,31.989999771118164
2016-08-15,32.43000030517578
2016-08-16,32.59000015258789
2016-08-17,32.68000030517578
2016-08-18,33.06999969482422
2016-08-19,33.029998779296875
2016-08-22,32.650001525878906
2016-08-23,32.880001068115234
2016-08-24,32.25
2016-08-25,32.40999984741211
2016-08-26,32.37699890136719
2016-08-29,32.27000045776367
2016-08-30,31.902999877929688
2016-08-31,31.280000686645508
2016-09-01,31.139999389648438
2016-09-02,31.489999771118164
2016-09-06,31.829999923706055
2016-09-07,31.989999771118164
2016-09-08,32.540000915527344
2016-09-09,31.71500015258789
2016-09-12,31.940000534057617
2016-09-13,31.211000442504883
2016-09-14,31.079999923706055
2016-09-15,31.219999313354492
2016-09-16,31.131999969482422
2016-09-19,31.25
2016-09-20,31.329999923706055
2016-09-21,31.90999984741211
2016-09-22,32.150001525878906
2016-09-23,31.649999618530273
2016-09-26,31.770000457763672
2016-09-27,31.450000762939453
2016-09-28,32.310001373291016
2016-09-29,32.45000076293945
2016-09-30,32.630001068115234
2016-10-03,32.790000915527344
2016-10-04,32.540000915527344
2016-10-05,32.93000030517578
2016-10-06,32.94300079345703
2016-10-07,32.70000076293945
2016-10-10,33.119998931884766
2016-10-11,32.869998931884766
2016-10-12,32.779998779296875
2016-10-13,32.720001220703125
2016-10-14,32.79999923706055
2016-10-17,32.84000015258789
2016-10-18,32.95000076293945
2016-10-19,33.279998779296875
2016-10-20,32.939998626708984
2016-10-21,33.22999954223633
2016-10-24,33.20000076293945
2016-10-25,33.130001068115234
2016-10-26,32.93000030517578
2016-10-27,32.900001525878906
2016-10-28,32.77000045776367
2016-10-31,32.459999084472656
2016-11-01,32.34000015258789
2016-11-02,31.940000534057617
