,EARS
2017-10-05,189.60000610351562
2017-10-06,188.0
2017-10-09,188.0
2017-10-10,187.0
2017-10-11,182.39999389648438
2017-10-12,173.1999969482422
2017-10-13,174.0
2017-10-16,167.0
2017-10-17,166.0
2017-10-18,158.0
2017-10-19,160.0
2017-10-20,158.0
2017-10-23,158.0
2017-10-24,154.1999969482422
2017-10-25,156.0
2017-10-26,155.8000030517578
2017-10-27,158.0
2017-10-30,155.0
2017-10-31,152.0
2017-11-01,150.0
2017-11-02,148.0
2017-11-03,146.0
2017-11-06,145.60000610351562
2017-11-07,141.60000610351562
2017-11-08,142.0
2017-11-09,136.0
2017-11-10,137.0
2017-11-13,146.60000610351562
2017-11-14,147.8000030517578
2017-11-15,146.0
2017-11-16,160.0
2017-11-17,161.60000610351562
2017-11-20,166.0
2017-11-21,164.0
2017-11-22,171.0
2017-11-24,186.0
2017-11-27,165.0
2017-11-28,85.5999984741211
2017-11-29,93.5999984741211
2017-11-30,89.80000305175781
2017-12-01,87.0
2017-12-04,85.0
2017-12-05,84.19999694824219
2017-12-06,80.0
2017-12-07,78.80000305175781
2017-12-08,83.19999694824219
2017-12-11,83.80000305175781
2017-12-12,96.0
2017-12-13,92.0
2017-12-14,88.0
2017-12-15,88.0
2017-12-18,90.0
2017-12-19,90.0
2017-12-20,91.19999694824219
2017-12-21,96.4000015258789
2017-12-22,100.80000305175781
2017-12-26,92.19999694824219
2017-12-27,93.0
2017-12-28,123.80000305175781
2017-12-29,118.19999694824219
2018-01-02,124.0
2018-01-03,119.80000305175781
2018-01-04,106.0
2018-01-05,100.0
2018-01-08,96.5999984741211
2018-01-09,95.80000305175781
2018-01-10,96.80000305175781
2018-01-11,99.0
2018-01-12,96.0
2018-01-16,97.5999984741211
2018-01-17,101.19999694824219
2018-01-18,102.0
2018-01-19,100.0
2018-01-22,102.0
2018-01-23,102.19999694824219
2018-01-24,101.5999984741211
2018-01-25,97.80000305175781
2018-01-26,97.4000015258789
2018-01-29,98.80000305175781
2018-01-30,76.5999984741211
2018-01-31,75.80000305175781
2018-02-01,74.4000015258789
2018-02-02,68.0
2018-02-05,62.0
2018-02-06,60.79999923706055
2018-02-07,61.0
2018-02-08,62.0
2018-02-09,53.0
2018-02-12,58.79999923706055
2018-02-13,66.80000305175781
2018-02-14,60.79999923706055
2018-02-15,58.20000076293945
2018-02-16,57.400001525878906
2018-02-20,54.0
2018-02-21,53.0
2018-02-22,52.20000076293945
2018-02-23,52.599998474121094
2018-02-26,52.0
2018-02-27,49.0
2018-02-28,52.0
2018-03-01,50.0
2018-03-02,63.20000076293945
2018-03-05,59.599998474121094
