,DCPH
2019-11-12,48.34000015258789
2019-11-13,48.720001220703125
2019-11-14,47.97999954223633
2019-11-15,48.90999984741211
2019-11-18,48.130001068115234
2019-11-19,48.0
2019-11-20,47.79999923706055
2019-11-21,48.150001525878906
2019-11-22,47.2400016784668
2019-11-25,48.439998626708984
2019-11-26,49.599998474121094
2019-11-27,47.0099983215332
2019-11-29,47.290000915527344
2019-12-02,47.599998474121094
2019-12-03,51.29999923706055
2019-12-04,51.849998474121094
2019-12-05,51.380001068115234
2019-12-06,52.79999923706055
2019-12-09,54.93000030517578
2019-12-10,56.400001525878906
2019-12-11,58.209999084472656
2019-12-12,58.7599983215332
2019-12-13,64.62999725341797
2019-12-16,63.93000030517578
2019-12-17,69.93000030517578
2019-12-18,67.12999725341797
2019-12-19,66.83000183105469
2019-12-20,67.18000030517578
2019-12-23,68.19999694824219
2019-12-24,67.94000244140625
2019-12-26,67.61000061035156
2019-12-27,64.48999786376953
2019-12-30,62.2400016784668
2019-12-31,62.2400016784668
2020-01-02,57.849998474121094
2020-01-03,57.220001220703125
2020-01-06,57.349998474121094
2020-01-07,58.779998779296875
2020-01-08,60.02000045776367
2020-01-09,62.5
2020-01-10,62.52000045776367
2020-01-13,62.19499969482422
2020-01-14,62.130001068115234
2020-01-15,65.37999725341797
2020-01-16,67.16999816894531
2020-01-17,69.4000015258789
2020-01-21,66.56999969482422
2020-01-22,66.73999786376953
2020-01-23,66.16000366210938
2020-01-24,66.25
2020-01-27,65.41999816894531
2020-01-28,65.4000015258789
2020-01-29,65.0199966430664
2020-01-30,63.88999938964844
2020-01-31,62.630001068115234
2020-02-03,65.30999755859375
2020-02-04,67.01000213623047
2020-02-05,67.16000366210938
2020-02-06,67.5
2020-02-07,66.97000122070312
2020-02-10,69.31999969482422
2020-02-11,68.83999633789062
2020-02-12,69.38999938964844
2020-02-13,58.439998626708984
2020-02-14,55.540000915527344
2020-02-18,54.869998931884766
2020-02-19,55.119998931884766
2020-02-20,55.810001373291016
2020-02-21,55.099998474121094
