,BSJQ
2021-03-19,25.450000762939453
2021-03-22,25.40999984741211
2021-03-23,25.40999984741211
2021-03-24,25.450000762939453
2021-03-25,25.479999542236328
2021-03-26,25.530000686645508
2021-03-29,25.549999237060547
2021-03-30,25.530000686645508
2021-03-31,25.59000015258789
2021-04-01,25.6299991607666
2021-04-05,25.639999389648438
2021-04-06,25.670000076293945
2021-04-07,25.68000030517578
2021-04-08,25.68000030517578
2021-04-09,25.670000076293945
2021-04-12,25.670000076293945
2021-04-13,25.68000030517578
2021-04-14,25.690000534057617
2021-04-15,25.75
2021-04-16,25.719999313354492
2021-04-19,25.6200008392334
2021-04-20,25.59000015258789
2021-04-21,25.639999389648438
2021-04-22,25.6200008392334
2021-04-23,25.65999984741211
2021-04-26,25.65999984741211
2021-04-27,25.6299991607666
2021-04-28,25.670000076293945
2021-04-29,25.690000534057617
2021-04-30,25.68000030517578
2021-05-03,25.690000534057617
2021-05-04,25.68000030517578
2021-05-05,25.729999542236328
2021-05-06,25.719999313354492
2021-05-07,25.729999542236328
2021-05-10,25.700000762939453
2021-05-11,25.65999984741211
2021-05-12,25.59000015258789
2021-05-13,25.649999618530273
2021-05-14,25.709999084472656
