,CMTL
2015-08-20,26.68000030517578
2015-08-21,26.489999771118164
2015-08-24,25.969999313354492
2015-08-25,25.469999313354492
2015-08-26,25.420000076293945
2015-08-27,25.290000915527344
2015-08-28,25.440000534057617
2015-08-31,26.68000030517578
2015-09-01,25.739999771118164
2015-09-02,25.760000228881836
2015-09-03,26.25
2015-09-04,25.829999923706055
2015-09-08,26.31999969482422
2015-09-09,26.100000381469727
2015-09-10,26.3799991607666
2015-09-11,26.190000534057617
2015-09-14,25.68000030517578
2015-09-15,26.290000915527344
2015-09-16,27.139999389648438
2015-09-17,26.8799991607666
2015-09-18,26.5
2015-09-21,26.6200008392334
2015-09-22,26.06999969482422
2015-09-23,26.110000610351562
2015-09-24,26.219999313354492
2015-09-25,26.420000076293945
2015-09-28,26.219999313354492
2015-09-29,21.299999237060547
2015-09-30,20.610000610351562
2015-10-01,20.520000457763672
2015-10-02,21.510000228881836
2015-10-05,23.059999465942383
2015-10-06,22.65999984741211
2015-10-07,23.0
2015-10-08,23.700000762939453
2015-10-09,23.34000015258789
2015-10-12,23.110000610351562
2015-10-13,23.65999984741211
2015-10-14,23.040000915527344
2015-10-15,23.34000015258789
2015-10-16,23.6299991607666
2015-10-19,23.489999771118164
2015-10-20,23.790000915527344
2015-10-21,23.350000381469727
2015-10-22,24.010000228881836
2015-10-23,24.260000228881836
2015-10-26,23.75
2015-10-27,23.459999084472656
2015-10-28,25.0
2015-10-29,24.3700008392334
2015-10-30,24.15999984741211
2015-11-02,25.219999313354492
2015-11-03,25.600000381469727
2015-11-04,25.25
2015-11-05,25.18000030517578
2015-11-06,24.68000030517578
2015-11-09,24.540000915527344
2015-11-10,24.450000762939453
2015-11-11,24.290000915527344
2015-11-12,23.440000534057617
2015-11-13,23.0
2015-11-16,23.040000915527344
2015-11-17,22.770000457763672
2015-11-18,23.0
2015-11-19,22.459999084472656
2015-11-20,22.329999923706055
2015-11-23,21.110000610351562
2015-11-24,21.850000381469727
2015-11-25,22.670000076293945
2015-11-27,22.530000686645508
2015-11-30,22.030000686645508
2015-12-01,21.979999542236328
2015-12-02,21.829999923706055
2015-12-03,21.610000610351562
2015-12-04,21.739999771118164
2015-12-07,21.479999542236328
2015-12-08,20.809999465942383
2015-12-09,20.899999618530273
2015-12-10,19.6299991607666
2015-12-11,19.760000228881836
2015-12-14,19.790000915527344
2015-12-15,19.950000762939453
2015-12-16,20.190000534057617
2015-12-17,20.31999969482422
2015-12-18,19.65999984741211
2015-12-21,19.75
2015-12-22,20.68000030517578
2015-12-23,20.780000686645508
2015-12-24,20.6299991607666
2015-12-28,20.510000228881836
2015-12-29,20.510000228881836
2015-12-30,20.170000076293945
2015-12-31,20.09000015258789
2016-01-04,19.829999923706055
2016-01-05,19.809999465942383
2016-01-06,19.530000686645508
2016-01-07,18.8799991607666
2016-01-08,19.139999389648438
2016-01-11,18.969999313354492
2016-01-12,18.780000686645508
2016-01-13,19.1200008392334
2016-01-14,19.239999771118164
2016-01-15,18.6200008392334
2016-01-19,18.239999771118164
2016-01-20,18.239999771118164
2016-01-21,18.350000381469727
2016-01-22,18.729999542236328
2016-01-25,18.25
2016-01-26,18.729999542236328
2016-01-27,18.59000015258789
2016-01-28,18.739999771118164
2016-01-29,19.520000457763672
2016-02-01,19.06999969482422
2016-02-02,18.510000228881836
2016-02-03,18.639999389648438
2016-02-04,18.6200008392334
2016-02-05,18.209999084472656
2016-02-08,18.479999542236328
2016-02-09,18.440000534057617
2016-02-10,18.579999923706055
2016-02-11,18.780000686645508
2016-02-12,19.18000030517578
2016-02-16,20.239999771118164
2016-02-17,19.59000015258789
2016-02-18,19.43000030517578
2016-02-19,20.0
2016-02-22,19.559999465942383
2016-02-23,19.860000610351562
2016-02-24,20.229999542236328
2016-02-25,20.219999313354492
2016-02-26,20.489999771118164
2016-02-29,20.549999237060547
2016-03-01,21.200000762939453
2016-03-02,21.389999389648438
2016-03-03,21.579999923706055
2016-03-04,21.579999923706055
2016-03-07,22.010000228881836
2016-03-08,21.530000686645508
2016-03-09,21.5
2016-03-10,21.540000915527344
2016-03-11,23.15999984741211
2016-03-14,23.209999084472656
2016-03-15,23.889999389648438
2016-03-16,23.56999969482422
2016-03-17,24.0
2016-03-18,25.010000228881836
2016-03-21,24.5
2016-03-22,23.729999542236328
2016-03-23,22.940000534057617
2016-03-24,23.020000457763672
2016-03-28,22.809999465942383
2016-03-29,23.40999984741211
2016-03-30,23.6200008392334
2016-03-31,23.3700008392334
2016-04-01,23.5
2016-04-04,22.8799991607666
2016-04-05,22.579999923706055
2016-04-06,22.799999237060547
2016-04-07,22.030000686645508
2016-04-08,22.479999542236328
2016-04-11,22.889999389648438
2016-04-12,22.709999084472656
2016-04-13,22.8799991607666
2016-04-14,22.920000076293945
2016-04-15,22.709999084472656
2016-04-18,22.459999084472656
2016-04-19,22.510000228881836
2016-04-20,22.459999084472656
2016-04-21,22.600000381469727
2016-04-22,23.1200008392334
2016-04-25,22.8799991607666
2016-04-26,24.219999313354492
2016-04-27,24.639999389648438
2016-04-28,24.3799991607666
2016-04-29,24.200000762939453
2016-05-02,24.1299991607666
2016-05-03,23.940000534057617
2016-05-04,23.799999237060547
2016-05-05,22.989999771118164
2016-05-06,22.799999237060547
2016-05-09,22.540000915527344
2016-05-10,22.850000381469727
2016-05-11,22.799999237060547
2016-05-12,22.68000030517578
2016-05-13,22.459999084472656
2016-05-16,22.610000610351562
2016-05-17,22.3700008392334
2016-05-18,22.770000457763672
2016-05-19,22.610000610351562
2016-05-20,22.90999984741211
2016-05-23,22.799999237060547
2016-05-24,23.469999313354492
2016-05-25,23.190000534057617
2016-05-26,23.309999465942383
2016-05-27,23.290000915527344
2016-05-31,23.040000915527344
2016-06-01,23.270000457763672
2016-06-02,23.25
2016-06-03,23.239999771118164
2016-06-06,23.18000030517578
2016-06-07,22.75
2016-06-08,22.440000534057617
2016-06-09,20.299999237060547
2016-06-10,20.040000915527344
2016-06-13,18.0
2016-06-14,16.940000534057617
2016-06-15,16.440000534057617
2016-06-16,16.110000610351562
2016-06-17,13.829999923706055
2016-06-20,13.859999656677246
2016-06-21,13.850000381469727
2016-06-22,13.600000381469727
2016-06-23,13.529999732971191
2016-06-24,12.300000190734863
2016-06-27,11.34000015258789
2016-06-28,11.739999771118164
2016-06-29,12.390000343322754
2016-06-30,12.84000015258789
2016-07-01,12.850000381469727
2016-07-05,12.3100004196167
2016-07-06,12.430000305175781
2016-07-07,12.850000381469727
2016-07-08,13.119999885559082
2016-07-11,13.390000343322754
2016-07-12,13.609999656677246
2016-07-13,13.579999923706055
2016-07-14,13.069999694824219
2016-07-15,13.300000190734863
2016-07-18,13.25
2016-07-19,13.140000343322754
2016-07-20,13.449999809265137
2016-07-21,13.510000228881836
2016-07-22,13.720000267028809
2016-07-25,13.529999732971191
2016-07-26,13.59000015258789
2016-07-27,13.739999771118164
2016-07-28,13.699999809265137
2016-07-29,13.069999694824219
2016-08-01,13.430000305175781
2016-08-02,12.8100004196167
2016-08-03,12.869999885559082
2016-08-04,12.84000015258789
2016-08-05,13.1899995803833
2016-08-08,13.149999618530273
2016-08-09,13.149999618530273
2016-08-10,13.300000190734863
2016-08-11,13.300000190734863
2016-08-12,13.260000228881836
2016-08-15,13.359999656677246
2016-08-16,13.180000305175781
2016-08-17,13.020000457763672
2016-08-18,13.029999732971191
2016-08-19,12.84000015258789
2016-08-22,12.829999923706055
2016-08-23,13.119999885559082
2016-08-24,12.920000076293945
2016-08-25,12.779999732971191
2016-08-26,12.479999542236328
2016-08-29,12.949999809265137
2016-08-30,13.130000114440918
2016-08-31,12.890000343322754
2016-09-01,12.720000267028809
2016-09-02,12.869999885559082
2016-09-06,12.930000305175781
2016-09-07,13.119999885559082
2016-09-08,13.239999771118164
2016-09-09,12.75
2016-09-12,12.930000305175781
2016-09-13,12.789999961853027
2016-09-14,12.8100004196167
2016-09-15,13.149999618530273
2016-09-16,13.1899995803833
2016-09-19,13.350000381469727
2016-09-20,13.270000457763672
2016-09-21,13.380000114440918
2016-09-22,13.5
2016-09-23,13.220000267028809
2016-09-26,13.09000015258789
2016-09-27,13.039999961853027
2016-09-28,13.210000038146973
2016-09-29,13.130000114440918
2016-09-30,12.8100004196167
2016-10-03,12.489999771118164
2016-10-04,12.149999618530273
2016-10-05,12.630000114440918
2016-10-06,12.65999984741211
2016-10-07,11.720000267028809
2016-10-10,11.710000038146973
2016-10-11,11.369999885559082
2016-10-12,11.079999923706055
2016-10-13,10.729999542236328
2016-10-14,10.75
2016-10-17,10.6899995803833
2016-10-18,10.880000114440918
2016-10-19,10.449999809265137
2016-10-20,10.350000381469727
2016-10-21,10.329999923706055
2016-10-24,10.359999656677246
2016-10-25,10.579999923706055
2016-10-26,10.550000190734863
2016-10-27,10.199999809265137
2016-10-28,9.989999771118164
2016-10-31,10.399999618530273
2016-11-01,10.029999732971191
2016-11-02,9.65999984741211
2016-11-03,9.59000015258789
2016-11-04,9.520000457763672
2016-11-07,9.739999771118164
2016-11-08,9.619999885559082
2016-11-09,10.420000076293945
2016-11-10,10.630000114440918
2016-11-11,10.880000114440918
2016-11-14,11.1899995803833
2016-11-15,11.149999618530273
2016-11-16,11.0
2016-11-17,11.229999542236328
2016-11-18,11.399999618530273
2016-11-21,11.470000267028809
2016-11-22,11.569999694824219
2016-11-23,11.630000114440918
2016-11-25,11.569999694824219
2016-11-28,11.550000190734863
2016-11-29,11.399999618530273
2016-11-30,11.5
2016-12-01,11.680000305175781
2016-12-02,11.550000190734863
2016-12-05,11.779999732971191
2016-12-06,11.979999542236328
2016-12-07,12.75
2016-12-08,10.550000190734863
2016-12-09,11.079999923706055
2016-12-12,11.40999984741211
2016-12-13,11.479999542236328
2016-12-14,11.220000267028809
2016-12-15,11.430000305175781
2016-12-16,11.510000228881836
2016-12-19,11.989999771118164
2016-12-20,12.479999542236328
2016-12-21,11.979999542236328
2016-12-22,11.65999984741211
2016-12-23,11.6899995803833
2016-12-27,11.649999618530273
2016-12-28,11.800000190734863
2016-12-29,12.09000015258789
2016-12-30,11.850000381469727
2017-01-03,11.869999885559082
2017-01-04,12.449999809265137
2017-01-05,12.069999694824219
2017-01-06,11.9399995803833
2017-01-09,11.579999923706055
2017-01-10,11.569999694824219
2017-01-11,11.640000343322754
2017-01-12,11.329999923706055
2017-01-13,11.369999885559082
2017-01-17,10.930000305175781
2017-01-18,10.779999732971191
2017-01-19,10.859999656677246
2017-01-20,10.84000015258789
2017-01-23,10.649999618530273
2017-01-24,10.869999885559082
2017-01-25,11.0
2017-01-26,10.920000076293945
2017-01-27,10.84000015258789
2017-01-30,10.65999984741211
2017-01-31,10.729999542236328
2017-02-01,10.850000381469727
2017-02-02,10.8100004196167
2017-02-03,11.09000015258789
2017-02-06,11.069999694824219
2017-02-07,10.920000076293945
2017-02-08,10.710000038146973
2017-02-09,10.680000305175781
2017-02-10,10.789999961853027
2017-02-13,10.979999542236328
2017-02-14,11.039999961853027
2017-02-15,11.149999618530273
2017-02-16,11.65999984741211
2017-02-17,11.619999885559082
2017-02-21,12.069999694824219
2017-02-22,11.649999618530273
2017-02-23,11.25
2017-02-24,11.520000457763672
2017-02-27,11.779999732971191
2017-02-28,11.40999984741211
2017-03-01,11.5
2017-03-02,11.699999809265137
2017-03-03,11.430000305175781
2017-03-06,11.1899995803833
2017-03-07,11.039999961853027
2017-03-08,11.130000114440918
2017-03-09,13.779999732971191
2017-03-10,14.350000381469727
2017-03-13,14.1899995803833
2017-03-14,14.369999885559082
2017-03-15,14.569999694824219
2017-03-16,15.039999961853027
2017-03-17,14.90999984741211
2017-03-20,14.890000343322754
2017-03-21,14.75
2017-03-22,14.640000343322754
2017-03-23,14.729999542236328
2017-03-24,14.550000190734863
2017-03-27,14.680000305175781
2017-03-28,14.520000457763672
2017-03-29,14.609999656677246
2017-03-30,15.0
2017-03-31,14.739999771118164
2017-04-03,14.420000076293945
