,FDNI
2019-12-26,24.489999771118164
2019-12-27,24.790000915527344
2019-12-30,24.520000457763672
2019-12-31,24.540000915527344
2020-01-02,25.190000534057617
2020-01-03,24.950000762939453
2020-01-06,25.010000228881836
2020-01-07,25.290000915527344
2020-01-08,25.360000610351562
2020-01-09,25.59000015258789
2020-01-10,25.84000015258789
2020-01-13,26.290000915527344
2020-01-14,26.079999923706055
2020-01-15,26.100000381469727
2020-01-16,26.15999984741211
2020-01-17,26.229999542236328
2020-01-21,25.760000228881836
2020-01-22,25.8700008392334
2020-01-23,25.579999923706055
2020-01-24,25.469999313354492
2020-01-27,24.700000762939453
2020-01-28,24.950000762939453
2020-01-29,25.329999923706055
2020-01-30,25.200000762939453
2020-01-31,24.770000457763672
2020-02-03,24.770000457763672
2020-02-04,25.8799991607666
2020-02-05,25.75
2020-02-06,26.020000457763672
2020-02-07,25.670000076293945
2020-02-10,25.649999618530273
2020-02-11,26.170000076293945
2020-02-12,26.68000030517578
2020-02-13,26.459999084472656
2020-02-14,26.389999389648438
2020-02-18,26.809999465942383
2020-02-19,26.549999237060547
2020-02-20,26.170000076293945
2020-02-21,26.049999237060547
2020-02-24,25.079999923706055
2020-02-25,25.020000457763672
2020-02-26,25.040000915527344
2020-02-27,24.520000457763672
2020-02-28,24.059999465942383
2020-03-02,24.709999084472656
2020-03-03,24.690000534057617
2020-03-04,25.149999618530273
2020-03-05,25.329999923706055
2020-03-06,24.440000534057617
2020-03-09,23.149999618530273
2020-03-10,23.84000015258789
2020-03-11,23.0
2020-03-12,21.510000228881836
2020-03-13,21.690000534057617
2020-03-16,20.049999237060547
2020-03-17,20.43000030517578
2020-03-18,19.280000686645508
2020-03-19,19.670000076293945
2020-03-20,20.219999313354492
2020-03-23,20.049999237060547
2020-03-24,21.610000610351562
2020-03-25,22.559999465942383
2020-03-26,23.020000457763672
2020-03-27,22.360000610351562
2020-03-30,22.440000534057617
2020-03-31,22.790000915527344
2020-04-01,22.049999237060547
2020-04-02,21.979999542236328
2020-04-03,21.729999542236328
2020-04-06,22.649999618530273
2020-04-07,22.959999084472656
2020-04-08,23.030000686645508
2020-04-09,23.030000686645508
2020-04-13,23.479999542236328
2020-04-14,24.1200008392334
2020-04-15,24.059999465942383
2020-04-16,24.700000762939453
2020-04-17,25.040000915527344
2020-04-20,25.700000762939453
2020-04-21,24.729999542236328
2020-04-22,25.3799991607666
2020-04-23,25.239999771118164
2020-04-24,25.280000686645508
2020-04-27,25.68000030517578
2020-04-28,25.68000030517578
2020-04-29,26.059999465942383
2020-04-30,25.75
2020-05-01,25.030000686645508
2020-05-04,25.1200008392334
2020-05-05,25.559999465942383
2020-05-06,26.239999771118164
2020-05-07,26.56999969482422
2020-05-08,27.149999618530273
2020-05-11,27.579999923706055
2020-05-12,27.709999084472656
2020-05-13,27.959999084472656
2020-05-14,27.989999771118164
2020-05-15,28.079999923706055
2020-05-18,29.06999969482422
2020-05-19,29.1200008392334
2020-05-20,29.700000762939453
2020-05-21,29.549999237060547
2020-05-22,29.200000762939453
2020-05-26,29.65999984741211
2020-05-27,29.049999237060547
2020-05-28,29.0
2020-05-29,29.600000381469727
2020-06-01,31.56999969482422
2020-06-02,30.610000610351562
2020-06-03,31.010000228881836
2020-06-04,30.75
2020-06-05,30.989999771118164
2020-06-08,30.770000457763672
2020-06-09,30.8700008392334
2020-06-10,31.610000610351562
2020-06-11,30.850000381469727
2020-06-12,31.09000015258789
2020-06-15,31.260000228881836
2020-06-16,34.08000183105469
2020-06-17,32.5099983215332
2020-06-18,32.869998931884766
2020-06-19,32.90999984741211
2020-06-22,33.47999954223633
2020-06-23,34.20000076293945
2020-06-24,33.79999923706055
2020-06-25,33.91999816894531
2020-06-26,33.619998931884766
2020-06-29,33.560001373291016
2020-06-30,33.869998931884766
2020-07-01,34.22999954223633
2020-07-02,35.439998626708984
2020-07-06,35.970001220703125
2020-07-07,35.7599983215332
2020-07-08,37.119998931884766
2020-07-09,37.72999954223633
2020-07-10,37.810001373291016
2020-07-13,36.27000045776367
2020-07-14,35.9900016784668
2020-07-15,36.41999816894531
2020-07-16,35.290000915527344
2020-07-17,35.41999816894531
2020-07-20,36.34000015258789
2020-07-21,37.189998626708984
2020-07-22,36.5
2020-07-23,36.27000045776367
2020-07-24,35.290000915527344
2020-07-27,36.130001068115234
2020-07-28,36.0099983215332
2020-07-29,37.08000183105469
2020-07-30,36.54999923706055
2020-07-31,36.630001068115234
2020-08-03,37.810001373291016
2020-08-04,38.380001068115234
2020-08-05,38.84000015258789
2020-08-06,38.810001373291016
2020-08-07,37.47999954223633
2020-08-10,36.970001220703125
2020-08-11,36.400001525878906
2020-08-12,37.34000015258789
2020-08-13,37.099998474121094
2020-08-14,36.91999816894531
2020-08-17,37.81999969482422
2020-08-18,38.2599983215332
2020-08-19,38.22999954223633
2020-08-20,38.540000915527344
2020-08-21,38.880001068115234
2020-08-24,39.75
2020-08-25,40.34000015258789
2020-08-26,40.970001220703125
2020-08-27,40.779998779296875
2020-08-28,40.599998474121094
