,XPP
2017-04-19,54.27000045776367
2017-04-20,55.86000061035156
2017-04-21,55.43000030517578
2017-04-24,56.119998931884766
2017-04-25,57.54999923706055
2017-04-26,57.52000045776367
2017-04-27,57.0
2017-04-28,57.04999923706055
2017-05-01,57.54999923706055
2017-05-02,56.849998474121094
2017-05-03,56.41999816894531
2017-05-04,54.72999954223633
2017-05-05,54.720001220703125
2017-05-08,54.380001068115234
2017-05-09,56.36000061035156
2017-05-10,57.599998474121094
2017-05-11,57.400001525878906
2017-05-12,58.689998626708984
2017-05-15,60.22999954223633
2017-05-16,59.88999938964844
2017-05-17,58.220001220703125
2017-05-18,58.43000030517578
2017-05-19,59.58000183105469
2017-05-22,60.33000183105469
2017-05-23,60.209999084472656
2017-05-24,60.16999816894531
2017-05-25,62.18000030517578
2017-05-26,62.25
2017-05-30,62.400001525878906
2017-05-31,62.0099983215332
2017-06-01,63.0099983215332
2017-06-02,63.040000915527344
2017-06-05,62.349998474121094
2017-06-06,63.060001373291016
2017-06-07,62.5099983215332
2017-06-08,63.209999084472656
2017-06-09,62.0
2017-06-12,60.59000015258789
2017-06-13,61.709999084472656
2017-06-14,60.900001525878906
2017-06-15,59.75
2017-06-16,60.02000045776367
2017-06-19,61.75
2017-06-20,60.34000015258789
2017-06-21,60.119998931884766
2017-06-22,61.13999938964844
2017-06-23,61.2599983215332
2017-06-26,62.59000015258789
2017-06-27,61.41999816894531
2017-06-28,61.95000076293945
2017-06-29,60.630001068115234
2017-06-30,60.939998626708984
2017-07-03,62.13999938964844
2017-07-05,61.47999954223633
2017-07-06,60.25
2017-07-07,60.27000045776367
2017-07-10,60.31999969482422
2017-07-11,62.79999923706055
2017-07-12,65.2300033569336
2017-07-13,65.55000305175781
2017-07-14,67.62000274658203
2017-07-17,67.08999633789062
2017-07-18,66.87999725341797
2017-07-19,68.58000183105469
2017-07-20,68.26000213623047
2017-07-21,68.2300033569336
2017-07-24,68.5999984741211
2017-07-25,68.38999938964844
2017-07-26,69.66000366210938
2017-07-27,69.13999938964844
2017-07-28,69.27999877929688
2017-07-31,69.75
2017-08-01,71.5
2017-08-02,70.86000061035156
2017-08-03,70.62000274658203
2017-08-04,70.75
2017-08-07,71.18000030517578
2017-08-08,72.19999694824219
2017-08-09,71.06999969482422
2017-08-10,66.95999908447266
2017-08-11,67.2699966430664
2017-08-14,68.36000061035156
2017-08-15,68.02999877929688
2017-08-16,70.12999725341797
2017-08-17,67.55000305175781
2017-08-18,67.73999786376953
2017-08-21,69.2300033569336
2017-08-22,71.6500015258789
2017-08-23,72.16000366210938
2017-08-24,72.69000244140625
2017-08-25,75.05000305175781
2017-08-28,75.18000030517578
2017-08-29,75.33000183105469
2017-08-30,75.1500015258789
2017-08-31,75.04000091552734
2017-09-01,75.25
2017-09-05,73.08999633789062
2017-09-06,73.80000305175781
2017-09-07,74.18000030517578
2017-09-08,73.51000213623047
2017-09-11,75.9800033569336
2017-09-12,75.55000305175781
2017-09-13,74.87000274658203
