,CELH
2013-09-11,0.49000000953674316
2013-09-12,0.5299999713897705
2013-09-13,0.5400000214576721
2013-09-16,0.5400000214576721
2013-09-17,0.49000000953674316
2013-09-18,0.550000011920929
2013-09-19,0.5099999904632568
2013-09-20,0.49000000953674316
2013-09-23,0.49000000953674316
2013-09-24,0.4000000059604645
2013-09-25,0.41999998688697815
2013-09-26,0.41999998688697815
2013-09-27,0.44999998807907104
2013-09-30,0.5199999809265137
2013-10-01,0.44999998807907104
2013-10-02,0.5
2013-10-03,0.4699999988079071
2013-10-04,0.44999998807907104
2013-10-07,0.5
2013-10-08,0.4300000071525574
2013-10-09,0.5
2013-10-10,0.4099999964237213
2013-10-11,0.4399999976158142
2013-10-14,0.4399999976158142
2013-10-15,0.4300000071525574
2013-10-16,0.4000000059604645
2013-10-17,0.4099999964237213
2013-10-18,0.5
2013-10-21,0.4000000059604645
2013-10-22,0.4000000059604645
2013-10-23,0.4099999964237213
2013-10-24,0.4099999964237213
2013-10-25,0.44999998807907104
2013-10-28,0.4099999964237213
2013-10-29,0.4099999964237213
2013-10-30,0.44999998807907104
2013-10-31,0.4000000059604645
2013-11-01,0.3700000047683716
2013-11-04,0.3499999940395355
2013-11-05,0.44999998807907104
2013-11-06,0.36000001430511475
2013-11-07,0.44999998807907104
2013-11-08,0.44999998807907104
2013-11-11,0.44999998807907104
2013-11-12,0.36000001430511475
2013-11-13,0.4000000059604645
2013-11-14,0.4399999976158142
2013-11-15,0.4399999976158142
2013-11-18,0.36000001430511475
2013-11-19,0.49000000953674316
2013-11-20,0.3700000047683716
2013-11-21,0.36000001430511475
2013-11-22,0.36000001430511475
2013-11-25,0.36000001430511475
2013-11-26,0.36000001430511475
2013-11-27,0.44999998807907104
2013-11-29,0.4699999988079071
2013-12-02,0.49000000953674316
2013-12-03,0.44999998807907104
2013-12-04,0.44999998807907104
2013-12-05,0.3700000047683716
2013-12-06,0.3799999952316284
2013-12-09,0.4300000071525574
2013-12-10,0.4699999988079071
2013-12-11,0.3799999952316284
2013-12-12,0.3100000023841858
2013-12-13,0.3700000047683716
2013-12-16,0.3499999940395355
2013-12-17,0.3199999928474426
2013-12-18,0.33000001311302185
2013-12-19,0.3499999940395355
2013-12-20,0.36000001430511475
2013-12-23,0.38999998569488525
2013-12-24,0.3400000035762787
2013-12-26,0.3400000035762787
2013-12-27,0.3400000035762787
2013-12-30,0.33000001311302185
2013-12-31,0.3400000035762787
2014-01-02,0.3499999940395355
2014-01-03,0.3700000047683716
2014-01-06,0.3700000047683716
2014-01-07,0.41999998688697815
2014-01-08,0.3799999952316284
2014-01-09,0.3799999952316284
2014-01-10,0.4000000059604645
2014-01-13,0.3400000035762787
2014-01-14,0.3700000047683716
2014-01-15,0.4000000059604645
2014-01-16,0.4000000059604645
2014-01-17,0.3700000047683716
2014-01-21,0.3799999952316284
2014-01-22,0.3700000047683716
2014-01-23,0.3700000047683716
