,CCNC
2016-11-08,4.934999942779541
2016-11-09,4.934999942779541
2016-11-10,4.934999942779541
2016-11-11,4.934999942779541
2016-11-14,4.934999942779541
2016-11-15,4.934999942779541
2016-11-16,4.934999942779541
2016-11-17,4.934999942779541
2016-11-18,4.934999942779541
2016-11-21,4.934999942779541
2016-11-22,4.934999942779541
2016-11-23,4.934999942779541
2016-11-25,4.934999942779541
2016-11-28,4.934999942779541
2016-11-29,4.934999942779541
2016-11-30,4.934999942779541
2016-12-01,4.934999942779541
2016-12-02,4.934999942779541
2016-12-05,4.934999942779541
2016-12-06,4.934999942779541
2016-12-07,4.934999942779541
2016-12-08,4.934999942779541
2016-12-09,4.934999942779541
2016-12-12,4.934999942779541
2016-12-13,4.934999942779541
2016-12-14,4.934999942779541
2016-12-15,4.934999942779541
2016-12-16,4.934999942779541
2016-12-19,4.925000190734863
2016-12-20,4.925000190734863
2016-12-21,4.929999828338623
2016-12-22,4.925000190734863
2016-12-23,4.925000190734863
2016-12-27,4.925000190734863
2016-12-28,4.925000190734863
2016-12-29,4.925000190734863
2016-12-30,4.925000190734863
2017-01-03,4.925000190734863
2017-01-04,4.925000190734863
2017-01-05,4.925000190734863
2017-01-06,4.925000190734863
2017-01-09,4.925000190734863
2017-01-10,4.925000190734863
2017-01-11,4.925000190734863
2017-01-12,4.925000190734863
2017-01-13,4.960000038146973
2017-01-17,4.960000038146973
2017-01-18,4.960000038146973
2017-01-19,4.960000038146973
2017-01-20,4.960000038146973
2017-01-23,4.960000038146973
2017-01-24,4.960000038146973
2017-01-25,4.960000038146973
2017-01-26,4.960000038146973
2017-01-27,4.960000038146973
2017-01-30,4.960000038146973
2017-01-31,4.960000038146973
2017-02-01,4.960000038146973
2017-02-02,4.960000038146973
2017-02-03,4.960000038146973
2017-02-06,4.960000038146973
2017-02-07,4.960000038146973
2017-02-08,4.960000038146973
2017-02-09,4.960000038146973
2017-02-10,4.960000038146973
2017-02-13,4.960000038146973
2017-02-14,4.960000038146973
2017-02-15,4.960000038146973
2017-02-16,4.960000038146973
2017-02-17,4.960000038146973
2017-02-21,4.960000038146973
2017-02-22,4.960000038146973
2017-02-23,4.960000038146973
2017-02-24,4.960000038146973
2017-02-27,4.960000038146973
2017-02-28,4.960000038146973
2017-03-01,4.960000038146973
2017-03-02,4.960000038146973
2017-03-03,4.960000038146973
2017-03-06,4.980000019073486
2017-03-07,4.980000019073486
2017-03-08,4.974999904632568
2017-03-09,4.974999904632568
2017-03-10,4.974999904632568
2017-03-13,4.974999904632568
2017-03-14,4.974999904632568
2017-03-15,4.974999904632568
2017-03-16,4.974999904632568
2017-03-17,4.974999904632568
2017-03-20,5.025000095367432
2017-03-21,5.025000095367432
2017-03-22,5.025000095367432
2017-03-23,5.025000095367432
2017-03-24,4.980000019073486
2017-03-27,4.980000019073486
2017-03-28,4.980000019073486
2017-03-29,4.980000019073486
2017-03-30,4.980000019073486
2017-03-31,4.980000019073486
2017-04-03,4.980000019073486
2017-04-04,4.980000019073486
2017-04-05,4.980000019073486
2017-04-06,4.980000019073486
2017-04-07,4.980000019073486
2017-04-10,4.980000019073486
2017-04-11,5.0
2017-04-12,5.0
2017-04-13,5.0
2017-04-17,4.989999771118164
2017-04-18,4.989999771118164
2017-04-19,4.989999771118164
2017-04-20,4.989999771118164
