,ESGD
2017-09-15,65.63999938964844
2017-09-18,65.86000061035156
2017-09-19,66.2030029296875
2017-09-20,66.0199966430664
2017-09-21,66.05999755859375
2017-09-22,66.09500122070312
2017-09-25,65.76000213623047
2017-09-26,65.53500366210938
2017-09-27,65.69000244140625
2017-09-28,65.81999969482422
2017-09-29,66.25
2017-10-02,66.19999694824219
2017-10-03,66.37000274658203
2017-10-04,66.30000305175781
2017-10-05,66.25
2017-10-06,66.06999969482422
2017-10-09,66.19999694824219
2017-10-10,66.75
2017-10-11,67.05999755859375
2017-10-12,66.98999786376953
2017-10-13,67.33999633789062
2017-10-16,67.25499725341797
2017-10-17,67.10399627685547
2017-10-18,67.27400207519531
2017-10-19,67.1050033569336
2017-10-20,67.0999984741211
2017-10-23,66.94000244140625
2017-10-24,67.06999969482422
2017-10-25,66.77999877929688
2017-10-26,66.79499816894531
2017-10-27,66.91999816894531
2017-10-30,67.16000366210938
2017-10-31,67.41999816894531
2017-11-01,67.56999969482422
2017-11-02,67.66000366210938
2017-11-03,67.54000091552734
2017-11-06,67.70999908447266
2017-11-07,67.41999816894531
2017-11-08,67.6449966430664
2017-11-09,67.23999786376953
2017-11-10,67.01499938964844
2017-11-13,66.69499969482422
2017-11-14,66.72000122070312
2017-11-15,66.30000305175781
2017-11-16,66.91500091552734
2017-11-17,66.69999694824219
2017-11-20,66.83999633789062
2017-11-21,67.1500015258789
2017-11-22,67.47000122070312
2017-11-24,67.9749984741211
2017-11-27,67.6500015258789
2017-11-28,67.91000366210938
2017-11-29,67.69999694824219
2017-11-30,67.79000091552734
2017-12-01,67.60600280761719
2017-12-04,67.33899688720703
2017-12-05,67.2300033569336
2017-12-06,67.0
2017-12-07,67.12699890136719
2017-12-08,67.35600280761719
2017-12-11,67.55000305175781
2017-12-12,67.62000274658203
2017-12-13,67.97000122070312
2017-12-14,67.52999877929688
2017-12-15,67.38999938964844
2017-12-18,68.31999969482422
2017-12-19,67.3499984741211
2017-12-20,67.16699981689453
