,APEN
2012-01-05,636.02001953125
2012-01-06,641.4099731445312
2012-01-09,636.02001953125
2012-01-10,641.4099731445312
2012-01-11,630.6300048828125
2012-01-12,641.4099731445312
2012-01-13,641.4099731445312
2012-01-17,641.4099731445312
2012-01-18,636.02001953125
2012-01-19,641.4099731445312
2012-01-20,668.3599853515625
2012-01-23,738.4299926757812
2012-01-24,700.7000122070312
2012-01-25,711.47998046875
2012-01-26,695.3099975585938
2012-01-27,533.6099853515625
2012-01-30,512.0499877929688
2012-01-31,495.8800048828125
2012-02-01,490.489990234375
2012-02-02,485.1000061035156
2012-02-03,522.8300170898438
2012-02-06,533.6099853515625
2012-02-07,539.0
2012-02-08,544.3900146484375
2012-02-09,517.4400024414062
2012-02-10,512.0499877929688
2012-02-13,490.489990234375
2012-02-14,474.32000732421875
2012-02-15,474.32000732421875
2012-02-16,495.8800048828125
2012-02-17,528.219970703125
2012-02-21,495.8800048828125
2012-02-22,452.760009765625
2012-02-23,490.489990234375
2012-02-24,490.489990234375
2012-02-27,485.1000061035156
2012-02-28,490.489990234375
2012-02-29,522.8300170898438
2012-03-01,517.4400024414062
2012-03-02,506.6600036621094
2012-03-05,528.219970703125
2012-03-06,415.0299987792969
2012-03-07,420.4200134277344
2012-03-08,415.0299987792969
2012-03-09,404.25
2012-03-12,415.0299987792969
2012-03-13,404.25
2012-03-14,409.6400146484375
2012-03-15,404.25
2012-03-16,420.4200134277344
2012-03-19,431.20001220703125
2012-03-20,420.4200134277344
2012-03-21,425.80999755859375
2012-03-22,420.4200134277344
2012-03-23,409.6400146484375
2012-03-26,425.80999755859375
2012-03-27,420.4200134277344
2012-03-28,409.6400146484375
2012-03-29,409.6400146484375
2012-03-30,415.0299987792969
2012-04-02,415.0299987792969
2012-04-03,409.6400146484375
2012-04-04,409.6400146484375
2012-04-05,415.0299987792969
2012-04-09,415.0299987792969
2012-04-10,415.0299987792969
2012-04-11,420.4200134277344
2012-04-12,468.92999267578125
2012-04-13,436.5899963378906
2012-04-16,431.20001220703125
2012-04-17,431.20001220703125
2012-04-18,452.760009765625
2012-04-19,436.5899963378906
2012-04-20,436.5899963378906
2012-04-23,447.3699951171875
2012-04-24,431.20001220703125
2012-04-25,436.5899963378906
2012-04-26,468.92999267578125
2012-04-27,458.1499938964844
2012-04-30,463.5400085449219
2012-05-01,479.7099914550781
2012-05-02,485.1000061035156
2012-05-03,479.7099914550781
2012-05-04,485.1000061035156
2012-05-07,490.489990234375
2012-05-08,479.7099914550781
2012-05-09,474.32000732421875
2012-05-10,468.92999267578125
2012-05-11,479.7099914550781
2012-05-14,458.1499938964844
2012-05-15,425.80999755859375
2012-05-16,431.20001220703125
2012-05-17,415.0299987792969
2012-05-18,393.4700012207031
2012-05-21,398.8599853515625
2012-05-22,393.4700012207031
2012-05-23,415.0299987792969
2012-05-24,398.8599853515625
2012-05-25,398.8599853515625
2012-05-29,409.6400146484375
2012-05-30,393.4700012207031
2012-05-31,404.25
2012-06-01,404.25
2012-06-04,398.8599853515625
2012-06-05,404.25
2012-06-06,377.29998779296875
2012-06-07,393.4700012207031
2012-06-08,393.4700012207031
2012-06-11,393.4700012207031
2012-06-12,382.69000244140625
2012-06-13,366.5199890136719
2012-06-14,366.5199890136719
2012-06-15,371.9100036621094
2012-06-18,371.9100036621094
2012-06-19,441.9800109863281
2012-06-20,447.3699951171875
2012-06-21,447.3699951171875
2012-06-22,441.9800109863281
2012-06-25,420.4200134277344
2012-06-26,409.6400146484375
2012-06-27,398.8599853515625
