,AMRK
2017-01-03,19.31999969482422
2017-01-04,19.06999969482422
2017-01-05,19.469999313354492
2017-01-06,19.25
2017-01-09,19.520000457763672
2017-01-10,19.700000762939453
2017-01-11,19.600000381469727
2017-01-12,19.600000381469727
2017-01-13,19.350000381469727
2017-01-17,19.600000381469727
2017-01-18,19.170000076293945
2017-01-19,19.110000610351562
2017-01-20,19.030000686645508
2017-01-23,19.329999923706055
2017-01-24,18.8700008392334
2017-01-25,19.239999771118164
2017-01-26,19.100000381469727
2017-01-27,19.100000381469727
2017-01-30,19.100000381469727
2017-01-31,18.969999313354492
2017-02-01,18.700000762939453
2017-02-02,18.709999084472656
2017-02-03,18.649999618530273
2017-02-06,18.399999618530273
2017-02-07,18.5
2017-02-08,19.6299991607666
2017-02-09,20.780000686645508
2017-02-10,21.270000457763672
2017-02-13,21.489999771118164
2017-02-14,21.239999771118164
2017-02-15,21.389999389648438
2017-02-16,20.690000534057617
2017-02-17,20.75
2017-02-21,20.420000076293945
2017-02-22,19.729999542236328
2017-02-23,19.8799991607666
2017-02-24,19.219999313354492
2017-02-27,19.290000915527344
2017-02-28,18.65999984741211
2017-03-01,18.829999923706055
2017-03-02,18.690000534057617
2017-03-03,18.889999389648438
2017-03-06,18.75
2017-03-07,18.809999465942383
2017-03-08,18.739999771118164
2017-03-09,18.399999618530273
2017-03-10,18.190000534057617
2017-03-13,18.219999313354492
2017-03-14,18.329999923706055
2017-03-15,18.450000762939453
2017-03-16,18.239999771118164
2017-03-17,18.790000915527344
2017-03-20,18.639999389648438
2017-03-21,17.809999465942383
2017-03-22,17.389999389648438
2017-03-23,17.450000762939453
2017-03-24,17.420000076293945
2017-03-27,17.229999542236328
2017-03-28,17.200000762939453
2017-03-29,17.459999084472656
2017-03-30,17.149999618530273
2017-03-31,17.079999923706055
2017-04-03,17.389999389648438
2017-04-04,17.610000610351562
2017-04-05,17.719999313354492
2017-04-06,18.010000228881836
2017-04-07,17.989999771118164
2017-04-10,17.979999542236328
2017-04-11,17.709999084472656
2017-04-12,17.399999618530273
2017-04-13,17.559999465942383
2017-04-17,17.299999237060547
2017-04-18,17.219999313354492
2017-04-19,17.329999923706055
2017-04-20,17.149999618530273
2017-04-21,17.030000686645508
2017-04-24,17.139999389648438
2017-04-25,17.31999969482422
2017-04-26,17.75
2017-04-27,17.8700008392334
2017-04-28,17.549999237060547
2017-05-01,17.3700008392334
2017-05-02,17.299999237060547
2017-05-03,17.739999771118164
2017-05-04,17.260000228881836
2017-05-05,17.06999969482422
2017-05-08,17.0049991607666
2017-05-09,16.969999313354492
2017-05-10,15.149999618530273
2017-05-11,16.049999237060547
2017-05-12,15.399999618530273
2017-05-15,15.510000228881836
2017-05-16,15.539999961853027
2017-05-17,15.699999809265137
2017-05-18,16.34000015258789
2017-05-19,17.0
