,FDM
2011-06-24,21.8700008392334
2011-06-27,22.149999618530273
2011-06-28,22.469999313354492
2011-06-29,22.530000686645508
2011-06-30,22.850000381469727
2011-07-01,23.139999389648438
2011-07-05,23.15999984741211
2011-07-06,23.290000915527344
2011-07-07,23.670000076293945
2011-07-08,23.579999923706055
2011-07-11,23.040000915527344
2011-07-12,22.93000030517578
2011-07-13,23.18000030517578
2011-07-14,22.799999237060547
2011-07-15,23.030000686645508
2011-07-18,22.729999542236328
2011-07-19,23.239999771118164
2011-07-20,23.170000076293945
2011-07-21,23.3799991607666
2011-07-22,23.25
2011-07-25,22.93000030517578
2011-07-26,22.670000076293945
2011-07-27,22.040000915527344
2011-07-28,22.059999465942383
2011-07-29,22.06999969482422
2011-08-01,21.940000534057617
2011-08-02,21.239999771118164
2011-08-03,21.469999313354492
2011-08-04,20.170000076293945
2011-08-05,19.8799991607666
2011-08-08,17.969999313354492
2011-08-09,19.350000381469727
2011-08-10,18.200000762939453
2011-08-11,19.020000457763672
2011-08-12,18.989999771118164
2011-08-15,19.540000915527344
2011-08-16,19.110000610351562
2011-08-17,19.100000381469727
2011-08-18,18.049999237060547
2011-08-19,17.530000686645508
2011-08-22,17.399999618530273
2011-08-23,18.40999984741211
2011-08-24,18.639999389648438
2011-08-25,18.079999923706055
2011-08-26,18.520000457763672
2011-08-29,19.40999984741211
2011-08-30,19.5
2011-08-31,19.34000015258789
2011-09-01,18.809999465942383
2011-09-02,18.040000915527344
2011-09-06,17.969999313354492
2011-09-07,18.670000076293945
2011-09-08,18.219999313354492
2011-09-09,17.729999542236328
2011-09-12,17.84000015258789
2011-09-13,18.18000030517578
2011-09-14,18.56999969482422
2011-09-15,18.780000686645508
2011-09-16,18.81999969482422
2011-09-19,18.510000228881836
2011-09-20,18.0
2011-09-21,17.31999969482422
2011-09-22,16.979999542236328
2011-09-23,17.170000076293945
2011-09-26,17.520000457763672
2011-09-27,17.920000076293945
2011-09-28,17.170000076293945
2011-09-29,17.299999237060547
2011-09-30,17.139999389648438
2011-10-03,16.170000076293945
2011-10-04,17.530000686645508
2011-10-05,17.700000762939453
2011-10-06,17.989999771118164
2011-10-07,17.6299991607666
2011-10-10,18.270000457763672
2011-10-11,18.520000457763672
2011-10-12,18.979999542236328
2011-10-13,18.809999465942383
2011-10-14,19.25
2011-10-17,18.540000915527344
2011-10-18,19.1299991607666
2011-10-19,18.719999313354492
2011-10-20,18.739999771118164
2011-10-21,19.219999313354492
2011-10-24,19.780000686645508
2011-10-25,19.139999389648438
2011-10-26,19.649999618530273
2011-10-27,20.850000381469727
2011-10-28,20.729999542236328
2011-10-31,20.270000457763672
