,CHRW
2001-11-12,14.140000343322754
2001-11-13,14.130000114440918
2001-11-14,14.739999771118164
2001-11-15,14.4350004196167
2001-11-16,14.5600004196167
2001-11-19,14.975000381469727
2001-11-20,14.550000190734863
2001-11-21,14.725000381469727
2001-11-23,14.795000076293945
2001-11-26,14.404999732971191
2001-11-27,14.265000343322754
2001-11-28,14.010000228881836
2001-11-29,14.135000228881836
2001-11-30,13.895000457763672
2001-12-03,13.774999618530273
2001-12-04,13.710000038146973
2001-12-05,13.970000267028809
2001-12-06,14.359999656677246
2001-12-07,14.444999694824219
2001-12-10,13.90999984741211
2001-12-11,13.444999694824219
2001-12-12,13.229999542236328
2001-12-13,13.34000015258789
2001-12-14,13.414999961853027
2001-12-17,13.789999961853027
2001-12-18,14.289999961853027
2001-12-19,14.375
2001-12-20,14.369999885559082
2001-12-21,14.404999732971191
2001-12-24,14.720000267028809
2001-12-26,15.0600004196167
2001-12-27,14.970000267028809
2001-12-28,14.9350004196167
2001-12-31,14.460000038146973
2002-01-02,14.390000343322754
2002-01-03,14.385000228881836
2002-01-04,14.675000190734863
2002-01-07,14.845000267028809
2002-01-08,15.024999618530273
2002-01-09,14.699999809265137
2002-01-10,14.850000381469727
2002-01-11,14.649999618530273
2002-01-14,14.255000114440918
2002-01-15,14.329999923706055
2002-01-16,14.28499984741211
2002-01-17,14.864999771118164
2002-01-18,14.800000190734863
2002-01-22,14.8100004196167
2002-01-23,15.005000114440918
2002-01-24,15.25
2002-01-25,15.350000381469727
2002-01-28,15.5
2002-01-29,15.449999809265137
2002-01-30,15.805000305175781
2002-01-31,15.515000343322754
2002-02-01,15.454999923706055
2002-02-04,15.109999656677246
2002-02-05,15.194999694824219
2002-02-06,14.305000305175781
2002-02-07,14.324999809265137
2002-02-08,14.720000267028809
2002-02-11,14.739999771118164
2002-02-12,14.699999809265137
2002-02-13,14.75
2002-02-14,14.630000114440918
2002-02-15,14.625
2002-02-19,14.34000015258789
2002-02-20,14.65999984741211
2002-02-21,14.255000114440918
2002-02-22,14.359999656677246
