,ACWX
2012-09-18,40.540000915527344
2012-09-19,40.650001525878906
2012-09-20,40.400001525878906
2012-09-21,40.40999984741211
2012-09-24,40.310001373291016
2012-09-25,39.91999816894531
2012-09-26,39.599998474121094
2012-09-27,40.08000183105469
2012-09-28,39.38999938964844
2012-10-01,39.79999923706055
2012-10-02,39.939998626708984
2012-10-03,39.75
2012-10-04,40.189998626708984
2012-10-05,40.25
2012-10-08,39.7599983215332
2012-10-09,39.33000183105469
2012-10-10,39.119998931884766
2012-10-11,39.41999816894531
2012-10-12,39.33000183105469
2012-10-15,39.619998931884766
2012-10-16,40.18000030517578
2012-10-17,40.619998931884766
2012-10-18,40.439998626708984
2012-10-19,39.91999816894531
2012-10-22,40.27000045776367
2012-10-23,39.45000076293945
2012-10-24,39.459999084472656
2012-10-25,39.7599983215332
2012-10-26,39.58000183105469
2012-10-31,39.63999938964844
2012-11-01,40.099998474121094
2012-11-02,39.75
2012-11-05,39.75
2012-11-06,40.099998474121094
2012-11-07,39.45000076293945
2012-11-08,39.11000061035156
2012-11-09,39.09000015258789
2012-11-12,39.119998931884766
2012-11-13,38.900001525878906
2012-11-14,38.45000076293945
2012-11-15,38.560001373291016
2012-11-16,38.59000015258789
2012-11-19,39.36000061035156
2012-11-20,39.400001525878906
2012-11-21,39.5099983215332
2012-11-23,40.290000915527344
2012-11-26,40.150001525878906
2012-11-27,39.95000076293945
2012-11-28,40.27000045776367
2012-11-29,40.59000015258789
2012-11-30,40.59000015258789
2012-12-03,40.58000183105469
2012-12-04,40.689998626708984
2012-12-05,40.869998931884766
2012-12-06,40.970001220703125
2012-12-07,40.93000030517578
2012-12-10,41.08000183105469
2012-12-11,41.27000045776367
2012-12-12,41.5
2012-12-13,41.369998931884766
2012-12-14,41.52000045776367
2012-12-17,41.68000030517578
2012-12-18,41.61000061035156
2012-12-19,41.72999954223633
2012-12-20,41.959999084472656
2012-12-21,41.63999938964844
2012-12-24,41.4900016784668
2012-12-26,41.56999969482422
2012-12-27,41.63999938964844
2012-12-28,41.380001068115234
2012-12-31,41.880001068115234
2013-01-02,42.63999938964844
2013-01-03,42.2599983215332
2013-01-04,42.4900016784668
2013-01-07,42.20000076293945
2013-01-08,41.91999816894531
2013-01-09,42.189998626708984
2013-01-10,42.66999816894531
2013-01-11,42.70000076293945
2013-01-14,42.790000915527344
2013-01-15,42.720001220703125
2013-01-16,42.529998779296875
2013-01-17,42.810001373291016
2013-01-18,42.869998931884766
2013-01-22,42.91999816894531
2013-01-23,42.790000915527344
2013-01-24,42.849998474121094
2013-01-25,43.18000030517578
2013-01-28,42.90999984741211
2013-01-29,43.310001373291016
2013-01-30,43.279998779296875
2013-01-31,43.060001373291016
2013-02-01,43.4900016784668
2013-02-04,42.75
2013-02-05,42.95000076293945
2013-02-06,42.970001220703125
2013-02-07,42.66999816894531
2013-02-08,42.880001068115234
2013-02-11,42.84000015258789
2013-02-12,43.02000045776367
2013-02-13,43.15999984741211
2013-02-14,42.959999084472656
2013-02-15,42.86000061035156
2013-02-19,43.2400016784668
2013-02-20,42.779998779296875
2013-02-21,42.22999954223633
2013-02-22,42.70000076293945
2013-02-25,41.810001373291016
2013-02-26,42.06999969482422
2013-02-27,42.630001068115234
2013-02-28,42.54999923706055
2013-03-01,42.58000183105469
2013-03-04,42.560001373291016
2013-03-05,43.0
2013-03-06,43.08000183105469
2013-03-07,43.209999084472656
2013-03-08,43.310001373291016
2013-03-11,43.400001525878906
2013-03-12,43.15999984741211
2013-03-13,43.02000045776367
2013-03-14,43.41999816894531
2013-03-15,43.38999938964844
2013-03-18,42.90999984741211
2013-03-19,42.75
2013-03-20,42.9900016784668
2013-03-21,42.650001525878906
2013-03-22,42.880001068115234
2013-03-25,42.5099983215332
2013-03-26,42.79999923706055
2013-03-27,42.65999984741211
2013-03-28,42.86000061035156
2013-04-01,42.41999816894531
2013-04-02,42.720001220703125
2013-04-03,42.31999969482422
2013-04-04,42.5
2013-04-05,42.33000183105469
2013-04-08,42.38999938964844
2013-04-09,42.650001525878906
2013-04-10,43.279998779296875
2013-04-11,43.47999954223633
2013-04-12,43.2599983215332
2013-04-15,42.290000915527344
2013-04-16,42.95000076293945
2013-04-17,42.130001068115234
2013-04-18,42.09000015258789
2013-04-19,42.45000076293945
2013-04-22,42.58000183105469
2013-04-23,43.02000045776367
2013-04-24,43.40999984741211
2013-04-25,43.63999938964844
2013-04-26,43.61000061035156
2013-04-29,44.189998626708984
2013-04-30,44.36000061035156
2013-05-01,44.029998779296875
2013-05-02,44.189998626708984
2013-05-03,44.61000061035156
2013-05-06,44.58000183105469
2013-05-07,44.79999923706055
2013-05-08,45.2400016784668
2013-05-09,44.88999938964844
2013-05-10,44.84000015258789
2013-05-13,44.77000045776367
2013-05-14,44.900001525878906
2013-05-15,44.9900016784668
2013-05-16,44.70000076293945
2013-05-17,44.97999954223633
2013-05-20,45.220001220703125
2013-05-21,45.310001373291016
2013-05-22,44.79999923706055
2013-05-23,44.349998474121094
2013-05-24,43.9900016784668
2013-05-28,44.11000061035156
2013-05-29,43.68000030517578
2013-05-30,43.86000061035156
2013-05-31,43.0
2013-06-03,43.279998779296875
2013-06-04,43.09000015258789
2013-06-05,42.369998931884766
2013-06-06,42.560001373291016
2013-06-07,42.91999816894531
2013-06-10,42.88999938964844
2013-06-11,42.27000045776367
2013-06-12,42.189998626708984
2013-06-13,42.83000183105469
2013-06-14,42.31999969482422
2013-06-17,42.959999084472656
2013-06-18,43.11000061035156
2013-06-19,42.2400016784668
2013-06-20,40.63999938964844
2013-06-21,40.84000015258789
2013-06-24,40.060001373291016
2013-06-25,40.59000015258789
2013-06-26,40.88999938964844
2013-06-27,40.68000030517578
2013-06-28,40.709999084472656
2013-07-01,40.97999954223633
2013-07-02,40.7599983215332
2013-07-03,40.66999816894531
2013-07-05,40.849998474121094
2013-07-08,41.04999923706055
2013-07-09,41.33000183105469
2013-07-10,41.38999938964844
2013-07-11,42.619998931884766
2013-07-12,42.310001373291016
2013-07-15,42.61000061035156
2013-07-16,42.61000061035156
2013-07-17,42.77000045776367
2013-07-18,42.93000030517578
2013-07-19,42.88999938964844
2013-07-22,43.150001525878906
