,AXNX
2019-11-08,22.420000076293945
2019-11-11,23.940000534057617
2019-11-12,24.959999084472656
2019-11-13,25.489999771118164
2019-11-14,28.959999084472656
2019-11-15,26.75
2019-11-18,23.43000030517578
2019-11-19,22.989999771118164
2019-11-20,21.8700008392334
2019-11-21,22.1200008392334
2019-11-22,22.1200008392334
2019-11-25,23.219999313354492
2019-11-26,24.079999923706055
2019-11-27,24.690000534057617
2019-11-29,24.389999389648438
2019-12-02,23.229999542236328
2019-12-03,23.600000381469727
2019-12-04,24.059999465942383
2019-12-05,25.059999465942383
2019-12-06,25.530000686645508
2019-12-09,24.25
2019-12-10,25.190000534057617
2019-12-11,25.260000228881836
2019-12-12,25.81999969482422
2019-12-13,25.510000228881836
2019-12-16,25.850000381469727
2019-12-17,25.309999465942383
2019-12-18,26.389999389648438
2019-12-19,26.889999389648438
2019-12-20,26.309999465942383
2019-12-23,26.920000076293945
2019-12-24,27.06999969482422
2019-12-26,26.979999542236328
2019-12-27,26.770000457763672
2019-12-30,27.1299991607666
2019-12-31,27.709999084472656
2020-01-02,27.520000457763672
2020-01-03,27.010000228881836
2020-01-06,27.459999084472656
2020-01-07,26.950000762939453
2020-01-08,26.940000534057617
2020-01-09,32.560001373291016
2020-01-10,32.380001068115234
2020-01-13,30.389999389648438
2020-01-14,30.920000076293945
2020-01-15,30.440000534057617
2020-01-16,31.5
2020-01-17,31.5
2020-01-21,31.84000015258789
2020-01-22,31.530000686645508
2020-01-23,31.040000915527344
2020-01-24,30.59000015258789
2020-01-27,30.25
2020-01-28,30.770000457763672
2020-01-29,30.350000381469727
2020-01-30,29.809999465942383
2020-01-31,29.030000686645508
2020-02-03,29.399999618530273
2020-02-04,29.780000686645508
2020-02-05,29.049999237060547
2020-02-06,30.059999465942383
2020-02-07,30.209999084472656
2020-02-10,30.950000762939453
2020-02-11,31.549999237060547
2020-02-12,33.349998474121094
2020-02-13,33.7400016784668
2020-02-14,34.290000915527344
2020-02-18,34.54999923706055
2020-02-19,35.0099983215332
2020-02-20,35.959999084472656
2020-02-21,36.09000015258789
2020-02-24,35.40999984741211
2020-02-25,35.939998626708984
2020-02-26,36.54999923706055
2020-02-27,35.099998474121094
2020-02-28,35.45000076293945
2020-03-02,37.189998626708984
2020-03-03,36.369998931884766
2020-03-04,37.72999954223633
2020-03-05,36.790000915527344
2020-03-06,35.93000030517578
2020-03-09,32.349998474121094
2020-03-10,32.029998779296875
2020-03-11,30.219999313354492
2020-03-12,27.18000030517578
2020-03-13,25.520000457763672
2020-03-16,20.149999618530273
2020-03-17,20.260000228881836
2020-03-18,16.440000534057617
2020-03-19,17.860000610351562
2020-03-20,18.15999984741211
2020-03-23,18.3700008392334
2020-03-24,20.969999313354492
2020-03-25,22.309999465942383
2020-03-26,22.829999923706055
2020-03-27,22.610000610351562
2020-03-30,23.760000228881836
2020-03-31,25.40999984741211
2020-04-01,23.959999084472656
2020-04-02,23.06999969482422
2020-04-03,22.90999984741211
2020-04-06,25.1299991607666
2020-04-07,27.209999084472656
2020-04-08,27.799999237060547
2020-04-09,28.34000015258789
2020-04-13,27.309999465942383
2020-04-14,29.25
2020-04-15,29.709999084472656
2020-04-16,30.290000915527344
2020-04-17,34.310001373291016
2020-04-20,33.349998474121094
2020-04-21,31.540000915527344
2020-04-22,33.689998626708984
2020-04-23,35.040000915527344
2020-04-24,34.91999816894531
2020-04-27,34.880001068115234
2020-04-28,33.279998779296875
2020-04-29,33.7599983215332
2020-04-30,32.209999084472656
2020-05-01,31.149999618530273
2020-05-04,31.450000762939453
2020-05-05,33.279998779296875
2020-05-06,35.0099983215332
2020-05-07,34.90999984741211
2020-05-08,35.150001525878906
