,BFI
2019-01-02,9.970000267028809
2019-01-03,9.989999771118164
2019-01-04,9.970000267028809
2019-01-07,9.979999542236328
2019-01-08,10.0
2019-01-09,10.0
2019-01-10,10.010000228881836
2019-01-11,10.0
2019-01-14,10.0
2019-01-15,10.0
2019-01-16,10.010000228881836
2019-01-17,10.010000228881836
2019-01-18,10.050000190734863
2019-01-22,10.032999992370605
2019-01-23,10.032999992370605
2019-01-24,10.029999732971191
2019-01-25,10.07699966430664
2019-01-28,10.09000015258789
2019-01-29,10.09000015258789
2019-01-30,10.079999923706055
2019-01-31,10.079999923706055
2019-02-01,10.100000381469727
2019-02-04,10.09000015258789
2019-02-05,10.09000015258789
2019-02-06,10.09000015258789
2019-02-07,10.09000015258789
2019-02-08,10.09000015258789
2019-02-11,10.069999694824219
2019-02-12,10.069999694824219
2019-02-13,10.109999656677246
2019-02-14,10.100000381469727
2019-02-15,10.119999885559082
2019-02-19,10.119999885559082
2019-02-20,10.109999656677246
2019-02-21,10.109999656677246
2019-02-22,10.109999656677246
2019-02-25,10.149999618530273
2019-02-26,10.149999618530273
2019-02-27,10.119999885559082
2019-02-28,10.119999885559082
2019-03-01,10.119999885559082
2019-03-04,10.109999656677246
2019-03-05,10.109999656677246
2019-03-06,10.140000343322754
2019-03-07,10.140000343322754
2019-03-08,10.149999618530273
2019-03-11,10.149999618530273
2019-03-12,10.149999618530273
2019-03-13,10.149999618530273
2019-03-14,10.149999618530273
2019-03-15,10.149999618530273
2019-03-18,10.149999618530273
2019-03-19,10.149999618530273
2019-03-20,10.140000343322754
2019-03-21,10.140000343322754
2019-03-22,10.140000343322754
2019-03-25,10.130000114440918
2019-03-26,10.130000114440918
2019-03-27,10.140000343322754
2019-03-28,10.15999984741211
2019-03-29,10.149999618530273
2019-04-01,10.170000076293945
2019-04-02,10.180000305175781
2019-04-03,10.15999984741211
2019-04-04,10.180000305175781
2019-04-05,10.15999984741211
2019-04-08,10.15999984741211
2019-04-09,10.1899995803833
2019-04-10,10.1899995803833
2019-04-11,10.1899995803833
2019-04-12,10.1899995803833
2019-04-15,10.1899995803833
2019-04-16,10.1899995803833
2019-04-17,10.1899995803833
2019-04-18,10.1899995803833
2019-04-22,10.220000267028809
2019-04-23,10.220000267028809
2019-04-24,10.220000267028809
2019-04-25,10.220000267028809
2019-04-26,10.220000267028809
2019-04-29,10.220000267028809
2019-04-30,10.220000267028809
2019-05-01,10.220000267028809
2019-05-02,10.220000267028809
2019-05-03,10.220000267028809
2019-05-06,10.220000267028809
2019-05-07,10.220000267028809
2019-05-08,10.220000267028809
2019-05-09,10.220000267028809
2019-05-10,10.220000267028809
2019-05-13,10.229999542236328
2019-05-14,10.229999542236328
2019-05-15,10.229999542236328
2019-05-16,10.229999542236328
2019-05-17,10.229999542236328
2019-05-20,10.239999771118164
2019-05-21,10.239999771118164
2019-05-22,10.239999771118164
2019-05-23,10.239999771118164
2019-05-24,10.239999771118164
2019-05-28,10.239999771118164
2019-05-29,10.239999771118164
2019-05-30,10.239999771118164
2019-05-31,10.239999771118164
2019-06-03,10.239999771118164
2019-06-04,10.239999771118164
2019-06-05,10.239999771118164
2019-06-06,10.25
2019-06-07,10.25
2019-06-10,10.255999565124512
2019-06-11,10.260000228881836
2019-06-12,10.270000457763672
2019-06-13,10.300000190734863
2019-06-14,10.300000190734863
2019-06-17,10.300000190734863
2019-06-18,10.300000190734863
2019-06-19,10.300000190734863
2019-06-20,10.300000190734863
2019-06-21,10.300000190734863
2019-06-24,10.300000190734863
2019-06-25,10.300000190734863
2019-06-26,10.300000190734863
2019-06-27,10.300000190734863
2019-06-28,10.300000190734863
2019-07-01,10.300000190734863
2019-07-02,10.300000190734863
2019-07-03,10.350000381469727
2019-07-05,10.350000381469727
2019-07-08,10.350000381469727
2019-07-09,10.350000381469727
2019-07-10,10.350000381469727
2019-07-11,10.350000381469727
2019-07-12,10.300000190734863
2019-07-15,10.319999694824219
2019-07-16,10.319999694824219
2019-07-17,10.319999694824219
2019-07-18,10.319999694824219
2019-07-19,10.34000015258789
2019-07-22,10.34000015258789
2019-07-23,10.319999694824219
