,UTG
2006-02-07,19.690000534057617
2006-02-08,19.670000076293945
2006-02-09,19.860000610351562
2006-02-10,19.719999313354492
2006-02-13,19.420000076293945
2006-02-14,19.510000228881836
2006-02-15,19.639999389648438
2006-02-16,19.700000762939453
2006-02-17,19.90999984741211
2006-02-21,19.90999984741211
2006-02-22,20.0
2006-02-23,20.139999389648438
2006-02-24,20.280000686645508
2006-02-27,20.399999618530273
2006-02-28,20.149999618530273
2006-03-01,20.209999084472656
2006-03-02,20.219999313354492
2006-03-03,20.260000228881836
2006-03-06,19.969999313354492
2006-03-07,19.860000610351562
2006-03-08,19.719999313354492
2006-03-09,19.700000762939453
2006-03-10,19.690000534057617
2006-03-13,19.700000762939453
2006-03-14,19.860000610351562
2006-03-15,19.940000534057617
2006-03-16,20.0
2006-03-17,19.920000076293945
2006-03-20,19.809999465942383
2006-03-21,19.790000915527344
2006-03-22,19.829999923706055
2006-03-23,19.75
2006-03-24,19.799999237060547
2006-03-27,19.65999984741211
2006-03-28,19.600000381469727
2006-03-29,19.700000762939453
2006-03-30,19.600000381469727
2006-03-31,19.639999389648438
2006-04-03,19.56999969482422
2006-04-04,19.649999618530273
2006-04-05,19.850000381469727
2006-04-06,19.700000762939453
2006-04-07,19.5
2006-04-10,19.3799991607666
2006-04-11,19.059999465942383
2006-04-12,19.09000015258789
2006-04-13,18.850000381469727
2006-04-17,18.850000381469727
2006-04-18,19.030000686645508
2006-04-19,19.110000610351562
2006-04-20,19.350000381469727
2006-04-21,19.31999969482422
2006-04-24,19.299999237060547
2006-04-25,19.079999923706055
2006-04-26,18.979999542236328
2006-04-27,19.06999969482422
2006-04-28,19.139999389648438
2006-05-01,19.079999923706055
2006-05-02,19.350000381469727
2006-05-03,19.229999542236328
2006-05-04,19.299999237060547
2006-05-05,19.600000381469727
2006-05-08,19.5
2006-05-09,19.399999618530273
2006-05-10,19.530000686645508
2006-05-11,19.329999923706055
2006-05-12,19.229999542236328
2006-05-15,19.190000534057617
2006-05-16,19.170000076293945
2006-05-17,18.93000030517578
2006-05-18,18.889999389648438
2006-05-19,19.0
2006-05-22,18.950000762939453
2006-05-23,18.84000015258789
2006-05-24,18.649999618530273
2006-05-25,18.739999771118164
2006-05-26,18.81999969482422
2006-05-30,18.739999771118164
2006-05-31,18.920000076293945
2006-06-01,19.1299991607666
2006-06-02,19.309999465942383
2006-06-05,19.299999237060547
2006-06-06,19.18000030517578
2006-06-07,19.200000762939453
2006-06-08,19.209999084472656
2006-06-09,19.34000015258789
2006-06-12,19.309999465942383
2006-06-13,19.1299991607666
2006-06-14,19.010000228881836
2006-06-15,19.219999313354492
2006-06-16,19.1299991607666
2006-06-19,19.06999969482422
2006-06-20,19.010000228881836
2006-06-21,19.079999923706055
2006-06-22,19.040000915527344
2006-06-23,19.010000228881836
2006-06-26,19.059999465942383
2006-06-27,19.06999969482422
2006-06-28,19.18000030517578
2006-06-29,19.440000534057617
2006-06-30,19.520000457763672
2006-07-03,19.940000534057617
2006-07-05,19.959999084472656
2006-07-06,19.860000610351562
2006-07-07,19.719999313354492
2006-07-10,19.920000076293945
2006-07-11,20.1200008392334
2006-07-12,19.93000030517578
2006-07-13,19.940000534057617
2006-07-14,19.799999237060547
2006-07-17,19.790000915527344
2006-07-18,19.860000610351562
2006-07-19,20.200000762939453
2006-07-20,20.200000762939453
