,CDL
2018-01-23,46.65999984741211
2018-01-24,46.72999954223633
2018-01-25,46.83000183105469
2018-01-26,47.42100143432617
2018-01-29,47.16999816894531
2018-01-30,46.542999267578125
2018-01-31,46.54999923706055
2018-02-01,46.308998107910156
2018-02-02,45.57899856567383
2018-02-05,43.95000076293945
2018-02-06,44.020999908447266
2018-02-07,44.25
2018-02-08,43.09000015258789
2018-02-09,43.790000915527344
2018-02-12,44.150001525878906
2018-02-13,44.29999923706055
2018-02-14,44.709999084472656
2018-02-15,45.18000030517578
2018-02-16,45.356998443603516
2018-02-20,44.720001220703125
2018-02-21,44.36000061035156
2018-02-22,44.2599983215332
2018-02-23,44.88399887084961
2018-02-26,45.28300094604492
2018-02-27,44.72999954223633
2018-02-28,44.34000015258789
2018-03-01,43.900001525878906
2018-03-02,44.18000030517578
2018-03-05,44.7599983215332
2018-03-06,44.685001373291016
2018-03-07,44.33100128173828
2018-03-08,44.560001373291016
2018-03-09,45.02000045776367
2018-03-12,45.150001525878906
2018-03-13,45.029998779296875
2018-03-14,44.83000183105469
2018-03-15,44.720001220703125
2018-03-16,44.90999984741211
2018-03-19,44.5099983215332
2018-03-20,44.50899887084961
2018-03-21,44.41999816894531
2018-03-22,43.630001068115234
2018-03-23,42.922000885009766
2018-03-26,43.70899963378906
2018-03-27,43.59000015258789
2018-03-28,43.790000915527344
2018-03-29,44.165000915527344
2018-04-02,43.349998474121094
2018-04-03,43.85900115966797
2018-04-04,44.2599983215332
2018-04-05,44.625
2018-04-06,43.90999984741211
2018-04-09,44.02799987792969
2018-04-10,44.220001220703125
2018-04-11,44.17900085449219
2018-04-12,44.13999938964844
2018-04-13,44.099998474121094
2018-04-16,44.65999984741211
2018-04-17,44.72999954223633
2018-04-18,44.73899841308594
2018-04-19,44.439998626708984
2018-04-20,44.17300033569336
2018-04-23,44.349998474121094
2018-04-24,44.189998626708984
2018-04-25,44.31999969482422
2018-04-26,44.5
2018-04-27,44.630001068115234
2018-04-30,44.395999908447266
2018-05-01,44.11600112915039
2018-05-02,43.939998626708984
2018-05-03,43.82500076293945
2018-05-04,44.268001556396484
2018-05-07,44.20800018310547
2018-05-08,43.9640007019043
2018-05-09,44.12799835205078
2018-05-10,44.5
2018-05-11,44.529998779296875
2018-05-14,44.619998931884766
2018-05-15,44.35599899291992
2018-05-16,44.53499984741211
2018-05-17,44.58000183105469
2018-05-18,44.375999450683594
2018-05-21,44.66999816894531
2018-05-22,44.54999923706055
2018-05-23,44.61399841308594
2018-05-24,44.75
2018-05-25,44.64899826049805
2018-05-29,44.369998931884766
2018-05-30,44.959999084472656
2018-05-31,44.540000915527344
2018-06-01,44.56999969482422
2018-06-04,44.7599983215332
2018-06-05,44.72999954223633
2018-06-06,44.65299987792969
2018-06-07,44.89799880981445
2018-06-08,45.0
2018-06-11,45.167999267578125
2018-06-12,45.141998291015625
2018-06-13,44.766998291015625
2018-06-14,44.89799880981445
2018-06-15,45.00899887084961
2018-06-18,44.957000732421875
2018-06-19,45.040000915527344
2018-06-20,45.11000061035156
2018-06-21,44.88999938964844
2018-06-22,45.18000030517578
2018-06-25,44.867000579833984
2018-06-26,45.0880012512207
2018-06-27,45.0
2018-06-28,45.117000579833984
2018-06-29,45.29999923706055
2018-07-02,44.93000030517578
2018-07-03,44.994998931884766
2018-07-05,45.36000061035156
2018-07-06,45.65399932861328
2018-07-09,45.540000915527344
2018-07-10,45.70100021362305
2018-07-11,45.53200149536133
2018-07-12,45.56999969482422
2018-07-13,45.56800079345703
2018-07-16,45.507999420166016
2018-07-17,45.43000030517578
2018-07-18,45.39699935913086
2018-07-19,45.540000915527344
2018-07-20,45.36000061035156
2018-07-23,45.32699966430664
2018-07-24,45.32899856567383
2018-07-25,45.47100067138672
2018-07-26,45.82600021362305
2018-07-27,45.816001892089844
2018-07-30,45.814998626708984
2018-07-31,46.14400100708008
2018-08-01,45.65399932861328
2018-08-02,45.78300094604492
2018-08-03,46.165000915527344
2018-08-06,46.220001220703125
2018-08-07,46.31999969482422
2018-08-08,46.19200134277344
2018-08-09,46.189998626708984
2018-08-10,46.02799987792969
2018-08-13,45.91999816894531
2018-08-14,46.23099899291992
2018-08-15,45.95800018310547
2018-08-16,46.380001068115234
2018-08-17,46.70899963378906
2018-08-20,46.900001525878906
2018-08-21,46.86000061035156
2018-08-22,46.689998626708984
2018-08-23,46.68000030517578
2018-08-24,46.858001708984375
2018-08-27,46.909000396728516
2018-08-28,46.79999923706055
2018-08-29,46.91299819946289
2018-08-30,46.75
2018-08-31,46.65999984741211
2018-09-04,46.75299835205078
2018-09-05,47.16999816894531
2018-09-06,47.189998626708984
2018-09-07,46.78300094604492
2018-09-10,46.9900016784668
2018-09-11,46.89699935913086
2018-09-12,46.987998962402344
2018-09-13,47.013999938964844
2018-09-14,47.16999816894531
2018-09-17,47.040000915527344
2018-09-18,47.10300064086914
2018-09-19,46.74100112915039
2018-09-20,46.97999954223633
2018-09-21,47.077999114990234
2018-09-24,46.54800033569336
2018-09-25,46.20000076293945
2018-09-26,46.20199966430664
2018-09-27,45.939998626708984
2018-09-28,46.150001525878906
2018-10-01,46.12300109863281
2018-10-02,46.279998779296875
2018-10-03,46.11000061035156
2018-10-04,46.06999969482422
2018-10-05,46.20000076293945
2018-10-08,46.51100158691406
2018-10-09,46.1870002746582
2018-10-10,45.6150016784668
2018-10-11,44.31999969482422
2018-10-12,44.071998596191406
2018-10-15,44.31100082397461
2018-10-16,44.790000915527344
2018-10-17,44.654998779296875
2018-10-18,44.43199920654297
2018-10-19,44.74300003051758
2018-10-22,44.29100036621094
2018-10-23,43.959999084472656
2018-10-24,43.5
2018-10-25,43.6609992980957
2018-10-26,42.97999954223633
2018-10-29,43.36000061035156
2018-10-30,44.0369987487793
2018-10-31,43.882999420166016
2018-11-01,44.290000915527344
2018-11-02,44.02000045776367
2018-11-05,44.45000076293945
2018-11-06,44.880001068115234
2018-11-07,45.37300109863281
2018-11-08,45.332000732421875
2018-11-09,45.37900161743164
2018-11-12,45.04999923706055
2018-11-13,45.0989990234375
2018-11-14,44.624000549316406
2018-11-15,44.8849983215332
2018-11-16,45.13999938964844
2018-11-19,45.060001373291016
2018-11-20,44.45199966430664
2018-11-21,44.439998626708984
2018-11-23,44.257999420166016
2018-11-26,44.73099899291992
2018-11-27,44.849998474121094
2018-11-28,45.11000061035156
2018-11-29,45.18000030517578
2018-11-30,45.52000045776367
2018-12-03,45.86000061035156
2018-12-04,44.880001068115234
2018-12-06,44.5880012512207
2018-12-07,44.09700012207031
2018-12-10,43.77000045776367
2018-12-11,43.959999084472656
2018-12-12,44.060001373291016
2018-12-13,44.04399871826172
2018-12-14,43.529998779296875
2018-12-17,42.48099899291992
2018-12-18,42.279998779296875
2018-12-19,41.691001892089844
2018-12-20,41.349998474121094
2018-12-21,40.93000030517578
2018-12-24,39.560001373291016
2018-12-26,40.939998626708984
2018-12-27,40.95000076293945
2018-12-28,41.130001068115234
2018-12-31,41.35900115966797
2019-01-02,41.29999923706055
2019-01-03,40.970001220703125
2019-01-04,41.91699981689453
2019-01-07,42.06999969482422
2019-01-08,42.52000045776367
2019-01-09,42.56999969482422
2019-01-10,42.86000061035156
2019-01-11,42.805999755859375
2019-01-14,42.68000030517578
2019-01-15,42.939998626708984
2019-01-16,43.04999923706055
2019-01-17,43.41999816894531
2019-01-18,43.91999816894531
2019-01-22,43.52899932861328
2019-01-23,43.68000030517578
2019-01-24,43.67900085449219
2019-01-25,43.73699951171875
2019-01-28,43.58000183105469
2019-01-29,43.709999084472656
2019-01-30,44.0099983215332
2019-01-31,44.625
2019-02-01,44.630001068115234
2019-02-04,44.7400016784668
2019-02-05,44.75600051879883
2019-02-06,44.65999984741211
2019-02-07,44.619998931884766
2019-02-08,44.59000015258789
2019-02-11,44.72999954223633
2019-02-12,45.15999984741211
2019-02-13,45.20600128173828
2019-02-14,45.0
2019-02-15,45.29999923706055
2019-02-19,45.630001068115234
2019-02-20,46.0099983215332
2019-02-21,45.895999908447266
2019-02-22,46.06999969482422
2019-02-25,46.06999969482422
2019-02-26,45.96500015258789
2019-02-27,46.0099983215332
2019-02-28,45.95399856567383
2019-03-01,46.025001525878906
2019-03-04,45.98899841308594
