,FNWB
2016-12-15,16.149999618530273
2016-12-16,16.3700008392334
2016-12-19,16.3799991607666
2016-12-20,16.399999618530273
2016-12-21,16.229999542236328
2016-12-22,16.25
2016-12-23,16.329999923706055
2016-12-27,16.149999618530273
2016-12-28,15.699999809265137
2016-12-29,15.6899995803833
2016-12-30,15.600000381469727
2017-01-03,15.399999618530273
2017-01-04,15.399999618530273
2017-01-05,15.180000305175781
2017-01-06,15.1899995803833
2017-01-09,15.199999809265137
2017-01-10,15.229999542236328
2017-01-11,14.970000267028809
2017-01-12,14.899999618530273
2017-01-13,15.390000343322754
2017-01-17,15.069999694824219
2017-01-18,15.1899995803833
2017-01-19,14.930000305175781
2017-01-20,15.020000457763672
2017-01-23,15.130000114440918
2017-01-24,15.109999656677246
2017-01-25,15.279999732971191
2017-01-26,15.239999771118164
2017-01-27,15.140000343322754
2017-01-30,14.819999694824219
2017-01-31,14.8100004196167
2017-02-01,15.050000190734863
2017-02-02,15.050000190734863
2017-02-03,15.09000015258789
2017-02-06,15.050000190734863
2017-02-07,15.09000015258789
2017-02-08,15.100000381469727
2017-02-09,15.3100004196167
2017-02-10,15.729999542236328
2017-02-13,16.1200008392334
2017-02-14,15.84000015258789
2017-02-15,16.049999237060547
2017-02-16,15.859999656677246
2017-02-17,15.970000267028809
2017-02-21,15.829999923706055
2017-02-22,15.699999809265137
2017-02-23,15.539999961853027
2017-02-24,15.609999656677246
2017-02-27,15.479999542236328
2017-02-28,15.4399995803833
2017-03-01,15.59000015258789
2017-03-02,15.4399995803833
2017-03-03,15.4399995803833
2017-03-06,15.529999732971191
2017-03-07,15.65999984741211
2017-03-08,15.619999885559082
2017-03-09,15.859999656677246
2017-03-10,15.729999542236328
2017-03-13,15.789999961853027
2017-03-14,15.640000343322754
2017-03-15,15.850000381469727
2017-03-16,15.770000457763672
2017-03-17,15.960000038146973
2017-03-20,15.880000114440918
2017-03-21,15.220000267028809
2017-03-22,15.109999656677246
2017-03-23,15.210000038146973
2017-03-24,15.130000114440918
2017-03-27,15.300000190734863
2017-03-28,15.380000114440918
2017-03-29,15.40999984741211
2017-03-30,15.369999885559082
2017-03-31,15.5
2017-04-03,15.899999618530273
2017-04-04,15.550000190734863
2017-04-05,15.130000114440918
2017-04-06,15.470000267028809
2017-04-07,15.699999809265137
2017-04-10,15.270000457763672
2017-04-11,15.489999771118164
2017-04-12,15.260000228881836
2017-04-13,15.229999542236328
2017-04-17,15.260000228881836
2017-04-18,15.460000038146973
2017-04-19,15.430000305175781
2017-04-20,15.770000457763672
