,CMRX
2016-12-28,4.510000228881836
2016-12-29,4.46999979019165
2016-12-30,4.599999904632568
2017-01-03,4.539999961853027
2017-01-04,4.849999904632568
2017-01-05,5.03000020980835
2017-01-06,5.230000019073486
2017-01-09,5.230000019073486
2017-01-10,4.800000190734863
2017-01-11,4.639999866485596
2017-01-12,4.800000190734863
2017-01-13,4.849999904632568
2017-01-17,4.769999980926514
2017-01-18,4.849999904632568
2017-01-19,4.800000190734863
2017-01-20,4.900000095367432
2017-01-23,5.539999961853027
2017-01-24,5.139999866485596
2017-01-25,5.329999923706055
2017-01-26,5.179999828338623
2017-01-27,5.320000171661377
2017-01-30,5.119999885559082
2017-01-31,5.440000057220459
2017-02-01,5.409999847412109
2017-02-02,5.369999885559082
2017-02-03,5.489999771118164
2017-02-06,5.590000152587891
2017-02-07,5.5
2017-02-08,5.519999980926514
2017-02-09,5.710000038146973
2017-02-10,5.820000171661377
2017-02-13,5.809999942779541
2017-02-14,5.980000019073486
2017-02-15,5.96999979019165
2017-02-16,5.96999979019165
2017-02-17,5.949999809265137
2017-02-21,5.679999828338623
2017-02-22,5.440000057220459
2017-02-23,5.369999885559082
2017-02-24,5.460000038146973
2017-02-27,5.670000076293945
2017-02-28,5.679999828338623
2017-03-01,5.769999980926514
2017-03-02,5.96999979019165
2017-03-03,6.289999961853027
2017-03-06,6.230000019073486
2017-03-07,6.139999866485596
2017-03-08,6.110000133514404
2017-03-09,6.25
2017-03-10,6.349999904632568
2017-03-13,6.460000038146973
2017-03-14,6.230000019073486
2017-03-15,6.360000133514404
2017-03-16,6.199999809265137
2017-03-17,6.150000095367432
2017-03-20,6.190000057220459
2017-03-21,6.0
2017-03-22,6.21999979019165
2017-03-23,6.489999771118164
2017-03-24,6.460000038146973
2017-03-27,6.400000095367432
2017-03-28,6.389999866485596
2017-03-29,6.460000038146973
2017-03-30,6.440000057220459
2017-03-31,6.380000114440918
2017-04-03,6.369999885559082
2017-04-04,6.409999847412109
2017-04-05,6.059999942779541
2017-04-06,5.840000152587891
2017-04-07,5.579999923706055
2017-04-10,5.630000114440918
2017-04-11,5.730000019073486
2017-04-12,5.690000057220459
2017-04-13,5.630000114440918
2017-04-17,5.690000057220459
2017-04-18,5.789999961853027
2017-04-19,5.860000133514404
2017-04-20,5.900000095367432
2017-04-21,5.78000020980835
2017-04-24,6.010000228881836
2017-04-25,6.099999904632568
2017-04-26,6.090000152587891
2017-04-27,6.150000095367432
2017-04-28,5.980000019073486
2017-05-01,5.860000133514404
2017-05-02,5.21999979019165
2017-05-03,5.110000133514404
2017-05-04,5.159999847412109
2017-05-05,5.170000076293945
2017-05-08,5.099999904632568
2017-05-09,4.75
2017-05-10,4.880000114440918
2017-05-11,4.829999923706055
2017-05-12,4.639999866485596
2017-05-15,4.849999904632568
2017-05-16,4.929999828338623
2017-05-17,4.789999961853027
2017-05-18,4.880000114440918
2017-05-19,4.679999828338623
2017-05-22,4.710000038146973
2017-05-23,4.71999979019165
2017-05-24,4.630000114440918
2017-05-25,4.570000171661377
2017-05-26,4.5
2017-05-30,4.420000076293945
2017-05-31,4.480000019073486
2017-06-01,4.760000228881836
2017-06-02,4.900000095367432
2017-06-05,4.880000114440918
2017-06-06,4.869999885559082
2017-06-07,4.699999809265137
2017-06-08,4.78000020980835
2017-06-09,4.829999923706055
2017-06-12,4.889999866485596
2017-06-13,4.920000076293945
2017-06-14,4.940000057220459
2017-06-15,4.880000114440918
2017-06-16,5.010000228881836
2017-06-19,5.170000076293945
2017-06-20,5.190000057220459
2017-06-21,5.329999923706055
2017-06-22,5.510000228881836
2017-06-23,5.400000095367432
2017-06-26,5.369999885559082
2017-06-27,5.440000057220459
2017-06-28,5.53000020980835
2017-06-29,5.480000019073486
2017-06-30,5.449999809265137
2017-07-03,5.460000038146973
2017-07-05,5.53000020980835
2017-07-06,5.349999904632568
2017-07-07,5.429999828338623
2017-07-10,5.300000190734863
2017-07-11,5.210000038146973
2017-07-12,5.309999942779541
2017-07-13,5.349999904632568
2017-07-14,5.21999979019165
2017-07-17,5.179999828338623
2017-07-18,5.269999980926514
2017-07-19,5.079999923706055
2017-07-20,5.090000152587891
2017-07-21,5.010000228881836
2017-07-24,5.309999942779541
2017-07-25,4.980000019073486
2017-07-26,5.119999885559082
2017-07-27,4.960000038146973
2017-07-28,4.860000133514404
2017-07-31,4.96999979019165
2017-08-01,4.809999942779541
2017-08-02,4.75
2017-08-03,4.699999809265137
2017-08-04,4.699999809265137
2017-08-07,4.929999828338623
2017-08-08,4.690000057220459
2017-08-09,4.75
2017-08-10,4.460000038146973
2017-08-11,4.539999961853027
2017-08-14,4.550000190734863
2017-08-15,4.579999923706055
2017-08-16,4.489999771118164
2017-08-17,4.400000095367432
2017-08-18,4.349999904632568
2017-08-21,4.409999847412109
2017-08-22,4.409999847412109
2017-08-23,4.440000057220459
2017-08-24,4.420000076293945
2017-08-25,4.380000114440918
2017-08-28,4.730000019073486
2017-08-29,4.769999980926514
2017-08-30,4.820000171661377
2017-08-31,4.760000228881836
2017-09-01,4.730000019073486
2017-09-05,4.78000020980835
2017-09-06,4.800000190734863
2017-09-07,5.0
2017-09-08,5.0
2017-09-11,5.019999980926514
2017-09-12,5.050000190734863
2017-09-13,5.039999961853027
2017-09-14,5.019999980926514
2017-09-15,5.010000228881836
2017-09-18,5.03000020980835
2017-09-19,5.019999980926514
2017-09-20,5.0
2017-09-21,5.03000020980835
2017-09-22,5.010000228881836
2017-09-25,5.0
2017-09-26,5.019999980926514
2017-09-27,5.150000095367432
2017-09-28,5.21999979019165
2017-09-29,5.25
2017-10-02,5.389999866485596
2017-10-03,5.230000019073486
2017-10-04,5.25
2017-10-05,5.289999961853027
2017-10-06,5.190000057220459
2017-10-09,5.25
2017-10-10,5.369999885559082
2017-10-11,5.369999885559082
2017-10-12,5.400000095367432
2017-10-13,5.429999828338623
2017-10-16,5.519999980926514
2017-10-17,5.159999847412109
2017-10-18,4.889999866485596
2017-10-19,5.03000020980835
2017-10-20,5.070000171661377
2017-10-23,5.0
2017-10-24,5.03000020980835
2017-10-25,4.989999771118164
2017-10-26,4.980000019073486
2017-10-27,4.900000095367432
2017-10-30,4.940000057220459
2017-10-31,4.920000076293945
2017-11-01,4.880000114440918
2017-11-02,4.880000114440918
2017-11-03,5.070000171661377
2017-11-06,5.010000228881836
2017-11-07,4.809999942779541
2017-11-08,4.829999923706055
2017-11-09,4.760000228881836
2017-11-10,4.900000095367432
2017-11-13,4.369999885559082
2017-11-14,4.349999904632568
2017-11-15,4.320000171661377
2017-11-16,4.409999847412109
2017-11-17,4.590000152587891
2017-11-20,4.449999809265137
2017-11-21,4.389999866485596
2017-11-22,4.53000020980835
2017-11-24,4.489999771118164
2017-11-27,4.380000114440918
2017-11-28,4.449999809265137
2017-11-29,4.579999923706055
2017-11-30,4.46999979019165
2017-12-01,4.510000228881836
2017-12-04,4.420000076293945
2017-12-05,4.449999809265137
2017-12-06,4.429999828338623
2017-12-07,4.539999961853027
2017-12-08,4.340000152587891
2017-12-11,4.460000038146973
2017-12-12,4.389999866485596
2017-12-13,4.429999828338623
2017-12-14,4.389999866485596
2017-12-15,4.320000171661377
2017-12-18,4.329999923706055
2017-12-19,4.380000114440918
2017-12-20,4.329999923706055
2017-12-21,4.440000057220459
2017-12-22,4.489999771118164
2017-12-26,4.579999923706055
2017-12-27,4.590000152587891
2017-12-28,4.690000057220459
2017-12-29,4.630000114440918
2018-01-02,4.710000038146973
2018-01-03,4.880000114440918
2018-01-04,4.949999809265137
2018-01-05,5.090000152587891
2018-01-08,4.840000152587891
2018-01-09,4.880000114440918
2018-01-10,4.860000133514404
2018-01-11,4.900000095367432
2018-01-12,4.920000076293945
2018-01-16,4.860000133514404
2018-01-17,4.929999828338623
2018-01-18,4.900000095367432
2018-01-19,4.929999828338623
2018-01-22,4.949999809265137
2018-01-23,4.900000095367432
2018-01-24,4.760000228881836
2018-01-25,4.679999828338623
2018-01-26,4.650000095367432
2018-01-29,4.800000190734863
2018-01-30,4.789999961853027
2018-01-31,4.789999961853027
2018-02-01,4.679999828338623
2018-02-02,4.699999809265137
2018-02-05,4.650000095367432
2018-02-06,4.789999961853027
2018-02-07,4.929999828338623
2018-02-08,4.929999828338623
2018-02-09,4.900000095367432
2018-02-12,4.880000114440918
2018-02-13,4.929999828338623
2018-02-14,4.929999828338623
2018-02-15,4.949999809265137
2018-02-16,5.019999980926514
2018-02-20,4.96999979019165
2018-02-21,4.920000076293945
2018-02-22,4.840000152587891
2018-02-23,4.889999866485596
2018-02-26,4.929999828338623
2018-02-27,4.920000076293945
2018-02-28,4.860000133514404
2018-03-01,4.889999866485596
2018-03-02,4.940000057220459
2018-03-05,5.179999828338623
2018-03-06,5.28000020980835
2018-03-07,5.409999847412109
2018-03-08,5.610000133514404
2018-03-09,5.690000057220459
2018-03-12,5.900000095367432
2018-03-13,5.880000114440918
2018-03-14,5.829999923706055
2018-03-15,5.739999771118164
2018-03-16,5.639999866485596
2018-03-19,5.570000171661377
2018-03-20,5.579999923706055
2018-03-21,5.5
2018-03-22,5.489999771118164
2018-03-23,5.320000171661377
2018-03-26,5.349999904632568
2018-03-27,5.239999771118164
2018-03-28,5.25
2018-03-29,5.199999809265137
2018-04-02,4.840000152587891
2018-04-03,4.949999809265137
2018-04-04,5.039999961853027
2018-04-05,4.940000057220459
2018-04-06,4.829999923706055
2018-04-09,5.079999923706055
2018-04-10,5.099999904632568
2018-04-11,5.019999980926514
2018-04-12,5.059999942779541
2018-04-13,5.059999942779541
2018-04-16,4.96999979019165
2018-04-17,5.050000190734863
2018-04-18,5.139999866485596
2018-04-19,5.0
2018-04-20,5.070000171661377
2018-04-23,4.989999771118164
2018-04-24,5.039999961853027
2018-04-25,4.929999828338623
2018-04-26,4.900000095367432
2018-04-27,4.949999809265137
2018-04-30,4.579999923706055
2018-05-01,4.739999771118164
2018-05-02,4.760000228881836
2018-05-03,4.670000076293945
2018-05-04,4.730000019073486
2018-05-07,4.769999980926514
2018-05-08,4.710000038146973
2018-05-09,4.650000095367432
2018-05-10,4.559999942779541
2018-05-11,4.619999885559082
2018-05-14,4.639999866485596
2018-05-15,4.75
2018-05-16,4.860000133514404
2018-05-17,4.800000190734863
2018-05-18,4.800000190734863
2018-05-21,4.800000190734863
2018-05-22,4.690000057220459
2018-05-23,4.650000095367432
2018-05-24,4.559999942779541
2018-05-25,4.630000114440918
2018-05-29,4.570000171661377
2018-05-30,4.610000133514404
2018-05-31,4.570000171661377
2018-06-01,4.699999809265137
2018-06-04,4.71999979019165
2018-06-05,4.760000228881836
2018-06-06,4.820000171661377
2018-06-07,4.610000133514404
2018-06-08,4.429999828338623
2018-06-11,4.5
2018-06-12,4.510000228881836
2018-06-13,4.539999961853027
2018-06-14,4.519999980926514
2018-06-15,4.590000152587891
2018-06-18,4.619999885559082
2018-06-19,4.699999809265137
2018-06-20,4.820000171661377
2018-06-21,4.840000152587891
2018-06-22,4.760000228881836
2018-06-25,4.679999828338623
2018-06-26,4.840000152587891
2018-06-27,4.800000190734863
2018-06-28,4.670000076293945
2018-06-29,4.760000228881836
2018-07-02,4.829999923706055
2018-07-03,4.809999942779541
2018-07-05,4.900000095367432
2018-07-06,4.889999866485596
2018-07-09,4.849999904632568
2018-07-10,4.78000020980835
2018-07-11,4.730000019073486
2018-07-12,4.760000228881836
2018-07-13,4.739999771118164
2018-07-16,4.730000019073486
2018-07-17,4.739999771118164
2018-07-18,4.610000133514404
2018-07-19,4.610000133514404
2018-07-20,4.599999904632568
2018-07-23,4.599999904632568
2018-07-24,4.510000228881836
2018-07-25,4.590000152587891
2018-07-26,4.519999980926514
2018-07-27,4.449999809265137
2018-07-30,4.369999885559082
2018-07-31,4.46999979019165
2018-08-01,4.5
2018-08-02,4.429999828338623
2018-08-03,4.28000020980835
2018-08-06,4.210000038146973
2018-08-07,4.300000190734863
2018-08-08,4.380000114440918
2018-08-09,4.360000133514404
2018-08-10,4.380000114440918
2018-08-13,4.289999961853027
2018-08-14,4.210000038146973
2018-08-15,4.03000020980835
2018-08-16,4.150000095367432
2018-08-17,4.050000190734863
2018-08-20,4.039999961853027
2018-08-21,4.21999979019165
2018-08-22,4.190000057220459
2018-08-23,4.159999847412109
2018-08-24,4.170000076293945
2018-08-27,4.170000076293945
2018-08-28,4.179999828338623
2018-08-29,4.190000057220459
2018-08-30,4.150000095367432
2018-08-31,3.990000009536743
2018-09-04,3.9000000953674316
2018-09-05,3.990000009536743
2018-09-06,3.75
2018-09-07,3.9000000953674316
2018-09-10,3.819999933242798
2018-09-11,3.9000000953674316
2018-09-12,3.75
2018-09-13,3.5799999237060547
2018-09-14,3.7300000190734863
2018-09-17,3.7100000381469727
2018-09-18,3.7799999713897705
2018-09-19,3.799999952316284
2018-09-20,3.9100000858306885
2018-09-21,3.9700000286102295
2018-09-24,4.0
2018-09-25,3.940000057220459
2018-09-26,3.9000000953674316
2018-09-27,3.940000057220459
2018-09-28,3.890000104904175
2018-10-01,3.740000009536743
2018-10-02,3.7200000286102295
2018-10-03,3.880000114440918
2018-10-04,3.880000114440918
2018-10-05,3.9000000953674316
2018-10-08,3.8299999237060547
2018-10-09,3.890000104904175
2018-10-10,3.8299999237060547
2018-10-11,3.640000104904175
2018-10-12,3.5799999237060547
2018-10-15,3.690000057220459
2018-10-16,3.7300000190734863
2018-10-17,3.609999895095825
2018-10-18,3.6700000762939453
2018-10-19,3.5999999046325684
2018-10-22,3.5399999618530273
2018-10-23,3.4800000190734863
2018-10-24,3.200000047683716
