,CHW
2017-04-25,8.210000038146973
2017-04-26,8.25
2017-04-27,8.279999732971191
2017-04-28,8.229999542236328
2017-05-01,8.199999809265137
2017-05-02,8.170000076293945
2017-05-03,8.170000076293945
2017-05-04,8.130000114440918
2017-05-05,8.1899995803833
2017-05-08,8.140000343322754
2017-05-09,8.220000267028809
2017-05-10,8.239999771118164
2017-05-11,8.25
2017-05-12,8.260000228881836
2017-05-15,8.300000190734863
2017-05-16,8.369999885559082
2017-05-17,8.170000076293945
2017-05-18,8.199999809265137
2017-05-19,8.260000228881836
2017-05-22,8.329999923706055
2017-05-23,8.390000343322754
2017-05-24,8.40999984741211
2017-05-25,8.470000267028809
2017-05-26,8.399999618530273
2017-05-30,8.420000076293945
2017-05-31,8.40999984741211
2017-06-01,8.430000305175781
2017-06-02,8.470000267028809
2017-06-05,8.489999771118164
2017-06-06,8.479999542236328
2017-06-07,8.5600004196167
2017-06-08,8.420000076293945
2017-06-09,8.369999885559082
2017-06-12,8.390000343322754
2017-06-13,8.420000076293945
2017-06-14,8.4399995803833
2017-06-15,8.399999618530273
2017-06-16,8.460000038146973
2017-06-19,8.539999961853027
2017-06-20,8.460000038146973
2017-06-21,8.4399995803833
2017-06-22,8.399999618530273
2017-06-23,8.460000038146973
2017-06-26,8.460000038146973
2017-06-27,8.449999809265137
2017-06-28,8.5
2017-06-29,8.449999809265137
2017-06-30,8.529999732971191
2017-07-03,8.59000015258789
2017-07-05,8.539999961853027
2017-07-06,8.510000228881836
2017-07-07,8.479999542236328
2017-07-10,8.479999542236328
2017-07-11,8.470000267028809
2017-07-12,8.5600004196167
2017-07-13,8.609999656677246
2017-07-14,8.680000305175781
2017-07-17,8.670000076293945
2017-07-18,8.6899995803833
2017-07-19,8.729999542236328
2017-07-20,8.739999771118164
2017-07-21,8.779999732971191
2017-07-24,8.75
2017-07-25,8.770000457763672
2017-07-26,8.789999961853027
2017-07-27,8.800000190734863
2017-07-28,8.899999618530273
2017-07-31,8.920000076293945
2017-08-01,8.899999618530273
2017-08-02,8.930000305175781
2017-08-03,9.029999732971191
2017-08-04,8.989999771118164
2017-08-07,9.100000381469727
2017-08-08,8.90999984741211
2017-08-09,8.680000305175781
2017-08-10,8.460000038146973
2017-08-11,8.59000015258789
2017-08-14,8.640000343322754
2017-08-15,8.609999656677246
2017-08-16,8.609999656677246
2017-08-17,8.529999732971191
