,CHEF
2015-12-24,17.3700008392334
2015-12-28,17.25
2015-12-29,16.84000015258789
2015-12-30,16.709999084472656
2015-12-31,16.68000030517578
2016-01-04,15.90999984741211
2016-01-05,15.6899995803833
2016-01-06,15.65999984741211
2016-01-07,15.0600004196167
2016-01-08,14.880000114440918
2016-01-11,14.989999771118164
2016-01-12,14.770000457763672
2016-01-13,14.329999923706055
2016-01-14,14.239999771118164
2016-01-15,13.960000038146973
2016-01-19,13.569999694824219
2016-01-20,13.6899995803833
2016-01-21,13.6899995803833
2016-01-22,13.680000305175781
2016-01-25,13.109999656677246
2016-01-26,13.069999694824219
2016-01-27,13.0
2016-01-28,13.069999694824219
2016-01-29,13.149999618530273
2016-02-01,14.199999809265137
2016-02-02,13.6899995803833
2016-02-03,13.899999618530273
2016-02-04,13.6899995803833
2016-02-05,13.489999771118164
2016-02-08,12.979999542236328
2016-02-09,13.210000038146973
2016-02-10,13.130000114440918
2016-02-11,12.899999618530273
2016-02-12,13.1899995803833
2016-02-16,13.920000076293945
2016-02-17,14.5
2016-02-18,15.550000190734863
2016-02-19,17.610000610351562
2016-02-22,17.59000015258789
2016-02-23,17.84000015258789
2016-02-24,17.969999313354492
2016-02-25,18.059999465942383
2016-02-26,18.350000381469727
2016-02-29,18.8700008392334
2016-03-01,18.489999771118164
2016-03-02,18.450000762939453
2016-03-03,18.610000610351562
2016-03-04,18.450000762939453
2016-03-07,20.229999542236328
2016-03-08,19.829999923706055
2016-03-09,19.639999389648438
2016-03-10,19.440000534057617
2016-03-11,20.0
2016-03-14,19.889999389648438
2016-03-15,19.3700008392334
2016-03-16,19.5
2016-03-17,20.0
2016-03-18,20.1200008392334
2016-03-21,20.15999984741211
2016-03-22,19.81999969482422
2016-03-23,19.139999389648438
2016-03-24,19.450000762939453
2016-03-28,19.3700008392334
2016-03-29,20.34000015258789
2016-03-30,20.1200008392334
2016-03-31,20.290000915527344
2016-04-01,20.1299991607666
2016-04-04,20.110000610351562
2016-04-05,19.920000076293945
2016-04-06,20.200000762939453
2016-04-07,19.59000015258789
2016-04-08,19.790000915527344
2016-04-11,20.030000686645508
2016-04-12,20.010000228881836
2016-04-13,20.280000686645508
2016-04-14,19.90999984741211
2016-04-15,20.139999389648438
2016-04-18,20.18000030517578
2016-04-19,20.290000915527344
2016-04-20,19.8700008392334
2016-04-21,18.700000762939453
2016-04-22,18.850000381469727
2016-04-25,19.18000030517578
2016-04-26,19.209999084472656
2016-04-27,19.31999969482422
2016-04-28,19.25
2016-04-29,19.270000457763672
2016-05-02,19.229999542236328
2016-05-03,19.100000381469727
2016-05-04,15.859999656677246
2016-05-05,15.850000381469727
2016-05-06,16.209999084472656
2016-05-09,16.979999542236328
2016-05-10,16.549999237060547
2016-05-11,16.049999237060547
2016-05-12,15.869999885559082
2016-05-13,15.619999885559082
2016-05-16,15.59000015258789
2016-05-17,14.979999542236328
2016-05-18,15.130000114440918
