,BHFAP
2020-06-30,25.149999618530273
2020-07-01,25.100000381469727
2020-07-02,25.15999984741211
2020-07-06,25.280000686645508
2020-07-07,25.219999313354492
2020-07-08,24.8799991607666
2020-07-09,24.989999771118164
2020-07-10,25.1299991607666
2020-07-13,25.149999618530273
2020-07-14,25.299999237060547
2020-07-15,25.639999389648438
2020-07-16,25.969999313354492
2020-07-17,25.780000686645508
2020-07-20,26.100000381469727
2020-07-21,26.190000534057617
2020-07-22,26.09000015258789
2020-07-23,26.100000381469727
2020-07-24,26.170000076293945
2020-07-27,25.959999084472656
2020-07-28,26.049999237060547
2020-07-29,26.354999542236328
2020-07-30,26.360000610351562
2020-07-31,26.459999084472656
2020-08-03,26.389999389648438
2020-08-04,26.549999237060547
2020-08-05,26.83799934387207
2020-08-06,26.450000762939453
2020-08-07,26.420000076293945
2020-08-10,26.829999923706055
2020-08-11,26.459999084472656
2020-08-12,26.850000381469727
2020-08-13,26.934999465942383
2020-08-14,26.920000076293945
2020-08-17,26.899999618530273
2020-08-18,27.110000610351562
2020-08-19,27.094999313354492
2020-08-20,27.149999618530273
2020-08-21,27.360000610351562
2020-08-24,27.200000762939453
2020-08-25,27.139999389648438
2020-08-26,27.239999771118164
2020-08-27,27.3700008392334
2020-08-28,27.211999893188477
2020-08-31,27.209999084472656
2020-09-01,27.05500030517578
2020-09-02,26.950000762939453
2020-09-03,26.96500015258789
2020-09-04,26.81999969482422
2020-09-08,26.639999389648438
2020-09-09,26.639999389648438
2020-09-10,26.75
2020-09-11,26.450000762939453
2020-09-14,26.469999313354492
2020-09-15,26.733999252319336
2020-09-16,26.850000381469727
2020-09-17,26.69499969482422
2020-09-18,26.780000686645508
2020-09-21,26.709999084472656
2020-09-22,26.709999084472656
2020-09-23,26.21500015258789
2020-09-24,26.059999465942383
2020-09-25,26.920000076293945
2020-09-28,27.1299991607666
2020-09-29,27.110000610351562
2020-09-30,26.6200008392334
2020-10-01,27.3799991607666
2020-10-02,27.5
2020-10-05,27.06999969482422
2020-10-06,27.540000915527344
2020-10-07,27.739999771118164
2020-10-08,27.700000762939453
2020-10-09,27.540000915527344
2020-10-12,27.399999618530273
2020-10-13,27.600000381469727
2020-10-14,26.889999389648438
2020-10-15,27.15999984741211
2020-10-16,26.639999389648438
2020-10-19,26.579999923706055
2020-10-20,26.600000381469727
2020-10-21,26.40999984741211
2020-10-22,26.59000015258789
2020-10-23,26.90999984741211
2020-10-26,26.549999237060547
2020-10-27,26.420000076293945
2020-10-28,26.049999237060547
2020-10-29,26.299999237060547
2020-10-30,26.510000228881836
2020-11-02,26.6200008392334
2020-11-03,26.31999969482422
2020-11-04,27.010000228881836
2020-11-05,27.479999542236328
2020-11-06,27.31999969482422
2020-11-09,27.459999084472656
2020-11-10,27.0
2020-11-11,27.049999237060547
2020-11-12,26.979999542236328
2020-11-13,27.1299991607666
2020-11-16,27.850000381469727
2020-11-17,27.8700008392334
2020-11-18,27.780000686645508
2020-11-19,27.770000457763672
2020-11-20,27.979999542236328
2020-11-23,27.889999389648438
2020-11-24,28.0
2020-11-25,27.889999389648438
2020-11-27,27.979999542236328
2020-11-30,27.8799991607666
2020-12-01,27.8799991607666
2020-12-02,27.850000381469727
2020-12-03,27.84000015258789
2020-12-04,27.829999923706055
2020-12-07,28.010000228881836
2020-12-08,28.1200008392334
2020-12-09,28.34000015258789
2020-12-10,27.34000015258789
2020-12-11,27.149999618530273
2020-12-14,27.299999237060547
2020-12-15,27.549999237060547
2020-12-16,27.6200008392334
2020-12-17,27.790000915527344
2020-12-18,27.93000030517578
2020-12-21,27.929000854492188
2020-12-22,27.520000457763672
2020-12-23,27.469999313354492
2020-12-24,27.56999969482422
2020-12-28,27.489999771118164
2020-12-29,27.530000686645508
2020-12-30,27.610000610351562
2020-12-31,27.799999237060547
2021-01-04,27.450000762939453
2021-01-05,27.489999771118164
2021-01-06,27.200000762939453
2021-01-07,26.860000610351562
2021-01-08,26.979999542236328
2021-01-11,26.68000030517578
2021-01-12,26.6299991607666
2021-01-13,26.950000762939453
2021-01-14,27.049999237060547
2021-01-15,27.200000762939453
2021-01-19,27.270000457763672
2021-01-20,27.350000381469727
2021-01-21,27.260000228881836
2021-01-22,27.3799991607666
2021-01-25,27.579999923706055
2021-01-26,27.56999969482422
2021-01-27,27.110000610351562
2021-01-28,27.350000381469727
2021-01-29,27.020000457763672
2021-02-01,27.280000686645508
2021-02-02,27.68000030517578
2021-02-03,27.350000381469727
2021-02-04,27.700000762939453
2021-02-05,27.790000915527344
2021-02-08,27.68000030517578
2021-02-09,27.639999389648438
2021-02-10,27.479999542236328
2021-02-11,27.260000228881836
2021-02-12,27.040000915527344
2021-02-16,26.90999984741211
2021-02-17,26.84000015258789
2021-02-18,26.905000686645508
2021-02-19,26.799999237060547
2021-02-22,26.690000534057617
2021-02-23,26.68000030517578
2021-02-24,26.479999542236328
2021-02-25,26.309999465942383
2021-02-26,26.34000015258789
2021-03-01,26.600000381469727
2021-03-02,26.739999771118164
2021-03-03,26.65999984741211
2021-03-04,26.6200008392334
2021-03-05,26.75
2021-03-08,26.8700008392334
2021-03-09,26.829999923706055
2021-03-10,26.760000228881836
2021-03-11,26.809999465942383
2021-03-12,26.68000030517578
2021-03-15,27.040000915527344
2021-03-16,26.969999313354492
2021-03-17,27.010000228881836
2021-03-18,26.510000228881836
2021-03-19,26.63599967956543
2021-03-22,26.780000686645508
2021-03-23,26.701000213623047
2021-03-24,26.860000610351562
2021-03-25,26.760000228881836
2021-03-26,27.020000457763672
2021-03-29,26.790000915527344
2021-03-30,27.139999389648438
2021-03-31,27.469999313354492
2021-04-01,27.739999771118164
2021-04-05,27.829999923706055
2021-04-06,28.100000381469727
2021-04-07,27.829999923706055
2021-04-08,27.850000381469727
2021-04-09,27.860000610351562
2021-04-12,27.850000381469727
2021-04-13,27.799999237060547
2021-04-14,27.8799991607666
2021-04-15,27.860000610351562
2021-04-16,27.65999984741211
2021-04-19,27.469999313354492
2021-04-20,27.350000381469727
2021-04-21,27.329999923706055
2021-04-22,27.09000015258789
2021-04-23,27.25
2021-04-26,27.389999389648438
2021-04-27,27.299999237060547
2021-04-28,27.299999237060547
2021-04-29,27.290000915527344
2021-04-30,26.940000534057617
2021-05-03,27.219999313354492
2021-05-04,27.309999465942383
2021-05-05,27.399999618530273
2021-05-06,27.40999984741211
2021-05-07,27.700000762939453
2021-05-10,27.530000686645508
2021-05-11,27.200000762939453
2021-05-12,27.06999969482422
2021-05-13,27.100000381469727
2021-05-14,27.149999618530273
