,AGNCM
2020-01-02,25.889999389648438
2020-01-03,25.889999389648438
2020-01-06,25.899999618530273
2020-01-07,25.860000610351562
2020-01-08,25.950000762939453
2020-01-09,25.989999771118164
2020-01-10,26.030000686645508
2020-01-13,26.01099967956543
2020-01-14,26.049999237060547
2020-01-15,26.040000915527344
2020-01-16,26.020000457763672
2020-01-17,26.040000915527344
2020-01-21,25.979000091552734
2020-01-22,25.989999771118164
2020-01-23,25.940000534057617
2020-01-24,25.989999771118164
2020-01-27,25.988000869750977
2020-01-28,25.829999923706055
2020-01-29,25.940000534057617
2020-01-30,26.0
2020-01-31,26.1200008392334
2020-02-03,26.1299991607666
2020-02-04,26.06999969482422
2020-02-05,26.100000381469727
2020-02-06,26.079999923706055
2020-02-07,26.100000381469727
2020-02-10,26.059999465942383
2020-02-11,25.950000762939453
2020-02-12,26.079999923706055
2020-02-13,26.09000015258789
2020-02-14,26.100000381469727
2020-02-18,26.100000381469727
2020-02-19,26.06999969482422
2020-02-20,26.1299991607666
2020-02-21,26.020000457763672
2020-02-24,25.829999923706055
2020-02-25,25.81999969482422
2020-02-26,25.959999084472656
2020-02-27,25.700000762939453
2020-02-28,25.100000381469727
2020-03-02,25.299999237060547
2020-03-03,25.299999237060547
2020-03-04,25.75
2020-03-05,25.399999618530273
2020-03-06,25.020000457763672
2020-03-09,24.350000381469727
2020-03-10,23.579999923706055
2020-03-11,22.389999389648438
2020-03-12,19.350000381469727
2020-03-13,20.700000762939453
2020-03-16,18.799999237060547
2020-03-17,17.260000228881836
2020-03-18,11.5
2020-03-19,16.299999237060547
2020-03-20,15.84000015258789
2020-03-23,14.989999771118164
2020-03-24,16.0
2020-03-25,17.760000228881836
2020-03-26,20.25
2020-03-27,20.726999282836914
2020-03-30,19.610000610351562
2020-03-31,18.790000915527344
2020-04-01,17.489999771118164
2020-04-02,18.34000015258789
2020-04-03,18.829999923706055
2020-04-06,21.06999969482422
2020-04-07,21.0
2020-04-08,22.25
2020-04-09,22.360000610351562
2020-04-13,21.350000381469727
2020-04-14,21.329999923706055
2020-04-15,20.6299991607666
2020-04-16,21.100000381469727
2020-04-17,21.90999984741211
2020-04-20,21.8700008392334
2020-04-21,22.190000534057617
2020-04-22,21.510000228881836
2020-04-23,21.399999618530273
2020-04-24,21.170000076293945
2020-04-27,21.420000076293945
2020-04-28,21.709999084472656
2020-04-29,22.299999237060547
2020-04-30,22.209999084472656
2020-05-01,22.31999969482422
2020-05-04,22.18000030517578
2020-05-05,22.1299991607666
2020-05-06,22.260000228881836
2020-05-07,22.559999465942383
2020-05-08,22.770000457763672
2020-05-11,22.56999969482422
2020-05-12,22.170000076293945
2020-05-13,21.719999313354492
2020-05-14,21.719999313354492
2020-05-15,21.889999389648438
2020-05-18,22.200000762939453
2020-05-19,22.219999313354492
2020-05-20,22.31999969482422
2020-05-21,22.389999389648438
2020-05-22,22.700000762939453
2020-05-26,22.559999465942383
