,CYTK
2006-09-11,40.619998931884766
2006-09-12,42.0
2006-09-13,43.20000076293945
2006-09-14,41.939998626708984
2006-09-15,41.099998474121094
2006-09-18,41.63999938964844
2006-09-19,39.29999923706055
2006-09-20,39.65999984741211
2006-09-21,37.08000183105469
2006-09-22,37.2599983215332
2006-09-25,38.040000915527344
2006-09-26,39.119998931884766
2006-09-27,38.459999084472656
2006-09-28,39.36000061035156
2006-09-29,38.58000183105469
2006-10-02,38.099998474121094
2006-10-03,37.2599983215332
2006-10-04,39.900001525878906
2006-10-05,40.08000183105469
2006-10-06,39.779998779296875
2006-10-09,39.29999923706055
2006-10-10,39.779998779296875
2006-10-11,39.119998931884766
2006-10-12,40.91999816894531
2006-10-13,41.15999984741211
2006-10-16,40.20000076293945
2006-10-17,40.20000076293945
2006-10-18,40.13999938964844
2006-10-19,42.119998931884766
2006-10-20,42.84000015258789
2006-10-23,42.540000915527344
2006-10-24,42.2400016784668
2006-10-25,42.0
2006-10-26,42.779998779296875
2006-10-27,43.08000183105469
2006-10-30,44.15999984741211
2006-10-31,43.7400016784668
2006-11-01,43.7400016784668
2006-11-02,42.65999984741211
2006-11-03,42.47999954223633
2006-11-06,42.599998474121094
2006-11-07,45.36000061035156
2006-11-08,42.779998779296875
2006-11-09,44.040000915527344
2006-11-10,43.86000061035156
2006-11-13,44.939998626708984
2006-11-14,47.939998626708984
2006-11-15,46.13999938964844
2006-11-16,45.29999923706055
2006-11-17,46.439998626708984
2006-11-20,46.5
2006-11-21,46.619998931884766
2006-11-22,46.619998931884766
2006-11-24,45.720001220703125
2006-11-27,43.7400016784668
2006-11-28,41.939998626708984
2006-11-29,44.880001068115234
2006-11-30,45.18000030517578
2006-12-01,44.63999938964844
2006-12-04,45.779998779296875
2006-12-05,45.29999923706055
2006-12-06,44.7599983215332
2006-12-07,44.459999084472656
2006-12-08,43.86000061035156
2006-12-11,42.84000015258789
2006-12-12,43.02000045776367
2006-12-13,42.0
2006-12-14,41.63999938964844
2006-12-15,40.97999954223633
2006-12-18,39.41999816894531
2006-12-19,40.31999969482422
2006-12-20,39.720001220703125
2006-12-21,40.68000030517578
2006-12-22,42.0
2006-12-26,42.36000061035156
2006-12-27,44.040000915527344
2006-12-28,43.560001373291016
2006-12-29,44.880001068115234
2007-01-03,50.040000915527344
2007-01-04,47.7599983215332
2007-01-05,47.15999984741211
2007-01-08,47.63999938964844
2007-01-09,49.86000061035156
2007-01-10,50.220001220703125
2007-01-11,50.400001525878906
2007-01-12,50.099998474121094
2007-01-16,50.040000915527344
2007-01-17,49.619998931884766
2007-01-18,48.720001220703125
2007-01-19,49.380001068115234
2007-01-22,48.41999816894531
2007-01-23,48.29999923706055
2007-01-24,48.779998779296875
2007-01-25,47.58000183105469
2007-01-26,48.47999954223633
2007-01-29,48.36000061035156
2007-01-30,50.15999984741211
2007-01-31,47.459999084472656
2007-02-01,47.220001220703125
2007-02-02,48.2400016784668
2007-02-05,48.0
2007-02-06,48.540000915527344
2007-02-07,48.84000015258789
2007-02-08,48.0
2007-02-09,48.0
2007-02-12,49.02000045776367
2007-02-13,47.939998626708984
2007-02-14,47.400001525878906
2007-02-15,47.099998474121094
2007-02-16,47.81999969482422
2007-02-20,48.900001525878906
2007-02-21,48.65999984741211
2007-02-22,51.599998474121094
2007-02-23,50.52000045776367
2007-02-26,50.880001068115234
2007-02-27,48.47999954223633
2007-02-28,46.619998931884766
2007-03-01,46.08000183105469
2007-03-02,42.540000915527344
2007-03-05,41.81999969482422
2007-03-06,43.91999816894531
2007-03-07,42.779998779296875
2007-03-08,42.36000061035156
2007-03-09,42.47999954223633
2007-03-12,45.060001373291016
2007-03-13,41.15999984741211
2007-03-14,40.86000061035156
2007-03-15,41.34000015258789
2007-03-16,39.36000061035156
2007-03-19,40.91999816894531
2007-03-20,41.58000183105469
2007-03-21,41.040000915527344
2007-03-22,42.720001220703125
2007-03-23,42.41999816894531
2007-03-26,42.119998931884766
2007-03-27,39.720001220703125
2007-03-28,43.91999816894531
2007-03-29,41.7599983215332
2007-03-30,41.7599983215332
2007-04-02,41.52000045776367
2007-04-03,44.279998779296875
2007-04-04,42.119998931884766
2007-04-05,43.5
2007-04-09,41.52000045776367
2007-04-10,41.099998474121094
2007-04-11,39.900001525878906
2007-04-12,40.91999816894531
2007-04-13,41.70000076293945
2007-04-16,40.7400016784668
2007-04-17,39.959999084472656
2007-04-18,40.5
2007-04-19,40.5
2007-04-20,40.68000030517578
2007-04-23,40.439998626708984
2007-04-24,40.31999969482422
2007-04-25,40.02000045776367
2007-04-26,40.5
2007-04-27,42.540000915527344
2007-04-30,39.65999984741211
2007-05-01,40.619998931884766
2007-05-02,42.29999923706055
2007-05-03,42.65999984741211
2007-05-04,43.2599983215332
2007-05-07,44.220001220703125
2007-05-08,41.58000183105469
2007-05-09,42.540000915527344
2007-05-10,39.65999984741211
2007-05-11,39.599998474121094
2007-05-14,39.18000030517578
2007-05-15,39.119998931884766
2007-05-16,39.41999816894531
2007-05-17,39.36000061035156
2007-05-18,40.560001373291016
2007-05-21,39.779998779296875
2007-05-22,40.439998626708984
2007-05-23,40.20000076293945
2007-05-24,39.29999923706055
2007-05-25,39.18000030517578
2007-05-29,39.0
2007-05-30,40.02000045776367
2007-05-31,40.02000045776367
2007-06-01,39.599998474121094
2007-06-04,39.060001373291016
2007-06-05,39.599998474121094
2007-06-06,39.0
2007-06-07,39.41999816894531
2007-06-08,39.0
2007-06-11,39.2400016784668
2007-06-12,38.880001068115234
2007-06-13,38.15999984741211
2007-06-14,38.040000915527344
2007-06-15,38.939998626708984
2007-06-18,39.060001373291016
2007-06-19,38.81999969482422
2007-06-20,36.36000061035156
2007-06-21,36.540000915527344
2007-06-22,35.880001068115234
2007-06-25,36.36000061035156
2007-06-26,37.380001068115234
2007-06-27,38.34000015258789
2007-06-28,37.68000030517578
2007-06-29,33.900001525878906
2007-07-02,34.31999969482422
2007-07-03,34.2599983215332
2007-07-05,34.619998931884766
2007-07-06,34.20000076293945
2007-07-09,34.439998626708984
2007-07-10,33.65999984741211
2007-07-11,32.81999969482422
2007-07-12,32.7599983215332
2007-07-13,32.70000076293945
2007-07-16,32.279998779296875
2007-07-17,33.060001373291016
2007-07-18,32.939998626708984
2007-07-19,32.63999938964844
2007-07-20,31.020000457763672
2007-07-23,31.799999237060547
2007-07-24,31.739999771118164
2007-07-25,32.459999084472656
2007-07-26,31.3799991607666
2007-07-27,30.540000915527344
2007-07-30,28.799999237060547
2007-07-31,30.0
2007-08-01,31.139999389648438
2007-08-02,30.360000610351562
2007-08-03,29.81999969482422
2007-08-06,29.940000534057617
2007-08-07,31.139999389648438
2007-08-08,30.18000030517578
2007-08-09,29.280000686645508
2007-08-10,30.780000686645508
2007-08-13,30.360000610351562
2007-08-14,30.780000686645508
2007-08-15,27.479999542236328
2007-08-16,28.440000534057617
2007-08-17,28.079999923706055
2007-08-20,28.3799991607666
2007-08-21,29.700000762939453
2007-08-22,30.84000015258789
2007-08-23,31.799999237060547
2007-08-24,31.260000228881836
2007-08-27,31.31999969482422
2007-08-28,30.18000030517578
2007-08-29,31.200000762939453
2007-08-30,30.360000610351562
2007-08-31,29.280000686645508
2007-09-04,29.520000457763672
2007-09-05,29.15999984741211
2007-09-06,30.479999542236328
2007-09-07,30.360000610351562
2007-09-10,27.65999984741211
2007-09-11,29.81999969482422
2007-09-12,28.860000610351562
2007-09-13,28.979999542236328
