,FIVN
2017-05-05,20.56999969482422
2017-05-08,20.530000686645508
2017-05-09,20.520000457763672
2017-05-10,20.989999771118164
2017-05-11,22.040000915527344
2017-05-12,21.8799991607666
2017-05-15,21.799999237060547
2017-05-16,21.84000015258789
2017-05-17,20.860000610351562
2017-05-18,21.239999771118164
2017-05-19,21.579999923706055
2017-05-22,21.850000381469727
2017-05-23,21.3799991607666
2017-05-24,21.549999237060547
2017-05-25,21.84000015258789
2017-05-26,21.780000686645508
2017-05-30,22.229999542236328
2017-05-31,22.469999313354492
2017-06-01,23.520000457763672
2017-06-02,24.31999969482422
2017-06-05,24.309999465942383
2017-06-06,24.229999542236328
2017-06-07,24.1299991607666
2017-06-08,24.350000381469727
2017-06-09,21.56999969482422
2017-06-12,21.09000015258789
2017-06-13,21.100000381469727
2017-06-14,21.760000228881836
2017-06-15,22.1299991607666
2017-06-16,23.100000381469727
2017-06-19,23.06999969482422
2017-06-20,22.40999984741211
2017-06-21,22.290000915527344
2017-06-22,22.729999542236328
2017-06-23,23.09000015258789
2017-06-26,22.610000610351562
2017-06-27,21.969999313354492
2017-06-28,22.329999923706055
2017-06-29,21.139999389648438
2017-06-30,21.520000457763672
2017-07-03,21.219999313354492
2017-07-05,21.56999969482422
2017-07-06,21.219999313354492
2017-07-07,21.649999618530273
2017-07-10,21.68000030517578
2017-07-11,21.610000610351562
2017-07-12,22.510000228881836
2017-07-13,21.829999923706055
2017-07-14,21.81999969482422
2017-07-17,21.969999313354492
2017-07-18,22.049999237060547
2017-07-19,22.520000457763672
2017-07-20,22.43000030517578
2017-07-21,22.459999084472656
2017-07-24,22.440000534057617
2017-07-25,22.34000015258789
2017-07-26,22.639999389648438
2017-07-27,22.049999237060547
2017-07-28,22.229999542236328
2017-07-31,22.059999465942383
2017-08-01,22.200000762939453
2017-08-02,21.389999389648438
2017-08-03,21.3799991607666
2017-08-04,21.1200008392334
2017-08-07,21.165000915527344
2017-08-08,20.969999313354492
2017-08-09,21.8799991607666
2017-08-10,20.5
2017-08-11,20.84000015258789
2017-08-14,21.149999618530273
2017-08-15,20.969999313354492
2017-08-16,20.600000381469727
2017-08-17,19.93000030517578
2017-08-18,20.420000076293945
2017-08-21,20.3799991607666
2017-08-22,21.209999084472656
2017-08-23,21.780000686645508
2017-08-24,21.010000228881836
2017-08-25,20.760000228881836
2017-08-28,20.75
2017-08-29,20.979999542236328
2017-08-30,21.600000381469727
2017-08-31,21.5
2017-09-01,21.139999389648438
2017-09-05,21.450000762939453
2017-09-06,21.239999771118164
2017-09-07,21.690000534057617
2017-09-08,21.530000686645508
2017-09-11,21.90999984741211
2017-09-12,21.700000762939453
2017-09-13,21.809999465942383
2017-09-14,22.540000915527344
2017-09-15,22.139999389648438
2017-09-18,21.860000610351562
2017-09-19,22.170000076293945
2017-09-20,22.030000686645508
2017-09-21,22.010000228881836
2017-09-22,22.40999984741211
2017-09-25,22.010000228881836
2017-09-26,21.489999771118164
2017-09-27,23.040000915527344
2017-09-28,23.40999984741211
2017-09-29,23.899999618530273
2017-10-02,24.719999313354492
2017-10-03,25.110000610351562
2017-10-04,25.280000686645508
2017-10-05,25.270000457763672
2017-10-06,25.540000915527344
2017-10-09,25.540000915527344
2017-10-10,25.43000030517578
2017-10-11,25.299999237060547
2017-10-12,25.1200008392334
2017-10-13,25.049999237060547
2017-10-16,24.540000915527344
2017-10-17,24.440000534057617
2017-10-18,24.850000381469727
2017-10-19,24.899999618530273
2017-10-20,24.780000686645508
2017-10-23,24.59000015258789
2017-10-24,24.530000686645508
2017-10-25,24.260000228881836
2017-10-26,24.389999389648438
2017-10-27,24.860000610351562
2017-10-30,24.760000228881836
2017-10-31,25.229999542236328
2017-11-01,24.889999389648438
2017-11-02,25.1200008392334
2017-11-03,25.219999313354492
