,BAB
2017-09-29,30.3799991607666
2017-10-02,30.34000015258789
2017-10-03,30.389999389648438
2017-10-04,30.350000381469727
2017-10-05,30.3799991607666
2017-10-06,30.34000015258789
2017-10-09,30.34000015258789
2017-10-10,30.3799991607666
2017-10-11,30.40999984741211
2017-10-12,30.5
2017-10-13,30.610000610351562
2017-10-16,30.610000610351562
2017-10-17,30.610000610351562
2017-10-18,30.530000686645508
2017-10-19,30.530000686645508
2017-10-20,30.43000030517578
2017-10-23,30.389999389648438
2017-10-24,30.309999465942383
2017-10-25,30.170000076293945
2017-10-26,30.18000030517578
2017-10-27,30.200000762939453
2017-10-30,30.389999389648438
2017-10-31,30.459999084472656
2017-11-01,30.469999313354492
2017-11-02,30.530000686645508
2017-11-03,30.610000610351562
2017-11-06,30.68000030517578
2017-11-07,30.649999618530273
2017-11-08,30.540000915527344
2017-11-09,30.56999969482422
2017-11-10,30.399999618530273
2017-11-13,30.40999984741211
2017-11-14,30.510000228881836
2017-11-15,30.559999465942383
2017-11-16,30.56999969482422
2017-11-17,30.5
2017-11-20,30.530000686645508
2017-11-21,30.600000381469727
2017-11-22,30.670000076293945
2017-11-24,30.639999389648438
2017-11-27,30.670000076293945
2017-11-28,30.530000686645508
2017-11-29,30.479999542236328
2017-11-30,30.440000534057617
2017-12-01,30.559999465942383
2017-12-04,30.59000015258789
2017-12-05,30.65999984741211
2017-12-06,30.75
2017-12-07,30.65999984741211
2017-12-08,30.6299991607666
2017-12-11,30.59000015258789
2017-12-12,30.559999465942383
2017-12-13,30.739999771118164
2017-12-14,30.700000762939453
2017-12-15,30.760000228881836
2017-12-18,30.68000030517578
2017-12-19,30.450000762939453
2017-12-20,30.389999389648438
2017-12-21,30.389999389648438
2017-12-22,30.440000534057617
2017-12-26,30.459999084472656
2017-12-27,30.65999984741211
2017-12-28,30.600000381469727
2017-12-29,30.690000534057617
2018-01-02,30.559999465942383
2018-01-03,30.559999465942383
2018-01-04,30.549999237060547
2018-01-05,30.530000686645508
2018-01-08,30.549999237060547
2018-01-09,30.3700008392334
2018-01-10,30.290000915527344
2018-01-11,30.34000015258789
2018-01-12,30.350000381469727
2018-01-16,30.3700008392334
2018-01-17,30.350000381469727
2018-01-18,30.239999771118164
2018-01-19,30.18000030517578
2018-01-22,30.040000915527344
2018-01-23,30.059999465942383
2018-01-24,30.020000457763672
2018-01-25,30.110000610351562
2018-01-26,30.049999237060547
2018-01-29,29.969999313354492
2018-01-30,29.889999389648438
2018-01-31,29.920000076293945
2018-02-01,29.75
2018-02-02,29.670000076293945
2018-02-05,29.920000076293945
2018-02-06,29.8700008392334
2018-02-07,29.649999618530273
2018-02-08,29.59000015258789
2018-02-09,29.540000915527344
2018-02-12,29.579999923706055
2018-02-13,29.690000534057617
2018-02-14,29.5
2018-02-15,29.559999465942383
2018-02-16,29.600000381469727
2018-02-20,29.459999084472656
2018-02-21,29.34000015258789
2018-02-22,29.399999618530273
2018-02-23,29.5
2018-02-26,29.510000228881836
2018-02-27,29.479999542236328
2018-02-28,29.540000915527344
2018-03-01,29.700000762939453
2018-03-02,29.520000457763672
2018-03-05,29.5
2018-03-06,29.579999923706055
2018-03-07,29.530000686645508
2018-03-08,29.610000610351562
2018-03-09,29.530000686645508
2018-03-12,29.6299991607666
2018-03-13,29.68000030517578
2018-03-14,29.790000915527344
2018-03-15,29.770000457763672
2018-03-16,29.729999542236328
2018-03-19,29.610000610351562
2018-03-20,29.5
2018-03-21,29.489999771118164
2018-03-22,29.670000076293945
2018-03-23,29.68000030517578
2018-03-26,29.6299991607666
2018-03-27,29.75
2018-03-28,29.90999984741211
2018-03-29,30.1299991607666
2018-04-02,30.1200008392334
2018-04-03,30.010000228881836
2018-04-04,29.969999313354492
2018-04-05,29.8799991607666
2018-04-06,30.0
2018-04-09,30.020000457763672
2018-04-10,29.959999084472656
2018-04-11,30.0
2018-04-12,29.969999313354492
2018-04-13,29.989999771118164
2018-04-16,29.989999771118164
2018-04-17,30.06999969482422
2018-04-18,29.920000076293945
2018-04-19,29.760000228881836
2018-04-20,29.700000762939453
2018-04-23,29.600000381469727
2018-04-24,29.600000381469727
2018-04-25,29.459999084472656
2018-04-26,29.530000686645508
2018-04-27,29.510000228881836
2018-04-30,29.65999984741211
2018-05-01,29.600000381469727
2018-05-02,29.649999618530273
2018-05-03,29.6200008392334
