,BECN
2011-02-14,21.579999923706055
2011-02-15,21.3700008392334
2011-02-16,21.440000534057617
2011-02-17,21.459999084472656
2011-02-18,21.489999771118164
2011-02-22,20.399999618530273
2011-02-23,20.34000015258789
2011-02-24,20.270000457763672
2011-02-25,20.56999969482422
2011-02-28,21.209999084472656
2011-03-01,20.549999237060547
2011-03-02,20.8700008392334
2011-03-03,21.469999313354492
2011-03-04,21.100000381469727
2011-03-07,20.65999984741211
2011-03-08,21.049999237060547
2011-03-09,20.920000076293945
2011-03-10,20.549999237060547
2011-03-11,20.399999618530273
2011-03-14,20.239999771118164
2011-03-15,20.110000610351562
2011-03-16,19.6299991607666
2011-03-17,19.790000915527344
2011-03-18,20.540000915527344
2011-03-21,20.8700008392334
2011-03-22,20.639999389648438
2011-03-23,20.510000228881836
2011-03-24,20.440000534057617
2011-03-25,20.600000381469727
2011-03-28,20.329999923706055
2011-03-29,20.469999313354492
2011-03-30,20.59000015258789
2011-03-31,20.469999313354492
2011-04-01,21.0
2011-04-04,21.06999969482422
2011-04-05,21.329999923706055
2011-04-06,21.190000534057617
2011-04-07,21.299999237060547
2011-04-08,21.450000762939453
2011-04-11,21.600000381469727
2011-04-12,21.860000610351562
2011-04-13,22.020000457763672
2011-04-14,21.600000381469727
2011-04-15,21.760000228881836
2011-04-18,21.510000228881836
2011-04-19,21.510000228881836
2011-04-20,21.75
2011-04-21,21.739999771118164
2011-04-25,21.75
2011-04-26,21.93000030517578
2011-04-27,22.079999923706055
2011-04-28,22.399999618530273
2011-04-29,22.31999969482422
2011-05-02,21.719999313354492
2011-05-03,21.350000381469727
2011-05-04,20.600000381469727
2011-05-05,20.489999771118164
2011-05-06,20.829999923706055
2011-05-09,20.09000015258789
2011-05-10,20.40999984741211
2011-05-11,20.149999618530273
2011-05-12,20.170000076293945
2011-05-13,19.8700008392334
2011-05-16,19.68000030517578
2011-05-17,19.350000381469727
2011-05-18,20.15999984741211
2011-05-19,20.549999237060547
2011-05-20,21.219999313354492
2011-05-23,20.899999618530273
2011-05-24,21.170000076293945
2011-05-25,20.989999771118164
2011-05-26,21.3700008392334
2011-05-27,21.559999465942383
2011-05-31,21.90999984741211
2011-06-01,20.950000762939453
2011-06-02,20.860000610351562
2011-06-03,20.469999313354492
2011-06-06,20.280000686645508
2011-06-07,20.229999542236328
2011-06-08,20.079999923706055
2011-06-09,20.350000381469727
2011-06-10,20.049999237060547
2011-06-13,20.190000534057617
2011-06-14,21.389999389648438
2011-06-15,21.219999313354492
2011-06-16,21.1200008392334
2011-06-17,21.469999313354492
2011-06-20,21.68000030517578
2011-06-21,22.610000610351562
2011-06-22,22.440000534057617
2011-06-23,22.3700008392334
2011-06-24,22.209999084472656
2011-06-27,22.239999771118164
2011-06-28,22.790000915527344
2011-06-29,22.440000534057617
2011-06-30,22.81999969482422
2011-07-01,23.1200008392334
2011-07-05,23.239999771118164
2011-07-06,23.100000381469727
2011-07-07,23.079999923706055
2011-07-08,22.329999923706055
2011-07-11,21.700000762939453
2011-07-12,21.420000076293945
2011-07-13,21.719999313354492
2011-07-14,21.549999237060547
2011-07-15,21.559999465942383
2011-07-18,21.25
2011-07-19,22.09000015258789
2011-07-20,22.209999084472656
2011-07-21,22.780000686645508
2011-07-22,22.290000915527344
2011-07-25,21.68000030517578
2011-07-26,21.299999237060547
2011-07-27,20.479999542236328
2011-07-28,21.239999771118164
2011-07-29,21.3799991607666
2011-08-01,20.670000076293945
2011-08-02,20.049999237060547
2011-08-03,19.780000686645508
2011-08-04,18.270000457763672
2011-08-05,17.93000030517578
2011-08-08,17.219999313354492
2011-08-09,16.75
2011-08-10,15.149999618530273
2011-08-11,15.630000114440918
2011-08-12,16.010000228881836
2011-08-15,16.15999984741211
2011-08-16,15.949999809265137
2011-08-17,16.200000762939453
2011-08-18,15.5
2011-08-19,14.890000343322754
2011-08-22,15.239999771118164
2011-08-23,16.270000457763672
2011-08-24,17.100000381469727
2011-08-25,17.670000076293945
2011-08-26,18.18000030517578
2011-08-29,19.040000915527344
2011-08-30,19.010000228881836
2011-08-31,18.559999465942383
2011-09-01,17.959999084472656
2011-09-02,17.079999923706055
2011-09-06,17.459999084472656
2011-09-07,18.200000762939453
2011-09-08,17.549999237060547
2011-09-09,17.5
2011-09-12,17.739999771118164
2011-09-13,17.989999771118164
2011-09-14,18.489999771118164
2011-09-15,18.829999923706055
2011-09-16,18.489999771118164
2011-09-19,17.93000030517578
2011-09-20,17.649999618530273
2011-09-21,17.440000534057617
2011-09-22,15.970000267028809
2011-09-23,15.800000190734863
2011-09-26,15.949999809265137
2011-09-27,16.639999389648438
2011-09-28,16.290000915527344
2011-09-29,16.34000015258789
2011-09-30,15.989999771118164
2011-10-03,15.34000015258789
2011-10-04,16.5
2011-10-05,16.399999618530273
2011-10-06,16.790000915527344
2011-10-07,16.329999923706055
2011-10-10,16.860000610351562
2011-10-11,16.8799991607666
2011-10-12,17.219999313354492
2011-10-13,17.040000915527344
2011-10-14,17.149999618530273
2011-10-17,16.469999313354492
2011-10-18,17.190000534057617
2011-10-19,16.43000030517578
2011-10-20,16.649999618530273
2011-10-21,17.040000915527344
2011-10-24,17.719999313354492
2011-10-25,17.049999237060547
2011-10-26,17.420000076293945
2011-10-27,18.290000915527344
2011-10-28,18.469999313354492
2011-10-31,18.43000030517578
2011-11-01,17.6299991607666
2011-11-02,17.940000534057617
2011-11-03,18.770000457763672
2011-11-04,18.350000381469727
2011-11-07,18.760000228881836
2011-11-08,18.790000915527344
2011-11-09,18.139999389648438
2011-11-10,18.559999465942383
2011-11-11,19.59000015258789
2011-11-14,19.440000534057617
2011-11-15,19.639999389648438
2011-11-16,19.209999084472656
2011-11-17,18.959999084472656
2011-11-18,18.719999313354492
2011-11-21,18.479999542236328
2011-11-22,18.280000686645508
2011-11-23,18.190000534057617
2011-11-25,18.149999618530273
2011-11-28,19.459999084472656
2011-11-29,18.540000915527344
2011-11-30,19.530000686645508
2011-12-01,19.3799991607666
2011-12-02,19.219999313354492
2011-12-05,19.280000686645508
2011-12-06,19.350000381469727
2011-12-07,19.15999984741211
2011-12-08,18.6299991607666
2011-12-09,18.850000381469727
2011-12-12,18.559999465942383
2011-12-13,18.040000915527344
2011-12-14,17.40999984741211
2011-12-15,18.3799991607666
2011-12-16,18.790000915527344
2011-12-19,18.739999771118164
2011-12-20,19.700000762939453
2011-12-21,20.040000915527344
2011-12-22,20.459999084472656
2011-12-23,20.559999465942383
2011-12-27,20.84000015258789
2011-12-28,20.280000686645508
2011-12-29,20.260000228881836
2011-12-30,20.229999542236328
2012-01-03,20.84000015258789
2012-01-04,20.5
2012-01-05,20.989999771118164
2012-01-06,21.030000686645508
2012-01-09,21.139999389648438
2012-01-10,21.809999465942383
2012-01-11,22.1299991607666
2012-01-12,22.360000610351562
2012-01-13,21.770000457763672
2012-01-17,21.559999465942383
2012-01-18,22.329999923706055
2012-01-19,22.459999084472656
2012-01-20,22.469999313354492
2012-01-23,22.3700008392334
2012-01-24,22.579999923706055
2012-01-25,23.110000610351562
2012-01-26,22.969999313354492
2012-01-27,23.719999313354492
2012-01-30,23.06999969482422
2012-01-31,22.8700008392334
2012-02-01,22.920000076293945
2012-02-02,23.549999237060547
2012-02-03,24.3700008392334
2012-02-06,23.5
2012-02-07,23.6200008392334
2012-02-08,23.670000076293945
2012-02-09,24.25
2012-02-10,23.459999084472656
2012-02-13,24.06999969482422
2012-02-14,23.579999923706055
2012-02-15,23.40999984741211
2012-02-16,23.940000534057617
2012-02-17,23.829999923706055
2012-02-21,23.770000457763672
2012-02-22,23.170000076293945
2012-02-23,24.020000457763672
2012-02-24,23.5
2012-02-27,23.690000534057617
2012-02-28,23.600000381469727
2012-02-29,23.579999923706055
2012-03-01,23.40999984741211
2012-03-02,22.93000030517578
2012-03-05,23.3700008392334
2012-03-06,23.0
2012-03-07,23.610000610351562
2012-03-08,23.8799991607666
2012-03-09,24.709999084472656
2012-03-12,24.40999984741211
2012-03-13,25.40999984741211
2012-03-14,24.979999542236328
2012-03-15,25.549999237060547
2012-03-16,25.3799991607666
2012-03-19,25.200000762939453
2012-03-20,24.670000076293945
2012-03-21,24.8700008392334
2012-03-22,25.309999465942383
2012-03-23,25.59000015258789
2012-03-26,26.489999771118164
2012-03-27,26.93000030517578
2012-03-28,26.6299991607666
2012-03-29,26.110000610351562
2012-03-30,25.760000228881836
2012-04-02,25.940000534057617
2012-04-03,25.649999618530273
2012-04-04,25.110000610351562
2012-04-05,25.40999984741211
2012-04-09,24.950000762939453
2012-04-10,24.729999542236328
2012-04-11,24.969999313354492
2012-04-12,25.239999771118164
2012-04-13,25.219999313354492
2012-04-16,25.56999969482422
2012-04-17,26.030000686645508
2012-04-18,25.93000030517578
2012-04-19,25.170000076293945
2012-04-20,25.280000686645508
2012-04-23,24.649999618530273
2012-04-24,25.760000228881836
2012-04-25,26.270000457763672
2012-04-26,26.670000076293945
2012-04-27,27.290000915527344
2012-04-30,26.690000534057617
2012-05-01,26.84000015258789
2012-05-02,27.200000762939453
2012-05-03,26.3700008392334
2012-05-04,25.889999389648438
2012-05-07,26.290000915527344
2012-05-08,26.270000457763672
2012-05-09,25.889999389648438
2012-05-10,25.25
2012-05-11,25.440000534057617
2012-05-14,25.270000457763672
2012-05-15,24.969999313354492
2012-05-16,25.530000686645508
2012-05-17,24.350000381469727
2012-05-18,24.200000762939453
2012-05-21,24.5
2012-05-22,24.90999984741211
2012-05-23,25.389999389648438
2012-05-24,25.239999771118164
2012-05-25,24.3799991607666
2012-05-29,26.1299991607666
2012-05-30,25.530000686645508
2012-05-31,24.850000381469727
2012-06-01,23.489999771118164
2012-06-04,22.93000030517578
2012-06-05,23.540000915527344
2012-06-06,23.639999389648438
2012-06-07,23.90999984741211
2012-06-08,24.799999237060547
2012-06-11,24.190000534057617
2012-06-12,24.079999923706055
2012-06-13,24.020000457763672
2012-06-14,24.8799991607666
2012-06-15,25.190000534057617
2012-06-18,25.6200008392334
2012-06-19,26.229999542236328
2012-06-20,26.18000030517578
2012-06-21,25.290000915527344
2012-06-22,25.079999923706055
2012-06-25,24.780000686645508
2012-06-26,24.049999237060547
2012-06-27,24.030000686645508
2012-06-28,24.15999984741211
2012-06-29,25.219999313354492
2012-07-02,25.290000915527344
2012-07-03,25.889999389648438
2012-07-05,26.209999084472656
2012-07-06,26.110000610351562
2012-07-09,26.670000076293945
2012-07-10,27.200000762939453
2012-07-11,27.260000228881836
2012-07-12,26.860000610351562
2012-07-13,27.040000915527344
2012-07-16,26.540000915527344
2012-07-17,27.139999389648438
2012-07-18,27.510000228881836
2012-07-19,27.610000610351562
2012-07-20,26.979999542236328
2012-07-23,27.0
2012-07-24,26.049999237060547
2012-07-25,25.309999465942383
2012-07-26,25.290000915527344
2012-07-27,25.790000915527344
2012-07-30,25.950000762939453
2012-07-31,26.510000228881836
2012-08-01,24.09000015258789
2012-08-02,24.3799991607666
2012-08-03,24.700000762939453
2012-08-06,24.780000686645508
2012-08-07,25.350000381469727
2012-08-08,25.399999618530273
2012-08-09,25.65999984741211
2012-08-10,26.0
2012-08-13,26.079999923706055
2012-08-14,26.5
2012-08-15,26.540000915527344
2012-08-16,27.020000457763672
2012-08-17,27.610000610351562
2012-08-20,28.020000457763672
2012-08-21,28.030000686645508
2012-08-22,27.739999771118164
2012-08-23,27.3799991607666
2012-08-24,27.8700008392334
2012-08-27,27.770000457763672
2012-08-28,27.829999923706055
2012-08-29,27.850000381469727
2012-08-30,28.18000030517578
2012-08-31,28.139999389648438
2012-09-04,27.739999771118164
2012-09-05,27.6200008392334
2012-09-06,28.190000534057617
2012-09-07,28.350000381469727
2012-09-10,28.780000686645508
2012-09-11,28.989999771118164
2012-09-12,29.799999237060547
