,DBX
2020-02-14,18.530000686645508
2020-02-18,18.389999389648438
2020-02-19,18.31999969482422
2020-02-20,18.71500015258789
2020-02-21,22.450000762939453
2020-02-24,21.760000228881836
2020-02-25,20.639999389648438
2020-02-26,19.8799991607666
2020-02-27,19.329999923706055
2020-02-28,19.559999465942383
2020-03-02,19.290000915527344
2020-03-03,19.315000534057617
2020-03-04,19.799999237060547
2020-03-05,19.34000015258789
2020-03-06,19.40999984741211
2020-03-09,17.670000076293945
2020-03-10,17.389999389648438
2020-03-11,16.15999984741211
2020-03-12,15.6899995803833
2020-03-13,18.350000381469727
2020-03-16,16.079999923706055
2020-03-17,16.809999465942383
2020-03-18,16.520000457763672
2020-03-19,17.81999969482422
2020-03-20,17.59000015258789
2020-03-23,17.110000610351562
2020-03-24,18.799999237060547
2020-03-25,18.40999984741211
2020-03-26,18.920000076293945
2020-03-27,17.75
2020-03-30,18.149999618530273
2020-03-31,18.100000381469727
2020-04-01,17.8799991607666
2020-04-02,18.229999542236328
2020-04-03,17.959999084472656
2020-04-06,18.059999465942383
2020-04-07,17.700000762939453
2020-04-08,18.290000915527344
2020-04-09,18.059999465942383
2020-04-13,18.530000686645508
2020-04-14,19.0
2020-04-15,18.950000762939453
2020-04-16,18.735000610351562
2020-04-17,19.18000030517578
2020-04-20,20.34000015258789
2020-04-21,19.65999984741211
2020-04-22,19.969999313354492
2020-04-23,19.834999084472656
2020-04-24,20.204999923706055
2020-04-27,20.799999237060547
2020-04-28,20.549999237060547
2020-04-29,20.979999542236328
2020-04-30,21.020000457763672
2020-05-01,19.600000381469727
2020-05-04,19.8799991607666
2020-05-05,20.03499984741211
2020-05-06,20.344999313354492
2020-05-07,21.889999389648438
2020-05-08,21.8799991607666
2020-05-11,22.940000534057617
2020-05-12,22.1299991607666
2020-05-13,21.520000457763672
2020-05-14,21.5
2020-05-15,22.3700008392334
2020-05-18,21.59000015258789
2020-05-19,21.75
2020-05-20,22.225000381469727
2020-05-21,22.1299991607666
2020-05-22,21.665000915527344
2020-05-26,22.899999618530273
2020-05-27,22.809999465942383
2020-05-28,22.59000015258789
2020-05-29,22.56999969482422
2020-06-01,23.540000915527344
2020-06-02,23.270000457763672
2020-06-03,23.549999237060547
2020-06-04,23.280000686645508
2020-06-05,21.979999542236328
2020-06-08,22.540000915527344
2020-06-09,21.93000030517578
2020-06-10,21.979999542236328
2020-06-11,20.420000076293945
2020-06-12,21.030000686645508
2020-06-15,21.520000457763672
2020-06-16,22.549999237060547
2020-06-17,22.709999084472656
2020-06-18,23.0
2020-06-19,23.299999237060547
2020-06-22,23.510000228881836
2020-06-23,23.649999618530273
2020-06-24,22.639999389648438
2020-06-25,22.15999984741211
2020-06-26,21.469999313354492
2020-06-29,21.290000915527344
2020-06-30,21.770000457763672
2020-07-01,21.780000686645508
2020-07-02,21.649999618530273
2020-07-06,22.420000076293945
2020-07-07,22.440000534057617
2020-07-08,22.739999771118164
2020-07-09,22.399999618530273
2020-07-10,22.110000610351562
2020-07-13,20.260000228881836
2020-07-14,20.290000915527344
2020-07-15,20.850000381469727
2020-07-16,20.65999984741211
2020-07-17,20.829999923706055
2020-07-20,22.889999389648438
2020-07-21,22.420000076293945
2020-07-22,22.149999618530273
2020-07-23,21.84000015258789
2020-07-24,21.350000381469727
2020-07-27,21.549999237060547
2020-07-28,22.270000457763672
2020-07-29,22.559999465942383
2020-07-30,22.389999389648438
2020-07-31,22.75
2020-08-03,23.15999984741211
2020-08-04,23.229999542236328
2020-08-05,23.219999313354492
2020-08-06,23.270000457763672
2020-08-07,20.690000534057617
2020-08-10,19.920000076293945
2020-08-11,19.65999984741211
2020-08-12,19.639999389648438
2020-08-13,19.6299991607666
2020-08-14,19.5
2020-08-17,19.920000076293945
2020-08-18,20.479999542236328
