,CALM
1999-08-10,1.15625
1999-08-11,1.1875
1999-08-12,1.1875
1999-08-13,1.1875
1999-08-16,1.15625
1999-08-17,1.15625
1999-08-18,1.15625
1999-08-19,1.15625
1999-08-20,1.125
1999-08-23,1.125
1999-08-24,1.109375
1999-08-25,1.125
1999-08-26,1.09375
1999-08-27,1.09375
1999-08-30,1.046875
1999-08-31,1.0703129768371582
1999-09-01,1.0625
1999-09-02,1.0625
1999-09-03,1.046875
1999-09-07,1.046875
1999-09-08,1.0
1999-09-09,1.03125
1999-09-10,1.03125
1999-09-13,1.0
1999-09-14,1.0625
1999-09-15,1.09375
1999-09-16,1.21875
1999-09-17,1.21875
1999-09-20,1.21875
1999-09-21,1.1875
1999-09-22,1.140625
1999-09-23,1.203125
1999-09-24,1.1875
1999-09-27,1.140625
1999-09-28,1.015625
1999-09-29,0.984375
1999-09-30,0.9375
1999-10-01,0.984375
1999-10-04,0.9375
1999-10-05,0.90625
1999-10-06,0.984375
1999-10-07,0.984375
1999-10-08,1.015625
1999-10-11,1.03125
1999-10-12,1.015625
1999-10-13,1.0
1999-10-14,0.984375
1999-10-15,0.953125
1999-10-18,0.984375
1999-10-19,0.9960939884185791
1999-10-20,1.0
1999-10-21,1.0
1999-10-22,0.96875
1999-10-25,0.96875
1999-10-26,0.96875
1999-10-27,0.9375
1999-10-28,1.03125
1999-10-29,0.96875
1999-11-01,0.96875
1999-11-02,0.96875
1999-11-03,0.9453129768371582
1999-11-04,0.9375
1999-11-05,0.890625
1999-11-08,0.875
1999-11-09,0.921875
1999-11-10,0.90625
1999-11-11,0.9375
1999-11-12,0.9375
1999-11-15,0.953125
1999-11-16,1.0
1999-11-17,0.9609379768371582
1999-11-18,0.96875
1999-11-19,0.953125
1999-11-22,0.984375
1999-11-23,0.921875
1999-11-24,0.84375
1999-11-26,0.8515629768371582
1999-11-29,0.84375
1999-11-30,0.859375
1999-12-01,0.875
1999-12-02,0.8320310115814209
1999-12-03,0.796875
1999-12-06,0.78125
1999-12-07,0.765625
1999-12-08,0.8125
1999-12-09,0.7578129768371582
1999-12-10,0.75
1999-12-13,0.703125
1999-12-14,0.734375
1999-12-15,0.75
1999-12-16,0.75
1999-12-17,0.765625
1999-12-20,0.75
1999-12-21,0.71875
1999-12-22,0.71875
1999-12-23,0.71875
1999-12-27,0.671875
1999-12-28,0.6640629768371582
1999-12-29,0.671875
1999-12-30,0.796875
1999-12-31,0.890625
2000-01-03,0.90625
2000-01-04,0.859375
2000-01-05,0.859375
2000-01-06,0.890625
2000-01-07,0.890625
2000-01-10,0.890625
2000-01-11,0.875
2000-01-12,0.875
2000-01-13,0.875
2000-01-14,0.8828129768371582
2000-01-18,0.875
2000-01-19,0.890625
2000-01-20,0.875
2000-01-21,0.875
