,MNG
2014-09-03,94.0
2014-09-04,92.8499984741211
2014-09-05,93.77999877929688
2014-09-08,92.62000274658203
2014-09-09,92.41999816894531
2014-09-10,91.88999938964844
2014-09-11,91.63999938964844
2014-09-12,90.23999786376953
2014-09-15,90.66000366210938
2014-09-16,91.7699966430664
2014-09-17,91.47000122070312
2014-09-18,90.6500015258789
2014-09-19,90.2300033569336
2014-09-22,88.81999969482422
2014-09-23,88.56999969482422
2014-09-24,88.66999816894531
2014-09-25,86.9800033569336
2014-09-26,87.7699966430664
2014-09-29,88.72000122070312
2014-09-30,87.44999694824219
2014-10-01,86.25
2014-10-02,86.12999725341797
2014-10-03,85.66999816894531
2014-10-06,85.51000213623047
2014-10-07,84.0
2014-10-08,84.33999633789062
2014-10-09,80.47000122070312
2014-10-10,79.51000213623047
2014-10-13,76.62999725341797
2014-10-14,76.0999984741211
2014-10-15,77.45999908447266
2014-10-16,79.52999877929688
2014-10-17,78.94999694824219
2014-10-20,79.95999908447266
2014-10-21,82.12999725341797
2014-10-22,80.25
2014-10-23,82.08000183105469
2014-10-24,81.55000305175781
2014-10-27,79.76000213623047
2014-10-28,82.23999786376953
2014-10-29,82.80999755859375
2014-10-30,81.94000244140625
2014-10-31,83.51000213623047
2014-11-03,82.73999786376953
2014-11-04,81.1500015258789
2014-11-05,83.38999938964844
2014-11-06,84.30000305175781
2014-11-07,85.66999816894531
2014-11-10,84.36000061035156
2014-11-11,84.6500015258789
2014-11-12,83.47000122070312
2014-11-13,81.75
2014-11-14,82.80000305175781
2014-11-17,82.23999786376953
2014-11-18,82.16999816894531
2014-11-19,83.18000030517578
2014-11-20,84.5999984741211
2014-11-21,85.01000213623047
2014-11-24,84.08999633789062
2014-11-25,83.13999938964844
2014-11-26,82.29000091552734
2014-11-28,77.05999755859375
2014-12-01,76.5999984741211
2014-12-02,76.26000213623047
2014-12-03,76.93000030517578
2014-12-04,75.61000061035156
2014-12-05,74.80999755859375
2014-12-08,71.0999984741211
2014-12-09,72.08999633789062
2014-12-10,69.63999938964844
2014-12-11,69.54000091552734
2014-12-12,68.88999938964844
2014-12-15,67.81999969482422
2014-12-16,68.72000122070312
