,FDT
2015-12-08,47.349998474121094
2015-12-09,47.0
2015-12-10,46.959999084472656
2015-12-11,46.22999954223633
2015-12-14,46.290000915527344
2015-12-15,46.470001220703125
2015-12-16,47.43000030517578
2015-12-17,46.939998626708984
2015-12-18,46.540000915527344
2015-12-21,46.90999984741211
2015-12-22,47.119998931884766
2015-12-23,47.279998779296875
2015-12-24,47.029998779296875
2015-12-28,47.0099983215332
2015-12-29,47.36000061035156
2015-12-30,47.119998931884766
2015-12-31,46.63999938964844
2016-01-04,46.04999923706055
2016-01-05,45.90999984741211
2016-01-06,45.189998626708984
2016-01-07,44.369998931884766
2016-01-08,43.790000915527344
2016-01-11,43.7400016784668
2016-01-12,43.66999816894531
2016-01-13,43.06999969482422
2016-01-14,43.529998779296875
2016-01-15,42.0
2016-01-19,42.349998474121094
2016-01-20,41.279998779296875
2016-01-21,41.439998626708984
2016-01-22,42.65999984741211
2016-01-25,42.13999938964844
2016-01-26,42.81999969482422
2016-01-27,42.619998931884766
2016-01-28,42.95000076293945
2016-01-29,43.77000045776367
2016-02-01,44.0
2016-02-02,43.11000061035156
2016-02-03,43.38999938964844
2016-02-04,43.189998626708984
2016-02-05,42.43000030517578
2016-02-08,41.63999938964844
2016-02-09,41.279998779296875
2016-02-10,41.36000061035156
2016-02-11,40.790000915527344
2016-02-12,41.18000030517578
2016-02-16,41.970001220703125
2016-02-17,42.79999923706055
2016-02-18,42.77000045776367
2016-02-19,42.75
2016-02-22,43.349998474121094
2016-02-23,42.810001373291016
2016-02-24,42.91999816894531
2016-02-25,43.2599983215332
2016-02-26,43.15999984741211
2016-02-29,42.810001373291016
2016-03-01,43.93000030517578
2016-03-02,44.25
2016-03-03,44.5099983215332
2016-03-04,45.209999084472656
2016-03-07,44.9900016784668
2016-03-08,44.310001373291016
2016-03-09,44.34000015258789
2016-03-10,44.290000915527344
2016-03-11,45.33000183105469
2016-03-14,45.349998474121094
2016-03-15,44.95000076293945
2016-03-16,45.560001373291016
2016-03-17,46.04999923706055
2016-03-18,45.91999816894531
2016-03-21,45.959999084472656
2016-03-22,45.97999954223633
2016-03-23,45.4900016784668
2016-03-24,45.4900016784668
2016-03-28,45.84000015258789
2016-03-29,46.25
2016-03-30,46.849998474121094
2016-03-31,46.47999954223633
2016-04-01,45.849998474121094
2016-04-04,45.630001068115234
2016-04-05,44.91999816894531
2016-04-06,45.41999816894531
2016-04-07,44.90999984741211
2016-04-08,45.7599983215332
2016-04-11,45.939998626708984
2016-04-12,46.2400016784668
2016-04-13,46.790000915527344
2016-04-14,46.7599983215332
2016-04-15,46.54999923706055
2016-04-18,46.779998779296875
2016-04-19,47.540000915527344
2016-04-20,47.68000030517578
2016-04-21,47.279998779296875
2016-04-22,47.02000045776367
2016-04-25,47.02000045776367
2016-04-26,47.130001068115234
2016-04-27,47.18000030517578
2016-04-28,46.529998779296875
2016-04-29,46.41999816894531
2016-05-02,46.880001068115234
2016-05-03,46.119998931884766
2016-05-04,45.77000045776367
2016-05-05,45.779998779296875
2016-05-06,46.0
2016-05-09,45.790000915527344
2016-05-10,46.40999984741211
2016-05-11,46.209999084472656
2016-05-12,46.25
2016-05-13,45.63999938964844
2016-05-16,45.9900016784668
2016-05-17,45.790000915527344
2016-05-18,45.619998931884766
2016-05-19,45.400001525878906
2016-05-20,45.77000045776367
2016-05-23,45.79999923706055
