,AVGOP
2021-01-08,1446.6199951171875
2021-01-11,1445.0899658203125
2021-01-12,1453.719970703125
2021-01-13,1461.31005859375
2021-01-14,1465.6600341796875
2021-01-15,1447.1300048828125
2021-01-19,1484.06494140625
2021-01-20,1493.75
2021-01-21,1506.9200439453125
2021-01-22,1503.4200439453125
2021-01-25,1498.550048828125
2021-01-26,1498.68994140625
2021-01-27,1435.8199462890625
2021-01-28,1465.77001953125
2021-01-29,1468.75
2021-02-01,1508.699951171875
2021-02-02,1526.0
2021-02-03,1502.18994140625
2021-02-04,1494.6400146484375
2021-02-05,1494.6400146484375
2021-02-08,1518.6199951171875
2021-02-09,1524.14599609375
2021-02-10,1510.8299560546875
2021-02-11,1532.8299560546875
2021-02-12,1553.0400390625
2021-02-16,1561.25
2021-02-17,1549.06005859375
2021-02-18,1550.1099853515625
2021-02-19,1575.6400146484375
2021-02-22,1532.3499755859375
2021-02-23,1502.64501953125
2021-02-24,1533.260009765625
2021-02-25,1477.5
2021-02-26,1511.81005859375
2021-03-01,1555.0
2021-03-02,1540.6300048828125
2021-03-03,1520.3399658203125
2021-03-04,1485.989990234375
2021-03-05,1455.68994140625
2021-03-08,1410.3599853515625
2021-03-09,1438.8499755859375
2021-03-10,1419.3199462890625
2021-03-11,1467.06005859375
2021-03-12,1432.4580078125
2021-03-15,1495.030029296875
2021-03-16,1518.18994140625
2021-03-17,1537.9300537109375
2021-03-18,1537.9300537109375
2021-03-19,1513.18994140625
2021-03-22,1518.3299560546875
2021-03-23,1483.550048828125
2021-03-24,1477.3599853515625
2021-03-25,1471.0
2021-03-26,1522.8299560546875
2021-03-29,1517.573974609375
2021-03-30,1454.31005859375
2021-03-31,1474.489990234375
2021-04-01,1502.530029296875
2021-04-05,1552.5699462890625
2021-04-06,1534.449951171875
2021-04-07,1532.1300048828125
2021-04-08,1538.5799560546875
2021-04-09,1542.27001953125
2021-04-12,1526.81005859375
2021-04-13,1532.2099609375
2021-04-14,1529.0699462890625
2021-04-15,1527.300048828125
2021-04-16,1515.719970703125
2021-04-19,1479.1700439453125
2021-04-20,1459.0260009765625
2021-04-21,1462.3299560546875
2021-04-22,1454.2330322265625
2021-04-23,1487.4100341796875
2021-04-26,1506.9229736328125
2021-04-27,1486.7449951171875
2021-04-28,1464.6800537109375
2021-04-29,1485.1099853515625
2021-04-30,1449.449951171875
2021-05-03,1444.0
2021-05-04,1421.8800048828125
2021-05-05,1421.8800048828125
2021-05-06,1429.5400390625
2021-05-07,1444.425048828125
2021-05-10,1425.550048828125
2021-05-11,1409.0
2021-05-12,1356.75
2021-05-13,1381.5799560546875
2021-05-14,1420.31201171875
