,EDSA
2013-08-05,420.0
2013-08-06,415.79998779296875
2013-08-07,411.6000061035156
2013-08-08,415.79998779296875
2013-08-09,407.3999938964844
2013-08-12,445.20001220703125
2013-08-13,478.79998779296875
2013-08-14,550.2000122070312
2013-08-15,550.2000122070312
2013-08-16,554.4000244140625
2013-08-19,596.4000244140625
2013-08-20,625.7999877929688
2013-08-21,625.7999877929688
2013-08-22,474.6000061035156
2013-08-23,558.5999755859375
2013-08-26,651.0
2013-08-27,571.2000122070312
2013-08-28,579.5999755859375
2013-08-29,588.0
2013-08-30,588.0
2013-09-03,567.0
2013-09-04,512.4000244140625
2013-09-05,537.5999755859375
2013-09-06,537.5999755859375
2013-09-09,554.4000244140625
2013-09-10,575.4000244140625
2013-09-11,613.2000122070312
2013-09-12,625.7999877929688
2013-09-13,646.7999877929688
2013-09-16,672.0
2013-09-17,756.0
2013-09-18,840.0
2013-09-19,714.0
2013-09-20,793.7999877929688
2013-09-23,810.5999755859375
2013-09-24,777.0
2013-09-25,743.4000244140625
2013-09-26,739.2000122070312
2013-09-27,693.0
2013-09-30,575.4000244140625
2013-10-01,659.4000244140625
2013-10-02,617.4000244140625
2013-10-03,571.2000122070312
2013-10-04,625.7999877929688
2013-10-07,655.2000122070312
2013-10-08,642.5999755859375
2013-10-09,642.5999755859375
2013-10-10,646.7999877929688
2013-10-11,663.5999755859375
2013-10-14,659.4000244140625
2013-10-15,638.4000244140625
2013-10-16,693.0
2013-10-17,718.2000122070312
2013-10-18,735.0
2013-10-21,785.4000244140625
2013-10-22,835.7999877929688
2013-10-23,806.4000244140625
2013-10-24,747.5999755859375
2013-10-25,772.7999877929688
2013-10-28,819.0
2013-10-29,844.2000122070312
2013-10-30,810.5999755859375
2013-10-31,777.0
2013-11-01,781.2000122070312
2013-11-04,760.2000122070312
2013-11-05,760.2000122070312
2013-11-06,756.0
2013-11-07,756.0
2013-11-08,798.0
2013-11-11,798.0
2013-11-12,802.2000122070312
2013-11-13,768.5999755859375
2013-11-14,768.5999755859375
2013-11-15,768.5999755859375
2013-11-18,764.4000244140625
2013-11-19,714.0
2013-11-20,634.2000122070312
2013-11-21,726.5999755859375
2013-11-22,751.7999877929688
2013-11-25,714.0
2013-11-26,693.0
2013-11-27,697.2000122070312
2013-11-29,718.2000122070312
2013-12-02,709.7999877929688
2013-12-03,739.2000122070312
2013-12-04,751.7999877929688
2013-12-05,756.0
2013-12-06,768.5999755859375
2013-12-09,789.5999755859375
2013-12-10,802.2000122070312
2013-12-11,714.0
2013-12-12,747.5999755859375
2013-12-13,760.2000122070312
2013-12-16,772.7999877929688
2013-12-17,751.7999877929688
2013-12-18,756.0
2013-12-19,768.5999755859375
2013-12-20,785.4000244140625
2013-12-23,793.7999877929688
2013-12-24,793.7999877929688
2013-12-26,798.0
2013-12-27,777.0
2013-12-30,756.0
2013-12-31,739.2000122070312
2014-01-02,764.4000244140625
2014-01-03,756.0
2014-01-06,756.0
2014-01-07,743.4000244140625
2014-01-08,743.4000244140625
2014-01-09,718.2000122070312
2014-01-10,676.2000122070312
2014-01-13,726.5999755859375
2014-01-14,709.7999877929688
2014-01-15,726.5999755859375
2014-01-16,722.4000244140625
2014-01-17,722.4000244140625
2014-01-21,701.4000244140625
2014-01-22,688.7999877929688
2014-01-23,693.0
2014-01-24,688.7999877929688
2014-01-27,651.0
2014-01-28,630.0
2014-01-29,609.0
2014-01-30,642.5999755859375
2014-01-31,638.4000244140625
2014-02-03,613.2000122070312
2014-02-04,638.4000244140625
2014-02-05,621.5999755859375
2014-02-06,609.0
2014-02-07,625.7999877929688
2014-02-10,663.5999755859375
2014-02-11,676.2000122070312
2014-02-12,676.2000122070312
2014-02-13,655.2000122070312
2014-02-14,672.0
2014-02-18,634.2000122070312
2014-02-19,609.0
2014-02-20,625.7999877929688
2014-02-21,609.0
2014-02-24,621.5999755859375
2014-02-25,604.7999877929688
2014-02-26,592.2000122070312
2014-02-27,600.5999755859375
2014-02-28,621.5999755859375
2014-03-03,630.0
2014-03-04,663.5999755859375
2014-03-05,651.0
2014-03-06,676.2000122070312
2014-03-07,693.0
2014-03-10,735.0
2014-03-11,709.7999877929688
2014-03-12,667.7999877929688
2014-03-13,659.4000244140625
2014-03-14,693.0
2014-03-17,735.0
2014-03-18,714.0
2014-03-19,693.0
2014-03-20,709.7999877929688
2014-03-21,705.5999755859375
2014-03-24,684.5999755859375
2014-03-25,684.5999755859375
2014-03-26,680.4000244140625
2014-03-27,663.5999755859375
2014-03-28,667.7999877929688
2014-03-31,726.5999755859375
2014-04-01,735.0
2014-04-02,705.5999755859375
2014-04-03,714.0
2014-04-04,693.0
2014-04-07,701.4000244140625
2014-04-08,693.0
2014-04-09,697.2000122070312
2014-04-10,676.2000122070312
2014-04-11,638.4000244140625
2014-04-14,630.0
2014-04-15,621.5999755859375
2014-04-16,638.4000244140625
2014-04-17,659.4000244140625
2014-04-21,651.0
2014-04-22,625.7999877929688
2014-04-23,625.7999877929688
2014-04-24,613.2000122070312
2014-04-25,596.4000244140625
2014-04-28,533.4000244140625
2014-04-29,525.0
2014-04-30,441.0
2014-05-01,483.0
2014-05-02,478.79998779296875
2014-05-05,516.5999755859375
2014-05-06,499.79998779296875
2014-05-07,483.0
2014-05-08,466.20001220703125
2014-05-09,420.0
2014-05-12,436.79998779296875
2014-05-13,445.20001220703125
2014-05-14,445.20001220703125
2014-05-15,466.20001220703125
2014-05-16,462.0
2014-05-19,470.3999938964844
2014-05-20,478.79998779296875
2014-05-21,470.3999938964844
2014-05-22,462.0
2014-05-23,462.0
2014-05-27,436.79998779296875
2014-05-28,436.79998779296875
2014-05-29,428.3999938964844
2014-05-30,415.79998779296875
2014-06-02,407.3999938964844
2014-06-03,432.6000061035156
2014-06-04,436.79998779296875
2014-06-05,420.0
2014-06-06,420.0
2014-06-09,424.20001220703125
2014-06-10,420.0
2014-06-11,420.0
2014-06-12,420.0
2014-06-13,424.20001220703125
2014-06-16,424.20001220703125
2014-06-17,411.6000061035156
2014-06-18,352.79998779296875
2014-06-19,365.3999938964844
2014-06-20,382.20001220703125
2014-06-23,369.6000061035156
2014-06-24,378.0
2014-06-25,369.6000061035156
2014-06-26,365.3999938964844
2014-06-27,373.79998779296875
2014-06-30,373.79998779296875
2014-07-01,369.6000061035156
2014-07-02,361.20001220703125
2014-07-03,357.0
2014-07-07,373.79998779296875
2014-07-08,365.3999938964844
2014-07-09,365.3999938964844
2014-07-10,357.0
2014-07-11,361.20001220703125
2014-07-14,348.6000061035156
2014-07-15,348.6000061035156
2014-07-16,340.20001220703125
2014-07-17,310.79998779296875
2014-07-18,289.79998779296875
2014-07-21,285.6000061035156
2014-07-22,294.0
2014-07-23,294.0
2014-07-24,331.79998779296875
2014-07-25,390.6000061035156
2014-07-28,462.0
2014-07-29,394.79998779296875
