,FCRD
2016-04-01,11.010000228881836
2016-04-04,11.020000457763672
2016-04-05,10.920000076293945
2016-04-06,11.0600004196167
2016-04-07,10.869999885559082
2016-04-08,11.140000343322754
2016-04-11,11.050000190734863
2016-04-12,11.34000015258789
2016-04-13,11.149999618530273
2016-04-14,11.050000190734863
2016-04-15,11.020000457763672
2016-04-18,11.09000015258789
2016-04-19,11.199999809265137
2016-04-20,11.1899995803833
2016-04-21,11.050000190734863
2016-04-22,11.09000015258789
2016-04-25,11.1899995803833
2016-04-26,11.210000038146973
2016-04-27,11.329999923706055
2016-04-28,11.279999732971191
2016-04-29,11.25
2016-05-02,11.149999618530273
2016-05-03,11.300000190734863
2016-05-04,11.3100004196167
2016-05-05,11.039999961853027
2016-05-06,10.550000190734863
2016-05-09,10.270000457763672
2016-05-10,10.449999809265137
2016-05-11,10.720000267028809
2016-05-12,10.539999961853027
2016-05-13,10.5600004196167
2016-05-16,10.529999732971191
2016-05-17,10.5600004196167
2016-05-18,10.619999885559082
2016-05-19,10.119999885559082
2016-05-20,10.5
2016-05-23,10.739999771118164
2016-05-24,10.800000190734863
2016-05-25,10.920000076293945
2016-05-26,10.90999984741211
2016-05-27,10.920000076293945
2016-05-31,10.989999771118164
2016-06-01,11.039999961853027
2016-06-02,10.979999542236328
2016-06-03,11.029999732971191
2016-06-06,10.9399995803833
2016-06-07,10.920000076293945
2016-06-08,10.859999656677246
2016-06-09,10.930000305175781
2016-06-10,10.890000343322754
2016-06-13,10.670000076293945
2016-06-14,10.479999542236328
2016-06-15,10.359999656677246
2016-06-16,10.449999809265137
2016-06-17,10.420000076293945
2016-06-20,10.8100004196167
2016-06-21,10.600000381469727
2016-06-22,10.65999984741211
2016-06-23,10.699999809265137
2016-06-24,10.8100004196167
2016-06-27,10.850000381469727
2016-06-28,10.960000038146973
2016-06-29,11.029999732971191
2016-06-30,11.130000114440918
2016-07-01,11.369999885559082
2016-07-05,11.40999984741211
2016-07-06,11.390000343322754
2016-07-07,11.550000190734863
2016-07-08,11.609999656677246
2016-07-11,11.65999984741211
2016-07-12,11.59000015258789
2016-07-13,11.449999809265137
2016-07-14,11.4399995803833
2016-07-15,11.460000038146973
2016-07-18,11.600000381469727
2016-07-19,11.619999885559082
2016-07-20,11.630000114440918
2016-07-21,11.609999656677246
2016-07-22,11.619999885559082
2016-07-25,11.710000038146973
2016-07-26,11.699999809265137
2016-07-27,11.729999542236328
2016-07-28,11.680000305175781
2016-07-29,11.710000038146973
2016-08-01,11.75
2016-08-02,11.699999809265137
2016-08-03,11.800000190734863
2016-08-04,11.779999732971191
2016-08-05,10.699999809265137
2016-08-08,9.930000305175781
2016-08-09,10.109999656677246
2016-08-10,10.039999961853027
2016-08-11,9.979999542236328
2016-08-12,9.949999809265137
2016-08-15,9.979999542236328
2016-08-16,10.0
2016-08-17,9.90999984741211
2016-08-18,9.989999771118164
2016-08-19,10.0600004196167
2016-08-22,10.020000457763672
2016-08-23,10.09000015258789
2016-08-24,10.15999984741211
2016-08-25,10.079999923706055
2016-08-26,10.0600004196167
2016-08-29,10.15999984741211
2016-08-30,10.229999542236328
2016-08-31,10.130000114440918
2016-09-01,10.130000114440918
2016-09-02,10.210000038146973
2016-09-06,10.220000267028809
2016-09-07,10.140000343322754
2016-09-08,10.210000038146973
2016-09-09,10.140000343322754
2016-09-12,10.010000228881836
2016-09-13,9.720000267028809
2016-09-14,9.649999618530273
2016-09-15,9.619999885559082
2016-09-16,9.729999542236328
2016-09-19,9.710000038146973
2016-09-20,9.609999656677246
2016-09-21,9.510000228881836
2016-09-22,9.609999656677246
2016-09-23,9.670000076293945
2016-09-26,9.520000457763672
2016-09-27,9.59000015258789
2016-09-28,9.579999923706055
2016-09-29,9.550000190734863
2016-09-30,9.529999732971191
2016-10-03,9.699999809265137
2016-10-04,9.569999694824219
2016-10-05,9.569999694824219
2016-10-06,9.5600004196167
2016-10-07,9.5
2016-10-10,9.520000457763672
2016-10-11,9.470000267028809
2016-10-12,9.449999809265137
2016-10-13,9.5
2016-10-14,9.399999618530273
2016-10-17,9.220000267028809
2016-10-18,9.25
2016-10-19,9.510000228881836
2016-10-20,9.40999984741211
2016-10-21,9.34000015258789
2016-10-24,9.420000076293945
2016-10-25,9.399999618530273
2016-10-26,9.329999923706055
2016-10-27,9.350000381469727
2016-10-28,9.380000114440918
2016-10-31,9.210000038146973
2016-11-01,9.100000381469727
2016-11-02,9.020000457763672
2016-11-03,9.010000228881836
2016-11-04,9.029999732971191
2016-11-07,8.989999771118164
2016-11-08,9.09000015258789
2016-11-09,9.229999542236328
2016-11-10,9.619999885559082
2016-11-11,9.720000267028809
2016-11-14,9.680000305175781
2016-11-15,9.609999656677246
2016-11-16,9.729999542236328
2016-11-17,9.890000343322754
2016-11-18,9.970000267028809
2016-11-21,10.180000305175781
2016-11-22,10.220000267028809
2016-11-23,10.319999694824219
2016-11-25,10.40999984741211
2016-11-28,10.380000114440918
2016-11-29,10.369999885559082
2016-11-30,10.3100004196167
2016-12-01,10.34000015258789
2016-12-02,10.25
2016-12-05,10.34000015258789
2016-12-06,10.319999694824219
2016-12-07,10.380000114440918
2016-12-08,10.369999885559082
2016-12-09,10.319999694824219
2016-12-12,10.140000343322754
2016-12-13,9.859999656677246
2016-12-14,9.880000114440918
2016-12-15,9.819999694824219
2016-12-16,9.84000015258789
2016-12-19,9.949999809265137
2016-12-20,9.989999771118164
2016-12-21,10.0
2016-12-22,10.010000228881836
2016-12-23,9.890000343322754
2016-12-27,9.920000076293945
2016-12-28,10.0
2016-12-29,10.100000381469727
2016-12-30,10.010000228881836
2017-01-03,10.130000114440918
2017-01-04,10.520000457763672
2017-01-05,10.5600004196167
2017-01-06,10.359999656677246
2017-01-09,10.270000457763672
2017-01-10,10.260000228881836
2017-01-11,10.270000457763672
2017-01-12,10.1899995803833
2017-01-13,10.210000038146973
2017-01-17,10.380000114440918
2017-01-18,10.399999618530273
2017-01-19,10.300000190734863
2017-01-20,10.350000381469727
2017-01-23,10.34000015258789
2017-01-24,10.350000381469727
2017-01-25,10.350000381469727
2017-01-26,10.359999656677246
2017-01-27,10.34000015258789
2017-01-30,10.329999923706055
2017-01-31,10.270000457763672
2017-02-01,10.319999694824219
2017-02-02,10.380000114440918
2017-02-03,10.4399995803833
2017-02-06,10.420000076293945
2017-02-07,10.460000038146973
2017-02-08,10.369999885559082
2017-02-09,10.369999885559082
2017-02-10,10.40999984741211
2017-02-13,10.390000343322754
2017-02-14,10.489999771118164
2017-02-15,10.510000228881836
2017-02-16,10.430000305175781
2017-02-17,10.399999618530273
2017-02-21,10.40999984741211
2017-02-22,10.479999542236328
2017-02-23,10.529999732971191
2017-02-24,10.529999732971191
2017-02-27,10.449999809265137
2017-02-28,10.420000076293945
2017-03-01,10.460000038146973
2017-03-02,10.350000381469727
2017-03-03,10.369999885559082
2017-03-06,10.369999885559082
2017-03-07,10.319999694824219
2017-03-08,10.260000228881836
2017-03-09,10.260000228881836
2017-03-10,9.880000114440918
2017-03-13,9.609999656677246
2017-03-14,9.699999809265137
2017-03-15,9.8100004196167
2017-03-16,9.489999771118164
2017-03-17,9.779999732971191
2017-03-20,9.65999984741211
2017-03-21,9.59000015258789
2017-03-22,9.569999694824219
2017-03-23,9.65999984741211
2017-03-24,9.710000038146973
2017-03-27,9.649999618530273
2017-03-28,9.65999984741211
2017-03-29,9.800000190734863
2017-03-30,9.880000114440918
2017-03-31,9.960000038146973
2017-04-03,9.890000343322754
2017-04-04,9.800000190734863
2017-04-05,9.760000228881836
2017-04-06,9.800000190734863
2017-04-07,9.859999656677246
